ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
BCC,2015-01-05,9.42,9.42,9.1,9.29,219120,,,,,,,0.1162,0.1266,0.1162
BCC,2015-01-06,9.16,10.04,9.16,10.04,560890,,,,,,,0.9735,1.2424,0.5449
BCC,2015-01-07,10.04,10.86,10.04,10.8,1309210,,,,,,,2.0861,3.0214,1.0586
BCC,2015-01-08,10.92,10.98,10.48,10.48,387900,,,,,,,-1.2124,-1.3898,1.0971
BCC,2015-01-09,10.42,10.92,10.42,10.73,626400,,,,,,,0.2866,0.3569,0.935
BCC,2015-01-12,10.67,10.98,10.67,10.67,585532,,,,,,,-1.0171,-1.5206,0.9487
BCC,2015-01-13,10.67,10.8,10.54,10.61,381500,,,,,,,-0.3984,-0.4629,0.8701
BCC,2015-01-14,10.54,10.98,10.36,10.92,420080,,,,,,,1.0474,1.3326,0.8922
BCC,2015-01-15,11.05,11.05,10.73,10.92,180650,,,,,,,0.0707,0.0847,0.801
BCC,2015-01-16,10.92,11.3,10.92,11.17,287230,10.56,,,5.7465,,,0.1758,0.2268,0.7384
BCC,2015-01-19,11.42,11.42,10.98,11.11,185200,10.74,,,3.3969,,,-0.1827,-0.2467,0.7451
BCC,2015-01-20,11.11,11.49,10.98,11.49,515945,10.89,,,5.5096,,,1.7609,2.5253,0.8238
BCC,2015-01-21,11.49,11.55,11.24,11.42,172400,10.95,,,4.2732,,,0.0758,0.1181,0.6228
BCC,2015-01-22,11.42,11.42,11.24,11.42,189400,11.05,,,3.3858,,,0.5823,0.7921,0.5598
BCC,2015-01-23,11.42,12.3,11.42,12.3,751215,11.2,,,9.792,,,1.7812,2.5909,0.7093
BCC,2015-01-26,11.93,12.43,11.93,12.37,222155,11.37,,,8.7664,,,0.5003,0.7391,0.6576
BCC,2015-01-27,12.3,12.43,11.93,12.11,433240,11.52,,,5.0942,,,-0.1659,-0.2485,0.6343
BCC,2015-01-28,12.11,12.11,11.61,11.67,369820,11.6,,,0.6208,,,-0.3995,-0.5664,0.5695
BCC,2015-01-29,11.61,11.74,11.49,11.55,348300,11.66,,,-0.9519,,,-0.4868,-0.5825,0.6111
BCC,2015-01-30,11.42,11.55,10.67,11.05,520100,11.65,11.11,,-5.1421,-0.5042,,-0.148,-0.2071,0.6084
BCC,2015-02-02,10.8,10.98,10.73,10.86,165010,11.62,11.18,,-6.5726,-2.9013,,0.0141,0.019,0.5915
BCC,2015-02-03,10.86,10.86,10.48,10.67,369000,11.54,11.22,,-7.555,-4.868,,0.0,0.0,0.4154
