ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
BID,2015-01-05,5.91,5.96,5.91,5.91,66380,,,,,,,-0.1906,-0.1294,0.1906
BID,2015-01-06,5.86,6.09,5.86,6.05,403170,,,,,,,0.4192,0.3164,0.3049
BID,2015-01-07,6.05,6.23,6.0,6.23,830630,,,,,,,1.5641,1.2839,0.7247
BID,2015-01-08,6.23,6.32,6.14,6.23,798240,,,,,,,0.0001,0.0001,0.5435
BID,2015-01-09,6.23,6.64,6.23,6.64,3291280,,,,,,,6.2009,4.6528,1.675
BID,2015-01-12,6.87,7.1,6.83,7.1,3509140,,,,,,,6.1023,5.9247,2.4129
BID,2015-01-13,7.15,7.56,7.15,7.51,4239540,,,,,,,7.4335,6.0182,3.1301
BID,2015-01-14,7.42,7.74,7.28,7.47,3626720,,,,,,,-2.1867,-1.881,3.0122
BID,2015-01-15,7.47,7.74,7.47,7.51,3854730,,,,,,,-5.3664,-4.291,3.2738
BID,2015-01-16,7.56,7.65,7.42,7.42,2253150,6.81,,,9.0174,,,-4.3883,-3.7197,3.3852
BID,2015-01-19,7.56,7.7,7.42,7.51,3218140,6.97,,,7.8238,,,-2.5856,-2.3205,3.6247
BID,2015-01-20,7.47,7.51,7.33,7.42,1468560,7.11,,,4.4487,,,-0.0003,-0.0003,3.5828
BID,2015-01-21,7.42,7.47,7.19,7.19,1726690,7.2,,,-0.1272,,,-4.7318,-4.5137,3.8996
BID,2015-01-22,7.19,7.65,7.06,7.65,4915010,7.34,,,4.1797,,,15.552,13.2733,5.4548
BID,2015-01-23,7.88,8.11,7.83,7.97,5685560,7.48,,,6.6176,,,0.0,0.0,4.8347
BID,2015-01-26,7.97,8.06,7.88,7.97,2805130,7.56,,,5.3906,,,-0.0005,-0.0004,4.2245
BID,2015-01-27,7.93,8.25,7.83,7.97,6307270,7.61,,,4.7561,,,-2.8725,-2.7942,3.7684
BID,2015-01-28,7.97,8.52,7.97,8.52,7664440,7.72,,,10.4514,,,10.9458,10.8265,4.6443
BID,2015-01-29,8.48,8.61,8.2,8.34,4488270,7.8,,,6.933,,,-4.0236,-3.3949,4.51
BID,2015-01-30,8.25,8.29,7.97,8.02,4223660,7.86,7.33,,2.0408,9.3408,,-6.1864,-6.1913,4.6898
BID,2015-02-02,7.97,8.11,7.88,7.88,2416500,7.89,7.43,,-0.1741,6.0419,,-5.1918,-4.9357,4.9505
BID,2015-02-03,8.02,8.02,7.33,7.33,4755860,7.89,7.5,,-7.0308,-2.2005,,-6.9013,-6.5533,5.6406
BID,2015-02-04,7.19,7.28,6.92,7.19,4557400,7.89,7.54,,-8.7739,-4.6462,,6.0316,5.2011,5.7705
BID,2015-02-05,7.24,7.56,7.24,7.51,1889090,7.87,7.61,,-4.5401,-1.2345,,5.3061,3.9596,4.746
BID,2015-02-06,7.56,7.97,7.47,7.97,2719610,7.87,7.67,,1.2805,3.8805,,8.8557,7.6312,5.6315
BID,2015-02-09,7.88,8.11,7.83,7.93,4540560,7.87,7.72,,0.7572,2.7316,,-5.2898,-4.6405,6.1605
