ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
DHC,2015-01-05,3.67,3.73,3.62,3.71,123330,,,,,,,0.2231,0.097,0.2231
DHC,2015-01-06,3.57,3.76,3.57,3.6,53190,,,,,,,-0.0631,-0.029,0.1431
DHC,2015-01-07,3.67,3.67,3.62,3.67,66780,,,,,,,0.1243,0.0615,0.1368
DHC,2015-01-08,3.74,3.76,3.64,3.76,31970,,,,,,,0.0997,0.0411,0.1275
DHC,2015-01-09,3.76,3.76,3.69,3.69,2560,,,,,,,-0.0049,-0.0021,0.103
DHC,2015-01-12,3.67,3.69,3.64,3.64,39520,,,,,,,-0.0686,-0.0351,0.0973
DHC,2015-01-13,3.73,3.8,3.59,3.76,70580,,,,,,,0.0991,0.0408,0.0975
DHC,2015-01-14,3.85,3.85,3.66,3.76,14640,,,,,,,0.0024,0.001,0.0856
DHC,2015-01-15,3.67,3.78,3.67,3.78,59620,,,,,,,0.1248,0.0518,0.09
DHC,2015-01-16,3.78,3.8,3.69,3.8,13400,3.72,,,2.233,,,0.0259,0.0114,0.0836
DHC,2015-01-19,3.8,3.8,3.73,3.73,20910,3.72,,,0.2958,,,-0.0504,-0.0228,0.0663
DHC,2015-01-20,3.76,3.76,3.67,3.67,35050,3.73,,,-1.503,,,-0.1202,-0.0552,0.072
DHC,2015-01-21,3.67,3.69,3.66,3.67,17760,3.73,,,-1.503,,,-0.0162,-0.0081,0.0612
DHC,2015-01-22,3.64,3.67,3.64,3.67,98770,3.72,,,-1.2645,,,0.3032,0.1325,0.0816
DHC,2015-01-23,3.67,3.74,3.67,3.74,116670,3.72,,,0.4836,,,0.2768,0.1226,0.1088
DHC,2015-01-26,3.71,3.74,3.69,3.74,6840,3.73,,,0.2144,,,0.0203,0.0091,0.1039
DHC,2015-01-27,3.71,3.71,3.6,3.64,55620,3.72,,,-2.1505,,,-0.0208,-0.0094,0.0961
DHC,2015-01-28,3.64,3.64,3.59,3.64,67610,3.71,,,-1.8339,,,0.096,0.0425,0.1055
DHC,2015-01-29,3.6,3.62,3.59,3.59,12780,3.69,,,-2.6837,,,-0.0345,-0.0129,0.0964
DHC,2015-01-30,3.59,3.59,3.52,3.59,93250,3.67,3.69,,-2.1265,-2.7759,,0.1942,0.0886,0.1133
DHC,2015-02-02,3.57,3.57,3.53,3.57,172360,3.65,3.69,,-2.2453,-3.1339,,0.369,0.1631,0.1451
DHC,2015-02-03,3.52,3.57,3.5,3.53,122740,3.64,3.68,,-2.9687,-4.1282,,-0.0255,-0.0121,0.1356
DHC,2015-02-04,3.5,3.59,3.5,3.59,21310,3.63,3.68,,-1.1019,-2.3926,,0.0559,0.0247,0.1396
DHC,2015-02-05,3.57,3.57,3.53,3.57,31120,3.62,3.67,,-1.3812,-2.685,,0.1193,0.0457,0.1212
DHC,2015-02-06,3.57,3.66,3.55,3.66,30610,3.61,3.67,,1.3289,-0.1909,,0.0995,0.0408,0.1035
DHC,2015-02-09,3.67,3.67,3.6,3.6,32130,3.6,3.67,,0.0556,-1.7735,,-0.1112,-0.0455,0.1126
DHC,2015-02-10,3.6,3.66,3.57,3.66,75650,3.6,3.66,,1.6667,0.0,,0.2393,0.0915,0.1344
DHC,2015-02-11,3.66,3.66,3.6,3.64,5650,3.6,3.65,,1.1111,-0.3831,,0.0061,0.0028,0.1255
DHC,2015-02-12,3.6,3.64,3.6,3.62,42090,3.6,3.65,,0.4718,-0.7131,,0.0,0.0,0.122
DHC,2015-02-13,3.6,3.67,3.6,3.62,14600,3.61,3.64,,0.3882,-0.4674,,-0.0235,-0.0092,0.1049
DHC,2015-02-24,3.67,3.67,3.62,3.62,18110,3.61,3.63,,0.2492,-0.3167,,-0.0671,-0.0281,0.0747
DHC,2015-02-25,3.62,3.64,3.62,3.62,11830,3.62,3.63,,0.0,-0.248,,-0.023,-0.0102,0.0745
DHC,2015-02-26,3.62,3.64,3.62,3.64,13000,3.62,3.63,,0.4138,0.3446,,0.0373,0.0128,0.0726
DHC,2015-02-27,3.62,3.66,3.62,3.66,12120,3.63,3.63,,0.7155,0.9098,,0.0365,0.0127,0.0643
DHC,2015-03-02,3.66,3.67,3.66,3.67,5770,3.64,3.62,,0.9629,1.2833,,0.0226,0.01,0.0567
DHC,2015-03-03,3.71,3.71,3.67,3.67,24610,3.64,3.62,,0.7688,1.3812,,-0.0475,-0.0202,0.0503
DHC,2015-03-04,3.67,3.85,3.6,3.83,87180,3.66,3.63,,4.6734,5.5242,,0.1389,0.0607,0.0402
DHC,2015-03-05,3.85,3.85,3.78,3.78,66720,3.67,3.64,,2.9132,3.9461,,-0.1133,-0.0498,0.051
