ticker,time,open,high,low,close,volume
DVP,2017-01-03,33.75,33.94,32.16,33.56,1410
DVP,2017-01-04,32.54,33.1,31.79,33.1,2250
DVP,2017-01-05,32.26,33.7,32.26,33.61,2520
DVP,2017-01-06,33.61,33.61,31.89,33.47,2250
DVP,2017-01-09,33.56,33.56,33.1,33.47,730
DVP,2017-01-10,32.63,33.33,32.35,33.33,1020
DVP,2017-01-11,33.33,33.33,33.33,33.33,20
DVP,2017-01-12,33.33,33.7,32.16,33.56,1510
DVP,2017-01-13,33.56,33.56,32.63,33.56,1670
DVP,2017-01-16,33.56,33.56,33.47,33.47,1810
DVP,2017-01-17,32.16,33.33,31.7,33.33,2730
DVP,2017-01-18,32.16,33.28,31.98,33.28,1030
DVP,2017-01-19,33.28,33.28,32.21,33.24,230
DVP,2017-01-20,31.75,34.64,31.75,34.5,2850
DVP,2017-01-23,34.5,34.5,32.63,33.98,1340
DVP,2017-01-24,34.03,34.03,33.98,33.98,80
DVP,2017-01-25,33.75,36.36,32.26,36.36,3140
DVP,2017-02-02,36.36,36.36,33.84,34.5,1310
DVP,2017-02-03,34.03,34.5,34.03,34.03,1250
DVP,2017-02-06,34.03,34.96,32.91,33.56,1520
DVP,2017-02-07,33.56,34.5,33.56,34.5,100
DVP,2017-02-08,34.5,34.96,32.91,34.5,940
DVP,2017-02-09,34.68,36.83,33.56,35.43,670
DVP,2017-02-10,33.33,35.19,33.14,35.19,50
DVP,2017-02-13,33.56,34.45,33.19,34.45,40
DVP,2017-02-14,34.45,34.45,34.45,34.45,0
DVP,2017-02-15,33.14,34.03,33.1,33.98,2000
DVP,2017-02-16,34.03,34.03,34.03,34.03,1020
DVP,2017-02-17,34.03,34.59,33.19,34.59,1200
DVP,2017-02-20,34.08,34.12,33.33,34.12,1030
DVP,2017-02-21,34.03,34.5,34.03,34.5,210
DVP,2017-02-22,34.03,34.26,34.03,34.03,290
DVP,2017-02-23,33.98,33.98,33.56,33.56,570
DVP,2017-02-24,34.45,34.45,33.14,34.03,2050
DVP,2017-02-27,34.92,34.92,33.1,34.68,3790
DVP,2017-02-28,34.68,34.68,34.68,34.68,30
DVP,2017-03-01,34.5,34.5,33.1,33.56,590
DVP,2017-03-02,34.36,34.36,33.14,33.98,70
DVP,2017-03-03,34.4,34.4,33.98,34.22,150
DVP,2017-03-06,33.56,34.73,33.56,34.03,360
DVP,2017-03-07,34.36,34.4,33.14,33.98,2270
DVP,2017-03-08,33.1,33.8,33.1,33.8,310
DVP,2017-03-09,33.19,33.75,33.1,33.75,1810
DVP,2017-03-10,33.1,33.56,33.1,33.56,40
DVP,2017-03-13,33.75,35.24,33.1,33.89,730
DVP,2017-03-14,33.14,34.45,31.56,33.98,4760
DVP,2017-03-15,32.68,33.56,32.16,33.52,2430
DVP,2017-03-16,32.26,34.03,32.26,33.52,1240
DVP,2017-03-17,32.3,33.52,32.3,33.52,2270
DVP,2017-03-20,33.52,33.52,32.68,33.47,1720
DVP,2017-03-21,32.77,33.38,32.72,33.28,580
DVP,2017-03-22,33.47,33.52,32.63,33.33,2790
DVP,2017-03-23,32.63,33.28,32.58,33.28,730
DVP,2017-03-24,33.24,33.28,33.1,33.28,1660
DVP,2017-03-27,33.1,33.52,32.63,32.86,16080
DVP,2017-03-28,32.63,32.68,32.4,32.63,7370
DVP,2017-03-29,32.63,32.86,32.54,32.86,3930
DVP,2017-03-30,32.16,32.82,32.16,32.63,4330
DVP,2017-03-31,32.63,32.63,31.93,32.4,8660
DVP,2017-04-03,32.16,32.54,32.16,32.54,2300
DVP,2017-04-04,32.49,32.49,32.49,32.49,150
DVP,2017-04-05,32.49,32.49,32.16,32.44,1460
DVP,2017-04-07,32.35,32.4,32.35,32.4,1280
DVP,2017-04-10,32.21,32.4,32.21,32.4,2410
DVP,2017-04-11,32.58,32.63,32.16,32.58,340
DVP,2017-04-12,31.98,32.54,31.93,32.49,550
DVP,2017-04-13,32.49,32.49,32.49,32.49,0
DVP,2017-04-14,32.21,32.63,31.05,32.16,1330
DVP,2017-04-17,32.4,32.4,32.4,32.4,20
DVP,2017-04-18,32.4,32.4,31.09,32.35,780
DVP,2017-04-19,32.4,32.4,31.14,32.16,3700
DVP,2017-04-20,31.51,32.4,31.51,31.93,1280
DVP,2017-04-21,32.16,32.16,31.23,32.12,1310
DVP,2017-04-24,31.7,32.07,31.7,32.07,30
DVP,2017-04-25,32.3,32.3,31.33,32.12,1530
DVP,2017-04-26,31.7,33.1,31.51,33.1,6590
DVP,2017-04-27,32.68,34.03,31.93,34.03,7300
DVP,2017-04-28,33.52,34.03,33.52,33.56,2420
DVP,2017-05-03,33.1,33.52,32.3,33.52,190
DVP,2017-05-04,32.21,32.21,32.21,32.21,20
DVP,2017-05-05,33.1,33.56,32.26,32.4,1820
DVP,2017-05-08,32.26,33.1,32.26,33.1,7720
DVP,2017-05-09,32.86,33.52,32.86,33.42,3880
DVP,2017-05-10,32.68,34.03,32.68,34.03,6410
DVP,2017-05-11,33.94,34.03,33.56,33.94,230
DVP,2017-05-12,33.94,33.94,33.94,33.94,0
DVP,2017-05-15,33.94,34.03,32.63,33.98,1600
DVP,2017-05-16,33.98,33.98,33.98,33.98,0
DVP,2017-05-17,32.68,33.8,32.16,33.8,3010
DVP,2017-05-18,33.1,33.1,32.68,33.05,2120
DVP,2017-05-19,33.05,33.1,33.05,33.1,160
DVP,2017-05-22,33.05,33.05,32.63,32.86,1200
DVP,2017-05-23,32.77,32.86,32.77,32.86,1170
DVP,2017-05-24,32.63,32.77,32.63,32.72,1710
DVP,2017-05-25,32.26,32.86,32.16,32.86,1410
DVP,2017-05-26,32.82,32.82,32.16,32.82,6390
DVP,2017-05-29,32.07,32.82,31.98,32.82,1440
DVP,2017-05-30,32.72,32.72,32.26,32.72,430
DVP,2017-05-31,32.72,32.82,32.63,32.82,1490
DVP,2017-06-01,31.98,32.63,31.98,32.58,4720
DVP,2017-06-02,32.16,32.58,31.98,32.02,340
DVP,2017-06-05,32.58,32.58,31.98,32.44,1360
DVP,2017-06-06,33.05,33.1,32.02,32.77,1120
DVP,2017-06-07,32.02,32.58,32.02,32.54,1160
DVP,2017-06-08,32.16,33.98,32.16,33.98,2220
DVP,2017-06-09,33.98,33.98,32.58,33.47,4740
DVP,2017-06-12,33.7,33.8,32.63,33.1,1070
DVP,2017-06-13,32.63,33.1,30.81,33.1,3010
DVP,2017-06-14,33.05,33.56,32.21,32.21,2290
DVP,2017-06-15,33.47,33.47,32.63,33.33,1940
