ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
FCN,2015-01-05,11.37,11.42,11.2,11.2,80710,,,,,,,-0.2283,-0.2998,0.2283
FCN,2015-01-06,10.93,11.26,10.82,11.26,205680,,,,,,,0.357,0.511,0.2927
FCN,2015-01-07,11.26,11.81,11.26,11.37,307680,,,,,,,-0.3446,-0.5254,0.31
FCN,2015-01-08,11.42,11.42,11.09,11.09,70100,,,,,,,-0.2191,-0.2658,0.2872
FCN,2015-01-09,11.15,11.64,11.15,11.48,240600,,,,,,,0.1592,0.212,0.2616
FCN,2015-01-12,11.53,11.53,11.31,11.31,169800,,,,,,,-0.295,-0.4674,0.2672
FCN,2015-01-13,11.31,11.42,11.26,11.31,100890,,,,,,,-0.0856,-0.106,0.2412
FCN,2015-01-14,11.31,11.42,11.15,11.26,180220,,,,,,,-0.1032,-0.1354,0.224
FCN,2015-01-15,11.37,11.86,11.37,11.59,388900,,,,,,,-0.0829,-0.1053,0.2083
FCN,2015-01-16,11.64,11.92,11.64,11.75,245010,11.36,,,3.4149,,,-0.1018,-0.1381,0.1977
FCN,2015-01-19,11.75,11.86,11.53,11.59,109630,11.4,,,1.6577,,,-0.1682,-0.237,0.1916
FCN,2015-01-20,11.64,11.64,11.42,11.64,137980,11.44,,,1.7571,,,0.4709,0.6842,0.203
FCN,2015-01-21,11.64,11.64,11.42,11.42,142170,11.44,,,-0.2097,,,-0.3877,-0.6038,0.2074
FCN,2015-01-22,11.37,11.59,11.37,11.42,82500,11.48,,,-0.4966,,,-0.1384,-0.1882,0.1993
FCN,2015-01-23,11.53,11.7,11.48,11.53,213000,11.48,,,0.418,,,-0.2755,-0.3756,0.2109
FCN,2015-01-26,11.7,12.08,11.64,12.03,531280,11.55,,,4.1198,,,1.2166,1.7476,0.3031
FCN,2015-01-27,12.19,12.58,12.03,12.25,607240,11.65,,,5.1683,,,-0.166,-0.2517,0.3111
FCN,2015-01-28,12.14,12.36,12.08,12.08,185860,11.73,,,2.9838,,,-0.2642,-0.3877,0.3272
FCN,2015-01-29,12.08,12.19,11.92,12.03,160330,11.77,,,2.1743,,,-0.0798,-0.0995,0.3269
FCN,2015-01-30,12.03,12.14,11.7,11.7,233570,11.77,11.57,,-0.5863,1.1629,,-0.4873,-0.7221,0.3655
FCN,2015-02-02,11.81,11.81,11.37,11.37,193570,11.75,11.57,,-3.2093,-1.7626,,-0.4141,-0.5822,0.3901
