ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
FID,2015-05-20,9.11,9.26,8.81,8.88,650200,,,,,,,-0.6641,-0.7255,0.0664
FID,2015-05-21,8.96,9.04,8.81,8.96,467100,,,,,,,0.3771,0.4205,0.1041
FID,2015-05-22,9.04,9.04,8.73,8.96,397000,,,,,,,0.3778,0.36,0.1419
FID,2015-05-25,8.88,9.11,8.81,8.88,610000,,,,,,,-0.738,-0.7874,0.2157
FID,2015-05-26,8.88,9.04,8.81,8.88,651400,,,,,,,-0.4943,-0.5436,0.2651
FID,2015-05-27,8.88,8.96,8.81,8.96,565300,,,,,,,1.2847,1.1346,0.3936
FID,2015-05-28,8.88,9.11,8.81,9.04,624700,,,,,,,0.652,0.7118,0.4588
FID,2015-05-29,9.11,9.19,8.81,8.88,422200,,,,,,,-0.4801,-0.5576,0.5068
FID,2015-06-01,8.88,9.04,8.88,8.96,716000,,,,,,,0.0,0.0,0.5068
FID,2015-06-02,8.88,8.96,8.81,8.88,385500,8.93,,,-0.5376,,,-0.0429,-0.0489,0.5111
FID,2015-06-03,9.11,9.11,8.81,8.96,471000,8.94,,,0.2686,,,0.0,0.0,0.4447
FID,2015-06-04,8.88,9.11,8.81,9.04,465100,8.94,,,1.0733,,,0.3946,0.4493,0.4464
FID,2015-06-05,8.96,9.04,8.88,9.04,681700,8.95,,,0.983,,,0.8817,0.8937,0.4968
FID,2015-06-08,8.96,9.42,8.96,9.26,681900,8.99,,,3.0033,,,0.3181,0.3373,0.4548
FID,2015-06-09,9.34,9.42,9.11,9.19,483200,9.02,,,1.8734,,,-0.4487,-0.459,0.4503
FID,2015-06-10,9.26,9.34,9.11,9.19,522700,9.04,,,1.6143,,,-0.295,-0.3103,0.3513
FID,2015-06-11,9.11,9.49,9.11,9.34,574400,9.07,,,2.9315,,,0.1443,0.134,0.3005
FID,2015-06-12,9.34,9.42,9.19,9.42,454900,9.13,,,3.1989,,,0.709,0.8603,0.3234
FID,2015-06-15,9.26,9.49,9.26,9.42,315200,9.17,,,2.6815,,,0.2088,0.2779,0.3443
FID,2015-06-16,9.34,10.33,9.34,10.1,1308900,9.3,9.11,,8.6489,10.8428,,0.7564,0.8411,0.4156
FID,2015-06-17,10.1,11.09,9.87,11.09,1759700,9.51,9.22,,16.6264,20.2494,,3.4314,4.7822,0.7588
FID,2015-06-18,11.09,12.15,10.71,11.31,2085800,9.74,9.34,,16.1668,21.0921,,-0.7694,-1.0166,0.7963
FID,2015-06-19,11.16,11.31,10.25,10.4,1264000,9.87,9.41,,5.3485,10.4972,,-0.8831,-0.8241,0.7964
FID,2015-06-22,10.17,10.33,9.87,10.1,1160400,9.96,9.47,,1.4464,6.6188,,0.0,0.0,0.7646
FID,2015-06-23,10.02,10.25,9.87,10.1,1140200,10.05,9.53,,0.5275,5.9366,,0.7117,0.9019,0.7909
FID,2015-06-24,10.1,10.33,9.8,9.87,760100,10.11,9.58,,-2.4221,3.0325,,-1.071,-1.3423,0.8685
FID,2015-06-25,9.95,10.1,9.87,9.95,482400,10.18,9.62,,-2.2209,3.3766,,-0.3564,-0.4605,0.8897
FID,2015-06-26,10.02,10.33,9.87,10.02,648500,10.24,9.68,,-2.1102,3.491,,-0.3133,-0.4131,0.8501
FID,2015-06-29,10.02,10.1,9.87,9.95,474200,10.29,9.73,,-3.2948,2.2453,,-0.2804,-0.3401,0.8573
FID,2015-06-30,9.95,10.1,9.87,10.02,629400,10.28,9.79,,-2.5387,2.365,,0.2921,0.3769,0.8109
FID,2015-07-01,10.02,11.01,9.87,11.01,2435301,10.27,9.89,,7.1741,11.3133,,5.808,7.1267,1.0485
FID,2015-07-02,11.01,12.07,11.01,12.07,2021200,10.35,10.04,,16.6296,20.1892,,2.7557,3.9172,1.2472
FID,2015-07-03,12.15,12.23,10.93,11.09,973380,10.42,10.14,,6.4504,9.3149,,-0.9909,-1.4134,1.2579
FID,2015-07-06,10.63,11.01,10.02,10.02,2208300,10.41,10.18,,-3.7464,-1.6007,,-2.4245,-2.4963,1.5004
FID,2015-07-07,9.95,10.17,9.8,10.02,797800,10.4,10.22,,-3.6724,-2.0001,,0.2237,0.2367,1.4516
FID,2015-07-08,10.02,10.25,9.87,9.95,644600,10.41,10.26,,-4.4188,-3.0451,,-0.4854,-0.5116,1.393
FID,2015-07-09,10.02,10.02,9.8,9.87,806100,10.4,10.29,,-5.1144,-4.0723,,-0.4502,-0.493,1.4024
FID,2015-07-10,9.87,10.33,9.8,10.02,774400,10.4,10.32,,-3.6724,-2.8976,,-0.1664,-0.2138,1.3877
FID,2015-07-13,9.95,10.25,9.87,10.02,735900,10.41,10.35,,-3.7372,-3.1791,,-0.2355,-0.2631,1.3833
FID,2015-07-14,9.95,10.17,9.95,10.1,828800,10.42,10.35,,-3.0431,-2.406,,0.4785,0.5029,1.4019
FID,2015-07-15,10.02,10.33,9.95,10.1,908700,10.33,10.3,,-2.1887,-1.937,,-0.2195,-0.2515,0.843
FID,2015-07-16,10.02,10.17,9.87,9.95,739700,10.11,10.23,,-1.6215,-2.7513,,-0.5127,-0.5048,0.6187
FID,2015-07-17,9.95,10.17,9.87,10.02,595800,10.01,10.21,,0.1299,-1.8849,,0.0,0.0,0.5196
FID,2015-07-20,10.02,10.17,9.87,10.17,872500,10.02,10.22,,1.4768,-0.4503,,2.0538,2.6524,0.4826
FID,2015-07-21,10.1,10.25,10.02,10.1,470000,10.03,10.22,,0.6979,-1.1355,,-0.3326,-0.4279,0.4935
FID,2015-07-22,10.1,11.09,9.95,11.09,2578700,10.14,10.28,,9.3257,7.9109,,3.1679,4.1035,0.7617
FID,2015-07-23,11.09,12.0,10.02,10.02,1881500,10.16,10.28,,-1.3682,-2.5339,,-2.8685,-3.603,1.0035
FID,2015-07-24,9.04,10.63,9.04,10.4,772900,10.2,10.3,,1.9908,0.9758,,1.1146,1.4527,1.0984
FID,2015-07-27,10.25,10.63,9.87,10.02,1001900,10.2,10.3,,-1.7358,-2.7468,,-1.0989,-1.4017,1.1847
FID,2015-07-28,10.02,10.1,9.87,9.87,717800,10.17,10.3,9.82,-2.988,-4.1329,0.5174,-0.7337,-0.8115,1.2102
