ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
HAG,2015-01-05,22.2,22.7,21.9,22.2,2266240,,,,,,,-1.6012,-4.1028,1.6012
HAG,2015-01-06,21.8,22.5,21.8,22.5,2387520,,,,,,,4.1388,11.6428,2.87
HAG,2015-01-07,22.5,23.0,22.4,22.7,2696050,,,,,,,0.0,0.0,1.9133
HAG,2015-01-08,22.7,22.8,22.3,22.3,1167920,,,,,,,-3.6419,-8.7796,2.3455
HAG,2015-01-09,22.4,22.9,22.3,22.8,2571030,,,,,,,3.2884,8.4017,2.5341
HAG,2015-01-12,22.8,22.8,22.3,22.3,1554940,,,,,,,-2.7007,-8.2591,2.5618
HAG,2015-01-13,22.3,23.3,22.2,23.2,5871820,,,,,,,10.888,27.2228,3.7513
HAG,2015-01-14,23.3,23.6,22.9,23.3,4065820,,,,,,,1.8036,4.7963,3.5078
HAG,2015-01-15,23.2,23.7,23.0,23.5,3141800,,,,,,,2.8097,7.0379,3.4303
HAG,2015-01-16,23.6,23.6,23.0,23.0,4003840,22.78,,,0.9658,,,-7.753,-20.4175,3.8625
HAG,2015-01-19,23.0,23.1,22.5,22.5,2541360,22.81,,,-1.3591,,,-6.1218,-16.469,4.3146
HAG,2015-01-20,22.5,22.8,22.3,22.5,1290750,22.81,,,-1.3591,,,-0.8812,-2.4146,3.9888
HAG,2015-01-21,22.5,22.7,22.2,22.2,1736930,22.76,,,-2.4605,,,-4.7375,-14.0223,4.4626
HAG,2015-01-22,22.2,22.4,22.1,22.3,2213630,22.76,,,-2.0211,,,2.2596,5.7642,4.3244
HAG,2015-01-23,22.5,22.6,22.3,22.3,1791940,22.71,,,-1.8054,,,-4.2389,-10.8151,4.4194
HAG,2015-01-26,22.5,22.6,22.3,22.3,948090,22.71,,,-1.8054,,,-2.8006,-7.2841,4.4294
HAG,2015-01-27,22.4,22.4,21.5,21.8,2647260,22.57,,,-3.4116,,,-1.2082,-3.2081,3.4614
HAG,2015-01-28,21.8,22.1,21.6,21.6,2495860,22.4,,,-3.5714,,,-3.5403,-8.9369,3.6351
HAG,2015-01-29,21.6,22.0,21.5,22.0,2100430,22.25,,,-1.1236,,,5.6497,12.6024,3.9191
HAG,2015-01-30,22.1,22.1,21.5,21.6,1705830,22.11,22.44,,-2.3066,-3.7648,,-2.3565,-6.3235,3.3794
HAG,2015-02-02,21.6,21.8,21.2,21.2,1372910,21.98,22.4,,-3.5487,-5.336,,-2.936,-7.5244,3.0608
HAG,2015-02-03,21.2,21.4,20.9,21.0,1426120,21.83,22.32,,-3.8021,-5.914,,-1.2439,-3.3906,3.0971
HAG,2015-02-04,21.0,21.1,20.8,20.9,1555100,21.7,22.23,,-3.6866,-5.9829,,-1.3467,-3.4218,2.758
HAG,2015-02-05,21.0,21.3,21.0,21.2,1264240,21.59,22.18,,-1.8064,-4.3968,,1.622,3.5055,2.6943
HAG,2015-02-06,21.2,21.6,21.2,21.4,1088560,21.5,22.1,,-0.4651,-3.1893,,-0.0,-0.0,2.2704
HAG,2015-02-09,21.5,21.5,21.2,21.3,1079050,21.4,22.06,,-0.4673,-3.4233,,-1.2452,-2.952,2.1148
HAG,2015-02-10,21.3,21.5,21.1,21.3,2043480,21.35,21.96,,-0.2342,-3.0055,,0.0,0.0,1.994
HAG,2015-02-11,21.4,22.2,21.4,22.0,2132640,21.39,21.9,,2.8518,0.4796,,3.4569,8.9623,1.9857
HAG,2015-02-12,22.2,22.7,22.2,22.4,3913700,21.43,21.84,,4.5264,2.5641,,-2.2385,-5.1428,1.6446
