ticker,time,open,high,low,close,volume
HAP,2015-01-05,3.36784,3.40942,3.36784,3.36784,32350
HAP,2015-01-06,3.32626,3.451,3.28468,3.451,56110
HAP,2015-01-07,3.451,3.49257,3.36784,3.36784,144310
HAP,2015-01-08,3.40942,3.451,3.36784,3.36784,102940
HAP,2015-01-09,3.36784,3.451,3.36784,3.40942,149160
HAP,2015-01-12,3.36784,3.40942,3.32626,3.32626,91670
HAP,2015-01-13,3.28468,3.36784,3.28468,3.28468,115240
HAP,2015-01-14,3.36784,3.49257,3.36784,3.49257,691710
HAP,2015-01-15,3.53415,3.57573,3.49257,3.49257,172230
HAP,2015-01-16,3.49257,3.49257,3.451,3.451,62810
HAP,2015-01-19,3.451,3.451,3.40942,3.40942,228670
HAP,2015-01-20,3.36784,3.451,3.36784,3.451,107040
HAP,2015-01-21,3.40942,3.49257,3.36784,3.451,86420
HAP,2015-01-22,3.451,3.451,3.40942,3.40942,57980
HAP,2015-01-23,3.451,3.49257,3.40942,3.451,168050
HAP,2015-01-26,3.451,3.451,3.40942,3.451,183480
HAP,2015-01-27,3.40942,3.451,3.32626,3.36784,286230
HAP,2015-01-28,3.36784,3.40942,3.32626,3.36784,104900
HAP,2015-01-29,3.36784,3.40942,3.32626,3.36784,101270
HAP,2015-01-30,3.36784,3.40942,3.32626,3.36784,99510
HAP,2015-02-02,3.36784,3.36784,3.28468,3.28468,93350
HAP,2015-02-03,3.28468,3.32626,3.28468,3.28468,48700
HAP,2015-02-04,3.28468,3.32626,3.24311,3.28468,50490
HAP,2015-02-05,3.28468,3.32626,3.24311,3.24311,102260
HAP,2015-02-06,3.24311,3.28468,3.24311,3.28468,31290
HAP,2015-02-09,3.28468,3.28468,3.24311,3.28468,20850
HAP,2015-02-10,3.24311,3.28468,3.24311,3.28468,80400
HAP,2015-02-11,3.28468,3.28468,3.24311,3.28468,21460
HAP,2015-02-12,3.28468,3.40942,3.28468,3.36784,79260
HAP,2015-02-13,3.32626,3.40942,3.32626,3.40942,37660
HAP,2015-02-24,3.36784,3.40942,3.36784,3.36784,19800
HAP,2015-02-25,3.40942,3.40942,3.32626,3.36784,153410
HAP,2015-02-26,3.36784,3.36784,3.28468,3.36784,102090
HAP,2015-02-27,3.36784,3.36784,3.32626,3.36784,165100
HAP,2015-03-02,3.36784,3.36784,3.24311,3.32626,170650
HAP,2015-03-03,3.32626,3.36784,3.28468,3.32626,361910
HAP,2015-03-04,3.38664,3.43502,3.38664,3.38664,309330
HAP,2015-03-05,3.38664,3.4834,3.38664,3.4834,154430
HAP,2015-03-06,3.43502,3.43502,3.38664,3.38664,193000
HAP,2015-03-09,3.38664,3.38664,3.28988,3.33826,57440
HAP,2015-03-10,3.28988,3.38664,3.2415,3.33826,86350
HAP,2015-03-11,3.33826,3.33826,3.2415,3.28988,64760
HAP,2015-03-12,3.28988,3.33826,3.2415,3.2415,76910
HAP,2015-03-13,3.2415,3.28988,3.19312,3.28988,181080
HAP,2015-03-16,3.33826,3.38664,3.28988,3.28988,159390
