ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
HCM,2015-01-05,4.04,4.05,3.96,3.99,368230,,,,,,,-0.4505,-0.2104,0.4505
HCM,2015-01-06,3.95,4.09,3.93,4.09,183390,,,,,,,0.3175,0.1657,0.384
HCM,2015-01-07,4.1,4.21,4.1,4.14,432240,,,,,,,-0.2029,-0.1126,0.3236
HCM,2015-01-08,4.19,4.19,4.1,4.12,256830,,,,,,,-0.5813,-0.2598,0.388
HCM,2015-01-09,4.13,4.19,4.12,4.15,237960,,,,,,,0.0,0.0,0.3104
HCM,2015-01-12,4.18,4.18,4.08,4.08,244800,,,,,,,-0.4252,-0.2436,0.3296
HCM,2015-01-13,4.05,4.12,4.04,4.09,216510,,,,,,,0.163,0.0732,0.3058
HCM,2015-01-14,4.12,4.27,4.09,4.25,610160,,,,,,,1.3158,0.66,0.432
HCM,2015-01-15,4.25,4.34,4.25,4.3,320560,,,,,,,0.0952,0.0452,0.3946
HCM,2015-01-16,4.32,4.39,4.3,4.32,368800,4.15,,,4.1149,,,-0.3073,-0.1537,0.3859
HCM,2015-01-19,4.3,4.32,4.21,4.25,530880,4.18,,,1.6108,,,-0.4267,-0.2201,0.3835
HCM,2015-01-20,4.21,4.26,4.19,4.23,185380,4.19,,,0.9571,,,0.1294,0.0676,0.3647
HCM,2015-01-21,4.23,4.26,4.18,4.19,283150,4.2,,,-0.0925,,,-0.5182,-0.2969,0.3962
HCM,2015-01-22,4.19,4.26,4.14,4.21,198680,4.21,,,-0.0,,,0.07,0.0343,0.3451
HCM,2015-01-23,4.26,4.34,4.22,4.28,371590,4.22,,,1.5337,,,0.0977,0.0497,0.3548
HCM,2015-01-26,4.34,4.35,4.27,4.31,273530,4.24,,,1.5864,,,0.0,0.0,0.3123
HCM,2015-01-27,4.34,4.35,4.19,4.21,546680,4.25,,,-1.1257,,,-0.6207,-0.3263,0.3581
HCM,2015-01-28,4.26,4.27,4.21,4.22,217990,4.25,,,-0.7609,,,-0.1865,-0.0955,0.2452
HCM,2015-01-29,4.25,4.25,4.14,4.19,237030,4.24,,,-1.1291,,,0.0,0.0,0.2357
HCM,2015-01-30,4.21,4.21,4.1,4.1,244410,4.22,4.19,,-2.7606,-1.9788,,-0.5001,-0.2633,0.2549
HCM,2015-02-02,4.13,4.15,4.04,4.04,154730,4.2,4.19,,-3.8224,-3.5847,,-0.3316,-0.1658,0.2454
HCM,2015-02-03,4.05,4.12,3.95,3.95,244480,4.17,4.18,,-5.3382,-5.5873,,-0.3551,-0.1879,0.268
HCM,2015-02-04,3.96,4.04,3.92,4.04,207600,4.15,4.18,,-2.8037,-3.3008,,0.5488,0.2701,0.2711
HCM,2015-02-05,4.05,4.06,4.01,4.03,43250,4.14,4.17,,-2.6908,-3.506,,-0.0854,-0.036,0.2726
HCM,2015-02-06,4.03,4.12,4.03,4.1,117510,4.12,4.17,,-0.3771,-1.5833,,0.2724,0.1254,0.2901
HCM,2015-02-09,4.12,4.13,4.06,4.06,126710,4.09,4.17,,-0.7271,-2.4995,,-0.4408,-0.2027,0.3341
HCM,2015-02-10,4.12,4.12,4.03,4.08,119510,4.08,4.17,,-0.0952,-2.1739,,0.055,0.0231,0.2776
HCM,2015-02-11,4.08,4.19,4.08,4.19,153520,4.08,4.17,,2.8245,0.6836,,0.494,0.2573,0.3083
HCM,2015-02-12,4.21,4.27,4.21,4.22,132610,4.08,4.16,,3.3936,1.3998,,-0.2328,-0.1095,0.3316
HCM,2015-02-13,4.23,4.25,4.17,4.19,187490,4.09,4.15,,2.5316,0.9346,,-0.2418,-0.1083,0.3058
HCM,2015-02-24,4.22,4.25,4.19,4.22,95950,4.11,4.15,,2.7095,1.5893,,0.0001,0.0,0.2726
HCM,2015-02-25,4.23,4.23,4.15,4.17,114320,4.13,4.15,,0.9087,0.4209,,-0.1482,-0.0759,0.2519
HCM,2015-02-26,4.12,4.19,4.1,4.18,61470,4.14,4.15,,0.8745,0.7487,,0.1288,0.0499,0.2099
HCM,2015-02-27,4.21,4.21,4.14,4.14,167930,4.16,4.15,,-0.3425,-0.1092,,-0.5062,-0.1989,0.252
HCM,2015-03-02,4.21,4.25,4.12,4.12,110390,4.16,4.14,,-0.9963,-0.5318,,-0.437,-0.2157,0.2685
HCM,2015-03-03,4.13,4.21,4.13,4.21,151050,4.17,4.13,,0.8376,1.785,,0.2939,0.1426,0.2538
HCM,2015-03-04,4.22,4.39,4.22,4.37,641630,4.2,4.14,,4.1282,5.6415,,1.0421,0.5187,0.3525
HCM,2015-03-05,4.4,4.45,4.37,4.4,461700,4.22,4.15,,4.2304,6.0345,,-0.2616,-0.1341,0.3292
HCM,2015-03-06,4.4,4.41,4.36,4.39,228690,4.24,4.16,,3.5114,5.476,,-0.0,-0.0,0.306
HCM,2015-03-09,4.34,4.36,4.27,4.27,228540,4.25,4.17,,0.5791,2.4685,,-0.5337,-0.2477,0.3352
HCM,2015-03-10,4.28,4.31,4.23,4.3,180630,4.25,4.18,,1.004,2.7705,,0.3603,0.1703,0.3712
HCM,2015-03-11,4.3,4.32,4.25,4.3,106390,4.27,4.2,,0.6977,2.3428,,0.1009,0.0492,0.3665
HCM,2015-03-12,4.27,4.3,4.22,4.3,190510,4.28,4.21,,0.4235,2.0283,,0.5695,0.2508,0.4105
HCM,2015-03-13,4.3,4.3,4.22,4.22,242720,4.29,4.22,,-1.57,-0.0459,,-0.6592,-0.2849,0.4258
HCM,2015-03-16,4.22,4.26,4.12,4.12,336400,4.29,4.22,,-3.9855,-2.5138,,-0.6711,-0.2784,0.4492
HCM,2015-03-17,4.12,4.17,4.12,4.15,191990,4.28,4.23,,-2.9625,-1.6996,,0.298,0.1373,0.4496
HCM,2015-03-18,4.14,4.17,4.1,4.1,174440,4.25,4.23,,-3.5594,-2.9542,,-0.6096,-0.2504,0.4064
HCM,2015-03-19,4.1,4.18,4.1,4.12,167110,4.23,4.22,,-2.6034,-2.5586,,-0.3762,-0.1844,0.4178
HCM,2015-03-20,4.12,4.26,4.1,4.23,331350,4.21,4.22,,0.5226,0.1838,,0.3272,0.1182,0.4506
HCM,2015-03-23,4.21,4.22,4.14,4.14,206850,4.2,4.22,4.18,-1.3259,-1.9006,-0.9409,-0.4645,-0.2269,0.4436
HCM,2015-03-24,4.14,4.14,4.06,4.12,250770,4.18,4.22,4.18,-1.5175,-2.3941,-1.6211,0.2055,0.0987,0.4282
HCM,2015-03-25,4.12,4.14,4.08,4.14,135800,4.16,4.22,4.18,-0.5284,-1.75,-1.0268,0.3775,0.1481,0.4558
HCM,2015-03-26,4.14,4.19,4.12,4.14,183380,4.15,4.21,4.18,-0.156,-1.7048,-1.0268,-0.1751,-0.0774,0.4164
HCM,2015-03-27,4.15,4.17,4.1,4.14,88480,4.14,4.21,4.19,0.0313,-1.7048,-1.039,0.0328,0.0168,0.3538
HCM,2015-03-30,4.14,4.23,4.09,4.09,306540,4.14,4.21,4.18,-1.1574,-2.9038,-2.246,-0.6526,-0.301,0.3519
HCM,2015-03-31,4.09,4.18,4.09,4.12,136620,4.13,4.21,4.18,-0.4384,-2.184,-1.6454,-0.2865,-0.1394,0.3508
HCM,2015-04-01,4.12,4.14,4.0,4.01,183970,4.13,4.19,4.18,-2.7299,-4.2324,-4.0843,-0.3438,-0.162,0.3242
HCM,2015-04-02,4.01,4.1,3.96,4.09,220360,4.12,4.17,4.18,-0.785,-2.0156,-2.1552,0.4591,0.2109,0.3325
HCM,2015-04-03,4.05,4.1,4.04,4.1,237120,4.11,4.16,4.18,-0.1574,-1.369,-1.7541,0.9505,0.4265,0.3948
HCM,2015-04-06,4.06,4.1,4.04,4.05,155320,4.1,4.15,4.17,-1.1996,-2.3554,-2.8675,-0.36,-0.1579,0.3843
HCM,2015-04-07,4.05,4.13,4.01,4.08,180200,4.1,4.14,4.17,-0.4739,-1.4701,-2.1679,0.0503,0.0221,0.3688
HCM,2015-04-08,4.08,4.09,4.05,4.08,68650,4.09,4.13,4.16,-0.3164,-1.2075,-2.0949,0.0656,0.0257,0.3376
HCM,2015-04-09,4.05,4.1,4.05,4.08,120400,4.08,4.12,4.16,-0.1585,-0.9434,-2.0401,-0.0,-0.0,0.3201
HCM,2015-04-10,4.06,4.17,4.06,4.12,251660,4.08,4.11,4.16,0.8564,0.1259,-1.064,0.0,0.0,0.3168
