ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
IDI,2015-01-05,4.48,4.64,4.44,4.6,2097400,,,,,,,3.5926,1.9361,3.5926
IDI,2015-01-06,4.44,4.64,4.44,4.52,1668190,,,,,,,-0.5775,-0.3331,2.085
IDI,2015-01-07,4.64,4.76,4.6,4.6,3781540,,,,,,,-7.1011,-4.3773,3.7571
IDI,2015-01-08,4.6,4.64,4.48,4.56,1367440,,,,,,,0.0,0.0,2.8178
IDI,2015-01-09,4.48,4.72,4.48,4.72,1527990,,,,,,,2.8793,1.5939,2.8301
IDI,2015-01-12,4.72,4.72,4.52,4.52,1007230,,,,,,,-1.7494,-1.1112,2.65
IDI,2015-01-13,4.52,4.64,4.48,4.48,1609660,,,,,,,-3.6363,-1.7875,2.7909
IDI,2015-01-14,4.52,4.56,4.44,4.48,756070,,,,,,,-0.761,-0.4028,2.5372
IDI,2015-01-15,4.48,4.56,4.48,4.52,542900,,,,,,,0.0001,0.0001,2.2553
IDI,2015-01-16,4.56,4.56,4.48,4.48,370890,4.55,,,-1.5085,,,-0.7208,-0.3737,2.1018
IDI,2015-01-19,4.48,4.52,4.44,4.52,526480,4.54,,,-0.4444,,,1.2694,0.6971,1.8695
IDI,2015-01-20,4.48,4.68,4.48,4.64,1465100,4.55,,,1.9503,,,3.0696,1.7566,2.1187
IDI,2015-01-21,4.6,4.64,4.52,4.56,584510,4.55,,,0.2662,,,-0.5349,-0.3333,1.4621
IDI,2015-01-22,4.52,4.6,4.52,4.52,591220,4.54,,,-0.5328,,,-1.877,-0.9884,1.6498
IDI,2015-01-23,4.52,4.56,4.44,4.44,996550,4.52,,,-1.6979,,,-2.3603,-1.2445,1.5979
IDI,2015-01-26,4.52,4.56,4.48,4.48,999290,4.51,,,-0.7156,,,-2.9979,-1.6001,1.7227
IDI,2015-01-27,4.48,4.52,4.28,4.28,740490,4.49,,,-4.7619,,,-1.0089,-0.5394,1.46
IDI,2015-01-28,4.32,4.4,4.28,4.32,666280,4.48,,,-3.5166,,,-0.3167,-0.166,1.4156
IDI,2015-01-29,4.28,4.36,4.2,4.24,530630,4.45,,,-4.7186,,,-0.7143,-0.3147,1.487
IDI,2015-01-30,4.24,4.32,4.16,4.16,667060,4.41,4.48,,-5.8501,-7.2489,,-1.3649,-0.7281,1.5514
IDI,2015-02-02,4.16,4.24,4.12,4.12,182400,4.37,4.46,,-5.9041,-7.6506,,-0.3909,-0.1992,1.4635
IDI,2015-02-03,4.16,4.16,4.0,4.12,637420,4.32,4.44,,-4.762,-7.2306,,0.4629,0.2554,1.2029
IDI,2015-02-04,4.12,4.16,4.0,4.04,291820,4.27,4.41,,-5.4821,-8.4669,,-0.3858,-0.1897,1.188
IDI,2015-02-05,4.04,4.12,4.04,4.04,184710,4.22,4.38,,-4.3978,-7.9191,,-0.7297,-0.3085,1.0732
IDI,2015-02-06,4.08,4.12,4.04,4.08,61410,4.18,4.35,,-2.6036,-6.3079,,0.0,0.0,0.8372
IDI,2015-02-09,4.08,4.12,4.0,4.0,170700,4.14,4.32,,-3.4146,-7.6061,,-0.5938,-0.2685,0.5968
IDI,2015-02-10,4.0,4.08,4.0,4.04,145500,4.11,4.3,,-1.8647,-6.1915,,-0.0001,-0.0,0.4959
IDI,2015-02-11,4.08,4.12,4.04,4.12,119970,4.09,4.28,,0.5917,-3.9096,,0.3861,0.1973,0.5028
IDI,2015-02-12,4.16,4.32,4.12,4.24,385980,4.09,4.27,,3.5504,-0.756,,0.2259,0.1067,0.454
IDI,2015-02-13,4.24,4.28,4.2,4.24,122580,4.1,4.26,,3.3466,-0.4738,,0.0001,0.0,0.3175
IDI,2015-02-24,4.24,4.24,4.16,4.24,89010,4.11,4.24,,3.0423,-0.1426,,0.3288,0.1619,0.3113
IDI,2015-02-25,4.24,4.28,4.16,4.16,240220,4.12,4.22,,0.9805,-1.4825,,-0.4669,-0.2386,0.3117
IDI,2015-02-26,4.16,4.24,4.16,4.2,151430,4.13,4.2,,1.5624,-0.0961,,-0.0001,-0.0,0.2731
IDI,2015-02-27,4.28,4.28,4.16,4.16,338290,4.14,4.18,,0.2922,-0.6271,,-1.0197,-0.402,0.3021
IDI,2015-03-02,4.2,4.2,4.12,4.16,254450,4.15,4.17,,0.0972,-0.2904,,0.0001,0.0001,0.3022
IDI,2015-03-03,4.16,4.24,4.12,4.2,340940,4.17,4.15,,0.5802,1.0199,,0.2211,0.107,0.2649
IDI,2015-03-04,4.28,4.44,4.28,4.36,3353060,4.2,4.16,,3.6468,4.8035,,-0.0,-0.0,0.2649
IDI,2015-03-05,4.36,4.4,4.28,4.32,355890,4.23,4.16,,2.1968,3.8332,,-0.2015,-0.1013,0.2464
IDI,2015-03-06,4.28,4.48,4.28,4.4,900390,4.24,4.17,,3.7106,5.5689,,0.4102,0.2012,0.2648
IDI,2015-03-09,4.4,4.44,4.28,4.28,923370,4.25,4.17,,0.7604,2.5145,,-2.1562,-1.0024,0.4805
IDI,2015-03-10,4.28,4.36,4.24,4.28,421570,4.25,4.18,,0.6647,2.3166,,-0.4205,-0.1978,0.4896
IDI,2015-03-11,4.28,4.32,4.24,4.28,250720,4.26,4.19,,0.3788,2.1194,,-0.0001,-0.0,0.4429
IDI,2015-03-12,4.28,4.32,4.2,4.24,233650,4.27,4.2,,-0.6622,0.9131,,-0.2328,-0.1011,0.4662
