ticker,time,open,high,low,close,volume
MIG,2024-12-24,18.65,18.7,18.25,18.45,457000
MIG,2024-12-25,18.6,19.5,17.95,17.95,613200
MIG,2024-12-26,18.05,18.2,17.8,17.9,424700
MIG,2024-12-27,17.9,17.9,17.45,17.5,475100
MIG,2024-12-30,17.55,17.7,17.3,17.5,199800
MIG,2024-12-31,17.65,17.7,17.35,17.5,224200
MIG,2025-01-02,17.5,18.25,17.5,18.2,485500
MIG,2025-01-03,18.3,18.3,17.65,17.65,363200
MIG,2025-01-06,17.55,17.8,17.0,17.15,442800
MIG,2025-01-07,17.1,17.15,16.8,16.8,488700
MIG,2025-01-08,16.8,17.15,16.55,16.9,368000
MIG,2025-01-09,17.1,17.15,16.8,16.9,210900
MIG,2025-01-10,16.8,16.95,16.55,16.65,349200
MIG,2025-01-13,16.5,16.9,16.5,16.8,104000
MIG,2025-01-14,16.75,16.95,16.65,16.7,189900
MIG,2025-01-15,16.7,17.0,16.7,17.0,117100
MIG,2025-01-16,17.15,17.15,16.85,16.95,144900
MIG,2025-01-17,16.9,17.1,16.8,17.0,180200
MIG,2025-01-20,17.1,17.35,17.0,17.0,190100
MIG,2025-01-21,17.25,17.25,16.5,16.6,224000
MIG,2025-01-22,16.6,16.85,16.6,16.65,271900
MIG,2025-01-23,16.85,16.95,16.75,16.8,115700
MIG,2025-01-24,16.95,17.1,16.85,16.9,116700
MIG,2025-02-03,16.9,17.05,16.75,17.05,143400
MIG,2025-02-04,16.9,17.15,16.75,16.9,320400
MIG,2025-02-05,17.0,17.0,16.8,17.0,183400
MIG,2025-02-06,17.0,17.3,17.0,17.3,277100
MIG,2025-02-07,17.4,17.9,17.25,17.5,938300
MIG,2025-02-10,17.4,17.5,17.25,17.3,206800
MIG,2025-02-11,17.4,17.45,17.2,17.3,172300
MIG,2025-02-12,17.5,18.0,17.2,17.9,790800
MIG,2025-02-13,17.9,18.2,17.7,17.95,466600
MIG,2025-02-14,18.1,18.1,17.7,18.0,541600
MIG,2025-02-17,17.8,18.0,17.75,18.0,401500
MIG,2025-02-18,18.0,18.9,17.75,18.8,1103300
MIG,2025-02-19,18.85,18.85,18.45,18.6,335200
MIG,2025-02-20,18.65,18.8,18.2,18.35,486900
MIG,2025-02-21,18.35,18.6,18.1,18.45,643000
MIG,2025-02-24,18.45,18.8,18.2,18.8,432700
MIG,2025-02-25,18.8,18.8,18.45,18.55,524900
MIG,2025-02-26,18.55,19.1,18.4,18.65,525600
MIG,2025-02-27,18.75,18.8,18.45,18.5,368600
MIG,2025-02-28,18.5,18.65,18.15,18.15,331300
MIG,2025-03-03,18.0,18.3,18.0,18.15,351100
MIG,2025-03-04,18.1,18.3,17.8,18.0,355300
MIG,2025-03-05,18.1,18.55,17.9,18.5,721700
MIG,2025-03-06,18.6,18.6,18.3,18.5,355600
MIG,2025-03-07,18.4,18.75,18.0,18.0,575200
MIG,2025-03-10,18.2,18.2,17.75,17.8,449100
MIG,2025-03-11,17.45,17.95,17.45,17.65,395900
MIG,2025-03-12,17.7,17.8,17.55,17.7,220000
MIG,2025-03-13,17.8,17.8,17.5,17.5,140600
MIG,2025-03-14,17.5,17.65,17.35,17.35,159500
MIG,2025-03-17,17.4,17.45,17.1,17.3,360200
MIG,2025-03-18,17.3,17.5,17.3,17.45,121000
MIG,2025-03-19,17.45,17.45,17.3,17.35,95900
MIG,2025-03-20,17.4,17.45,17.25,17.3,90900
MIG,2025-03-21,17.5,17.5,17.25,17.4,89700
MIG,2025-03-24,17.5,17.5,17.25,17.3,86200
MIG,2025-03-25,17.25,17.6,17.2,17.5,148200
MIG,2025-03-26,17.55,17.65,17.45,17.5,133000
MIG,2025-03-27,17.45,17.85,17.45,17.8,242400
MIG,2025-03-28,18.0,18.05,17.6,17.7,162300
MIG,2025-03-31,17.8,17.8,17.4,17.4,156700
MIG,2025-04-01,17.3,17.45,17.3,17.4,94300
MIG,2025-04-02,17.4,17.6,17.4,17.45,94900
MIG,2025-04-03,17.0,17.0,16.25,16.25,687200
MIG,2025-04-04,15.15,16.5,15.15,16.25,705200
MIG,2025-04-08,15.35,15.45,15.15,15.15,337500
MIG,2025-04-09,14.2,15.0,14.2,14.3,153100
MIG,2025-04-10,15.3,15.3,15.3,15.3,12000
MIG,2025-04-11,15.6,16.0,15.2,15.95,321400
MIG,2025-04-14,15.9,16.2,15.8,16.1,114000
MIG,2025-04-15,16.1,16.1,15.5,15.8,198900
MIG,2025-04-16,15.4,15.9,15.4,15.8,147700
MIG,2025-04-17,15.8,16.0,15.5,15.8,59400
MIG,2025-04-18,15.65,16.1,15.65,15.85,451900
MIG,2025-04-21,15.9,16.1,15.8,15.85,121600
MIG,2025-04-22,16.0,16.0,14.75,15.6,318700
MIG,2025-04-23,15.85,16.1,15.6,16.1,173200
MIG,2025-04-24,16.2,16.3,16.1,16.2,273700
MIG,2025-04-25,16.15,16.35,16.05,16.1,108000
MIG,2025-04-28,16.1,16.15,16.0,16.15,109900
MIG,2025-04-29,16.25,16.3,16.05,16.1,127700
MIG,2025-05-05,16.3,16.3,15.95,16.15,66900
MIG,2025-05-06,16.25,16.6,16.15,16.4,484700
MIG,2025-05-07,16.4,16.55,16.2,16.35,122100
MIG,2025-05-08,16.35,16.4,16.25,16.35,194000
MIG,2025-05-09,16.35,16.6,16.35,16.35,153500
MIG,2025-05-12,16.35,16.4,16.2,16.3,69000
