ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
NBC,2015-01-05,3.68,3.68,3.68,3.68,2100,,,,,,,0.0,0.0,0.0
NBC,2015-01-06,3.68,3.68,3.68,3.68,100,,,,,,,0.0,0.0,0.0
NBC,2015-01-07,3.81,3.81,3.81,3.81,225,,,,,,,0.0,0.0,0.0
NBC,2015-01-08,3.68,3.75,3.68,3.75,10200,,,,,,,0.0318,0.0129,0.008
NBC,2015-01-09,3.75,3.75,3.75,3.75,0,,,,,,,0.0,0.0,0.0064
NBC,2015-01-12,3.84,3.84,3.84,3.84,327,,,,,,,0.0,0.0,0.0053
NBC,2015-01-13,3.81,3.81,3.71,3.71,1012,,,,,,,-0.0023,-0.0009,0.0049
NBC,2015-01-14,3.75,3.75,3.68,3.75,2202,,,,,,,0.0068,0.0029,0.0051
NBC,2015-01-15,3.84,3.84,3.68,3.81,2700,,,,,,,0.0034,0.0014,0.0049
NBC,2015-01-16,3.75,3.75,3.71,3.71,5000,3.75,,,-0.9393,,,-0.0097,-0.0041,0.0054
NBC,2015-01-19,3.78,3.84,3.78,3.84,12000,3.76,,,2.0409,,,0.0289,0.0133,0.0083
NBC,2015-01-20,3.78,3.81,3.78,3.81,18923,3.78,,,0.8473,,,0.0645,0.0299,0.0147
NBC,2015-01-21,3.81,3.87,3.81,3.87,4387,3.78,,,2.3689,,,0.012,0.0062,0.0159
NBC,2015-01-22,3.94,4.16,3.94,4.16,44500,3.83,,,8.7866,,,0.1362,0.0649,0.0264
NBC,2015-01-23,4.19,4.58,4.16,4.45,126562,3.9,,,14.2152,,,0.1151,0.0586,0.0379
NBC,2015-01-26,4.48,4.48,4.42,4.42,9600,3.95,,,11.7409,,,-0.0284,-0.0146,0.0407
NBC,2015-01-27,4.42,4.42,4.23,4.26,4500,4.01,,,6.2301,,,-0.0041,-0.0021,0.0409
NBC,2015-01-28,4.26,4.35,4.16,4.35,2700,4.07,,,7.0023,,,0.0038,0.0019,0.0406
NBC,2015-01-29,4.07,4.29,4.07,4.29,17300,4.12,,,4.1991,,,0.0466,0.0203,0.0449
NBC,2015-01-30,4.16,4.16,4.16,4.16,7300,4.16,3.96,,0.0,5.2206,,0.0,0.0,0.044
NBC,2015-02-02,4.16,4.16,4.1,4.1,4100,4.19,3.98,,-2.1406,3.0597,,-0.0088,-0.0043,0.0419
NBC,2015-02-03,4.1,4.16,4.1,4.13,6500,4.22,4.0,,-2.1244,3.2827,,0.0,0.0,0.0355
NBC,2015-02-04,4.13,4.16,4.13,4.16,3000,4.25,4.02,,-2.0347,3.6269,,0.0078,0.0039,0.0351
NBC,2015-02-05,4.16,4.16,4.16,4.16,11000,4.25,4.04,,-2.0347,3.0928,,0.0,0.0,0.0215
NBC,2015-02-06,4.1,4.1,4.1,4.1,1583,4.21,4.05,,-2.7355,1.066,,0.0,0.0,0.01
NBC,2015-02-09,4.16,4.16,4.1,4.1,17000,4.18,4.07,,-1.9907,0.7478,,-0.0588,-0.0268,0.013
