ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
PVS,2015-01-05,15.11,15.11,14.71,14.77,1680604,,,,,,,-3.3482,-5.7919,3.3482
PVS,2015-01-06,14.71,14.71,14.14,14.54,1832920,,,,,,,1.2839,2.3766,2.316
PVS,2015-01-07,14.48,14.88,14.26,14.65,1848097,,,,,,,0.89,1.7542,1.8407
PVS,2015-01-08,14.77,15.11,14.65,14.82,1804879,,,,,,,-1.4611,-2.3793,1.7458
PVS,2015-01-09,14.77,15.68,14.77,15.62,3729397,,,,,,,6.194,11.1843,2.6354
PVS,2015-01-12,15.51,15.62,14.88,15.39,2409090,,,,,,,1.5834,3.4183,2.4601
PVS,2015-01-13,13.86,15.34,13.86,14.88,1961663,,,,,,,1.6812,2.7367,2.3488
PVS,2015-01-14,15.0,15.28,14.71,15.22,1565820,,,,,,,3.8118,6.7599,2.5317
PVS,2015-01-15,15.17,16.64,15.17,16.42,7361289,,,,,,,10.8138,19.4389,3.4519
PVS,2015-01-16,16.36,16.36,15.9,16.07,3096683,15.24,,,5.46,,,-1.5661,-2.9089,3.2634
PVS,2015-01-19,14.48,16.47,14.48,15.9,1642959,15.35,,,3.5763,,,1.6904,3.2651,3.0976
PVS,2015-01-20,15.85,15.96,15.56,15.73,1984490,15.47,,,1.6807,,,-1.0204,-2.0021,3.0712
PVS,2015-01-21,15.68,15.85,15.56,15.62,1112107,15.57,,,0.3405,,,-1.7824,-3.8015,3.1605
PVS,2015-01-22,15.62,15.9,15.56,15.9,1115920,15.68,,,1.4354,,,3.4273,6.4899,3.3571
PVS,2015-01-23,15.9,16.19,15.79,16.19,1153737,15.73,,,2.9113,,,2.7311,5.2327,3.0108
PVS,2015-01-26,15.9,16.07,15.68,15.68,732502,15.76,,,-0.5139,,,-2.1733,-4.0691,3.0698
PVS,2015-01-27,15.73,15.9,15.34,15.68,2927589,15.84,,,-1.0163,,,0.8569,1.6713,2.9874
PVS,2015-01-28,15.68,15.9,15.39,15.9,1251436,15.91,,,-0.0566,,,1.7803,3.4429,2.7842
PVS,2015-01-29,15.62,15.79,15.51,15.51,918540,15.82,,,-1.9471,,,-2.4708,-3.9735,1.9499
PVS,2015-01-30,15.51,15.73,15.22,15.28,1206830,15.74,15.49,,-2.9163,-1.3462,,-1.9224,-3.7321,1.9855
PVS,2015-02-02,15.28,15.85,15.28,15.85,1716534,15.73,15.54,,0.7373,1.9784,,3.6759,7.2079,2.1841
PVS,2015-02-03,15.85,16.24,15.62,15.73,1917057,15.73,15.6,,-0.0254,0.8204,,-1.7943,-3.7837,2.2615
PVS,2015-02-04,15.79,15.96,15.68,15.85,715090,15.76,15.66,,0.5902,1.2004,,0.4024,0.7837,2.1235
PVS,2015-02-05,15.73,15.73,15.51,15.51,611895,15.72,15.7,,-1.3233,-1.1882,,-2.3465,-3.9043,2.0154
PVS,2015-02-06,15.51,15.9,15.34,15.9,1753560,15.69,15.71,,1.3449,1.2062,,5.706,10.1594,2.3129
PVS,2015-02-09,15.62,15.9,15.51,15.73,575910,15.69,15.73,,0.2294,0.0159,,0.2564,0.4573,2.1212
PVS,2015-02-10,15.73,15.73,15.56,15.56,799612,15.68,15.76,,-0.778,-1.2784,,-2.5401,-4.1161,2.2895
PVS,2015-02-11,14.03,15.62,14.03,15.39,1118227,15.63,15.77,,-1.5418,-2.4096,,2.5748,4.9184,2.369
PVS,2015-02-12,15.39,15.56,15.39,15.56,601820,15.64,15.73,,-0.4861,-1.0619,,1.7245,3.0377,2.2943
PVS,2015-02-13,15.62,15.68,15.51,15.56,427250,15.66,15.7,,-0.6639,-0.9012,,-0.6597,-1.1108,2.1681
PVS,2015-02-24,15.56,15.68,15.39,15.45,565124,15.62,15.68,,-1.1137,-1.4606,,-1.2249,-2.1969,1.923
PVS,2015-02-25,15.62,15.62,15.11,15.11,1127076,15.56,15.65,,-2.9045,-3.4381,,-2.1919,-4.0449,1.9627
PVS,2015-02-26,15.22,15.51,15.0,15.39,2063987,15.52,15.64,,-0.8121,-1.5764,,3.1454,4.5483,2.237
PVS,2015-02-27,13.86,15.51,13.86,15.39,998769,15.5,15.61,,-0.7353,-1.4157,,2.5686,3.7632,2.2592
PVS,2015-03-02,15.39,15.45,15.22,15.34,802100,15.45,15.57,,-0.6991,-1.4677,,0.1384,0.2521,1.7025
PVS,2015-03-03,13.8,15.45,13.8,15.45,627700,15.42,15.56,,0.1946,-0.6878,,1.2128,2.1729,1.7981
PVS,2015-03-04,15.51,15.56,15.39,15.56,961766,15.42,15.55,,0.9079,0.0579,,1.8216,3.2392,1.7263
PVS,2015-03-05,15.56,16.07,15.56,15.79,2569370,15.46,15.55,,2.1345,1.5728,,-0.4275,-0.7834,1.5115
PVS,2015-03-06,15.9,15.9,15.62,15.62,937231,15.47,15.55,,0.9957,0.4437,,-2.0954,-3.6823,1.5486
