ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
QTP,2017-03-16,9.67,9.67,9.67,9.67,14900,,,,,,,0.0,0.0,0.0
QTP,2017-03-17,11.07,11.07,9.18,9.61,3000,,,,,,,-0.0016,-0.0015,0.0002
QTP,2017-03-20,9.61,9.61,9.61,9.61,0,,,,,,,0.0,0.0,0.0002
QTP,2017-03-21,8.82,8.82,8.27,8.27,9451,,,,,,,-0.0108,-0.009,0.0012
QTP,2017-03-22,7.54,7.54,7.54,7.54,2300,,,,,,,0.0022,0.0019,0.0015
QTP,2017-03-23,6.45,6.45,6.45,6.45,3300,,,,,,,0.0045,0.0025,0.0019
QTP,2017-03-24,5.53,5.53,5.53,5.53,2100,,,,,,,0.0022,0.0015,0.0021
QTP,2017-03-27,5.17,5.17,5.17,5.17,14250,,,,,,,-0.0157,-0.0089,0.0037
QTP,2017-03-28,5.84,5.84,5.78,5.84,311,,,,,,,0.0004,0.0002,0.0037
QTP,2017-03-29,6.45,6.45,6.45,6.45,120,7.41,,,-13.0024,,,0.0,0.0,0.0037
QTP,2017-03-30,6.45,6.45,6.45,6.45,10,7.09,,,-9.0525,,,0.0,0.0,0.0037
QTP,2017-03-31,7.06,7.06,6.39,6.39,220,6.77,,,-5.613,,,-0.0003,-0.0002,0.0036
QTP,2017-04-03,6.75,6.75,6.75,6.75,0,6.48,,,4.1024,,,0.0,0.0,0.0036
QTP,2017-04-04,5.78,5.78,5.78,5.78,210,6.24,,,-7.2975,,,0.0002,0.0001,0.0026
QTP,2017-04-05,4.93,4.99,4.93,4.93,4700,5.97,,,-17.4757,,,-0.0054,-0.0033,0.0029
QTP,2017-04-07,5.66,5.66,5.66,5.66,200,5.9,,,-3.9864,,,-0.0002,-0.0001,0.0024
QTP,2017-04-10,6.08,6.08,6.08,6.08,100,5.95,,,2.1849,,,0.0001,0.0001,0.0022
QTP,2017-04-11,5.17,5.17,5.17,5.17,100,5.95,,,-13.1092,,,0.0001,0.0001,0.0007
QTP,2017-04-12,5.17,5.17,4.74,4.8,500,5.85,,,-17.8926,,,-0.0004,-0.0003,0.0007
QTP,2017-04-13,4.62,4.62,4.62,4.62,100,5.66,6.54,,-18.4178,-29.3416,,0.0001,0.0001,0.0007
