ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
STB,2015-01-05,14.5,14.83,14.5,14.58,314670,,,,,,,-0.4603,-0.7872,0.4603
STB,2015-01-06,14.42,15.08,14.42,14.83,434600,,,,,,,0.1828,0.3452,0.3216
STB,2015-01-07,14.92,15.08,14.75,14.92,626340,,,,,,,0.0354,0.0711,0.2262
STB,2015-01-08,14.83,15.25,14.83,15.08,975360,,,,,,,0.5789,0.9563,0.3144
STB,2015-01-09,15.08,15.58,15.08,15.42,1506260,,,,,,,1.0331,1.8457,0.4581
STB,2015-01-12,15.42,16.0,15.25,15.83,1686990,,,,,,,1.6026,3.5571,0.6489
STB,2015-01-13,15.67,16.08,15.58,15.67,793700,,,,,,,-1.1423,-1.9678,0.7193
STB,2015-01-14,15.58,15.75,15.33,15.42,749810,,,,,,,-1.3237,-2.3755,0.7949
STB,2015-01-15,15.42,15.42,15.17,15.42,548280,,,,,,,1.1466,1.9389,0.834
STB,2015-01-16,15.42,15.67,15.25,15.33,555790,15.25,,,0.5246,,,-0.6672,-1.1824,0.8173
STB,2015-01-19,15.5,15.67,15.42,15.5,635810,15.34,,,1.0299,,,-0.5508,-1.0374,0.8263
STB,2015-01-20,15.42,15.58,15.25,15.25,175320,15.38,,,-0.871,,,-0.6001,-1.1442,0.8681
STB,2015-01-21,15.5,15.58,15.33,15.42,442790,15.43,,,-0.0907,,,-0.3381,-0.7123,0.8983
STB,2015-01-22,15.42,15.75,15.33,15.67,685280,15.49,,,1.1425,,,1.2967,2.4286,0.9701
STB,2015-01-23,15.67,15.83,15.58,15.67,1058110,15.52,,,0.9795,,,-0.7078,-1.3058,0.9376
STB,2015-01-26,15.67,15.67,15.42,15.5,376050,15.48,,,0.0969,,,-0.4012,-0.7426,0.8174
STB,2015-01-27,15.42,15.67,15.17,15.25,801620,15.44,,,-1.2498,,,-0.7462,-1.4142,0.7778
STB,2015-01-28,15.25,16.25,15.08,16.17,2809230,15.52,,,4.2016,,,3.4463,6.7821,0.9901
STB,2015-01-29,16.25,16.5,15.92,16.0,1384980,15.58,,,2.7221,,,-2.698,-4.4775,1.1452
STB,2015-01-30,15.75,16.0,15.67,15.83,1050090,15.63,15.44,,1.3055,2.5392,,-0.0662,-0.1331,1.0851
STB,2015-02-02,15.58,15.67,15.25,15.33,930440,15.61,15.48,,-1.7874,-0.9402,,-1.2323,-2.338,1.1533
STB,2015-02-03,15.33,15.33,14.33,14.33,1856520,15.52,15.45,,-7.6497,-7.2522,,-2.6973,-5.1767,1.363
STB,2015-02-04,14.33,14.92,14.0,14.92,1302470,15.47,15.45,,-3.5366,-3.4335,,3.4227,6.2704,1.6715
STB,2015-02-05,14.67,15.08,14.67,14.92,322600,15.39,15.44,,-3.0665,-3.3835,,0.271,0.4343,1.5689
STB,2015-02-06,14.67,15.0,14.67,15.0,120340,15.32,15.42,,-2.1207,-2.7332,,0.3915,0.6578,1.5373
STB,2015-02-09,14.83,15.25,14.83,14.92,605210,15.27,15.38,,-2.2729,-2.9657,,-1.2,-2.0281,1.6172
STB,2015-02-10,15.0,15.17,15.0,15.0,386830,15.24,15.34,,-1.5877,-2.2324,,-1.2279,-1.9184,1.6653
STB,2015-02-11,15.0,15.5,15.0,15.5,836640,15.18,15.35,,2.1417,1.0002,,2.7094,5.2122,1.5916
STB,2015-02-12,15.5,15.83,15.42,15.67,1103890,15.14,15.36,,3.487,2.0249,,0.693,1.2301,1.3911
STB,2015-02-13,15.67,16.08,15.67,15.92,1631000,15.15,15.39,,5.0756,3.4539,,1.3376,2.3101,1.5183
STB,2015-02-24,15.92,16.0,15.83,16.0,519760,15.22,15.41,,5.1387,3.8051,,1.9179,3.5657,1.5868
STB,2015-02-25,16.0,16.67,16.0,16.08,1833670,15.39,15.46,,4.4631,4.044,,-2.7169,-5.3346,1.5888
STB,2015-02-26,16.08,16.42,16.08,16.33,804100,15.53,15.5,,5.1242,5.3514,,1.0921,1.6718,1.3557
STB,2015-02-27,16.42,16.5,16.17,16.17,1340740,15.66,15.53,,3.2633,4.1512,,-4.0326,-6.2117,1.7319
STB,2015-03-02,16.25,16.25,16.0,16.17,1516340,15.78,15.55,,2.4975,3.9838,,2.1786,4.1708,1.9106
STB,2015-03-03,16.25,16.33,16.17,16.17,1276070,15.9,15.58,,1.6917,3.7603,,-2.4643,-4.6207,2.037
STB,2015-03-04,16.17,16.25,16.17,16.25,1028060,16.03,15.63,,1.3977,3.9401,,1.9462,3.6142,2.1089
STB,2015-03-05,16.25,16.25,16.0,16.08,909260,16.08,15.63,,-0.0249,2.8824,,-0.5541,-1.0357,1.8933
