ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
TCH,2016-10-05,7.31,7.31,7.31,7.31,205890,,,,,,,-0.4569,-0.3173,0.0457
TCH,2016-10-06,7.82,7.82,7.82,7.82,14250,,,,,,,0.0,0.0,0.0457
TCH,2016-10-07,8.35,8.35,8.35,8.35,30910,,,,,,,0.0,0.0,0.0457
TCH,2016-10-10,8.91,8.91,8.91,8.91,450360,,,,,,,0.0,0.0,0.0457
TCH,2016-10-11,9.52,9.52,9.52,9.52,799790,,,,,,,0.0,0.0,0.0457
TCH,2016-10-12,10.17,10.17,10.17,10.17,1130610,,,,,,,-2.5668,-2.4751,0.3024
TCH,2016-10-13,10.88,10.88,10.86,10.88,3145880,,,,,,,5.3977,7.1122,0.8421
TCH,2016-10-14,11.57,11.64,11.37,11.64,2242380,,,,,,,3.1506,4.2777,1.1572
TCH,2016-10-17,12.43,12.45,12.35,12.45,1428260,,,,,,,2.7215,3.2127,1.4294
TCH,2016-10-18,13.3,13.3,13.28,13.3,1439460,10.04,,,32.5361,,,3.3027,5.1277,1.7596
TCH,2016-10-19,14.19,14.19,12.39,12.39,1389260,10.54,,,17.5187,,,-2.0539,-2.9445,1.9193
TCH,2016-10-20,11.53,11.53,11.53,11.53,805310,10.91,,,5.6441,,,0.0,0.0,1.9193
TCH,2016-10-21,10.74,12.0,10.74,11.78,3892820,11.26,,,4.646,,,4.7167,6.2406,2.391
TCH,2016-10-24,11.82,12.12,11.8,12.04,1239320,11.57,,,4.0622,,,1.168,1.3589,2.5078
TCH,2016-10-25,12.08,12.43,11.33,11.55,1387380,11.77,,,-1.8942,,,-1.9528,-2.694,2.7031
TCH,2016-10-26,10.97,11.57,10.78,11.57,2192960,11.91,,,-2.8792,,,6.2487,9.0677,3.0713
TCH,2016-10-27,11.64,12.12,11.64,12.1,1137290,12.04,,,0.5401,,,3.3812,3.9775,2.8696
TCH,2016-10-28,11.41,12.35,11.41,12.27,1771130,12.1,,,1.4217,,,4.2239,6.0189,2.977
TCH,2016-10-31,12.12,12.12,11.41,11.49,557560,12.0,,,-4.266,,,-0.959,-1.0507,2.8007
TCH,2016-11-01,10.84,11.7,10.7,11.49,941280,11.82,10.93,,-2.8001,5.1428,,1.7824,1.9468,2.6487
TCH,2016-11-02,11.51,11.51,10.7,10.7,733570,11.65,11.1,,-8.1703,-3.5819,,-1.5079,-1.653,2.5941
TCH,2016-11-03,9.97,10.32,9.97,9.97,280160,11.5,11.2,,-13.2742,-11.0219,,-0.5666,-0.5312,2.6507
TCH,2016-11-04,9.28,9.73,9.28,9.63,1020320,11.28,11.27,,-14.6352,-14.5443,,2.0887,1.8594,2.3879
TCH,2016-11-07,9.34,9.75,8.96,8.96,179850,10.97,11.27,,-18.345,-20.5075,,-0.5279,-0.4643,2.3239
TCH,2016-11-08,8.35,9.56,8.35,9.56,1175430,10.77,11.27,,-11.2679,-15.1994,,3.6236,3.8626,2.491
TCH,2016-11-09,9.6,9.97,9.14,9.69,1376620,10.59,11.25,,-8.464,-13.8628,,0.9177,0.7571,1.9579
TCH,2016-11-10,9.73,10.36,9.71,9.71,617110,10.35,11.19,,-6.1564,-13.2338,,-1.3474,-1.518,1.7545
TCH,2016-11-11,9.14,9.71,9.04,9.04,610960,10.02,11.06,,-9.8164,-18.2714,,-2.1466,-2.0847,1.5468
TCH,2016-11-14,8.93,8.98,8.53,8.87,910960,9.76,10.88,,-9.1375,-18.4892,,1.1498,0.9284,1.5659
TCH,2016-11-15,8.89,9.08,8.89,9.06,717210,9.52,10.67,,-4.8219,-15.089,,1.5857,1.4098,1.5462
TCH,2016-11-16,9.1,9.32,9.1,9.18,1183670,9.37,10.51,,-1.9964,-12.6505,,-0.7578,-0.7746,1.4712
