ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
TCX,2025-10-21,49.8,51.0,48.45,48.95,14668000,,,,,,,-1.1571,-1.897,0.1157
TCX,2025-10-22,49.0,49.0,47.3,48.05,5853000,,,,,,,-0.1173,-0.1839,0.1274
TCX,2025-10-23,47.6,48.0,46.7,47.9,4955300,,,,,,,0.7831,1.2128,0.2057
TCX,2025-10-24,47.0,47.9,46.5,46.95,3740300,,,,,,,-0.2522,-0.369,0.231
TCX,2025-10-27,46.85,46.95,45.55,45.65,3542900,,,,,,,-0.4298,-0.6548,0.2739
TCX,2025-10-28,44.6,45.0,42.5,43.9,6048000,,,,,,,0.0912,0.1224,0.2831
TCX,2025-10-29,44.9,45.05,43.95,45.05,1168000,,,,,,,0.3129,0.5004,0.3144
TCX,2025-10-30,45.0,45.5,43.8,45.5,1542000,,,,,,,0.2851,0.4598,0.3429
TCX,2025-10-31,45.5,46.25,45.0,45.25,1835500,,,,,,,-0.1701,-0.2393,0.3599
TCX,2025-11-03,45.25,46.0,43.4,43.4,1434400,46.06,,,-5.7751,,,-0.1518,-0.2507,0.3751
TCX,2025-11-04,43.0,46.0,42.1,45.95,2819200,45.76,,,0.4152,,,0.2697,0.4727,0.2863
TCX,2025-11-05,45.8,45.8,43.9,44.95,859100,45.45,,,-1.1001,,,0.0245,0.0385,0.2771
TCX,2025-11-06,44.7,45.0,43.5,43.8,983600,45.04,,,-2.7531,,,-0.1662,-0.2548,0.2154
TCX,2025-11-07,43.5,44.65,43.0,43.3,1798800,44.68,,,-3.0778,,,-0.1856,-0.2711,0.2087
TCX,2025-11-10,43.05,43.9,43.05,43.35,1342500,44.44,,,-2.4637,,,-0.1092,-0.1558,0.1767
TCX,2025-11-11,43.45,43.7,43.25,43.25,1490000,44.38,,,-2.5462,,,-0.3539,-0.5442,0.2029
TCX,2025-11-12,43.5,43.5,42.45,43.2,3784500,44.2,,,-2.2514,,,0.334,0.497,0.205
TCX,2025-11-13,43.25,43.25,42.7,42.8,1688800,43.92,,,-2.5612,,,-0.2627,-0.378,0.2028
TCX,2025-11-14,43.05,44.15,43.0,44.1,2663300,43.81,,,0.6619,,,0.7099,1.1594,0.2568
TCX,2025-11-17,43.8,45.5,43.6,45.1,2563500,43.98,45.02,,2.5466,0.1777,,0.3561,0.6023,0.2772
TCX,2025-11-18,45.0,45.45,44.5,45.4,2373800,43.92,44.84,,3.358,1.2432,,0.5829,0.8984,0.3085
TCX,2025-11-19,45.3,45.35,44.5,45.0,1863800,43.93,44.69,,2.4357,0.6937,,0.0781,0.1241,0.3139
TCX,2025-11-20,44.8,45.2,44.05,45.0,809500,44.05,44.54,,2.1566,1.0214,,0.1486,0.2355,0.3121
