ticker,time,open,high,low,close,volume
TIG,2015-01-05,3.47,3.73,3.36,3.69,488500
TIG,2015-01-06,3.65,3.83,3.44,3.73,364360
TIG,2015-01-07,3.76,3.87,3.73,3.73,527000
TIG,2015-01-08,3.76,3.76,3.58,3.65,315460
TIG,2015-01-09,3.62,3.73,3.62,3.65,318900
TIG,2015-01-12,3.62,3.65,3.55,3.58,277900
TIG,2015-01-13,3.55,3.65,3.47,3.62,653600
TIG,2015-01-14,3.62,3.76,3.55,3.69,243500
TIG,2015-01-15,3.73,3.83,3.69,3.76,303500
TIG,2015-01-16,3.76,3.87,3.65,3.69,393100
TIG,2015-01-19,3.69,3.69,3.62,3.62,314316
TIG,2015-01-20,3.62,3.76,3.62,3.73,649900
TIG,2015-01-21,3.73,3.87,3.69,3.8,816100
TIG,2015-01-22,3.8,3.94,3.76,3.87,895700
TIG,2015-01-23,3.87,4.05,3.87,3.98,642850
TIG,2015-01-26,4.02,4.12,4.02,4.05,973700
TIG,2015-01-27,4.09,4.09,3.8,3.8,853160
TIG,2015-01-28,3.83,3.91,3.76,3.76,446300
TIG,2015-01-29,3.76,3.87,3.73,3.83,498200
TIG,2015-01-30,3.83,3.87,3.73,3.73,525800
TIG,2015-02-02,3.73,3.73,3.62,3.62,365700
TIG,2015-02-03,3.58,3.62,3.47,3.47,450300
TIG,2015-02-04,3.44,3.47,3.36,3.4,209700
TIG,2015-02-05,3.4,3.65,3.4,3.62,716505
TIG,2015-02-06,3.62,3.76,3.62,3.65,741700
TIG,2015-02-09,3.65,3.73,3.58,3.58,335900
TIG,2015-02-10,3.58,3.65,3.55,3.55,306517
TIG,2015-02-11,3.55,3.73,3.47,3.73,530833
TIG,2015-02-12,3.73,3.94,3.73,3.94,723800
TIG,2015-02-13,3.94,4.2,3.94,4.16,649800
TIG,2015-02-24,4.34,4.34,4.09,4.16,374600
TIG,2015-02-25,3.76,4.3,3.76,4.23,826820
TIG,2015-02-26,4.23,4.49,4.23,4.45,736200
TIG,2015-02-27,4.02,4.52,4.02,4.38,492040
TIG,2015-03-02,4.38,4.56,4.34,4.52,840830
TIG,2015-03-03,4.52,4.59,4.52,4.56,591300
TIG,2015-03-04,4.52,4.56,4.38,4.45,768370
TIG,2015-03-05,4.41,4.49,4.34,4.34,563000
TIG,2015-03-06,4.3,4.56,4.3,4.49,505200
TIG,2015-03-09,4.49,4.52,4.45,4.45,428300
TIG,2015-03-10,4.45,4.59,4.45,4.49,810306
TIG,2015-03-11,4.49,4.63,4.41,4.56,606300
TIG,2015-03-12,4.59,4.59,4.45,4.56,235500
TIG,2015-03-13,4.52,4.59,4.49,4.49,415200
TIG,2015-03-16,4.49,4.52,4.34,4.34,337900
TIG,2015-03-17,4.34,4.38,4.27,4.34,335410
TIG,2015-03-18,4.34,4.41,4.3,4.34,458600
TIG,2015-03-19,4.34,4.38,4.27,4.27,286300
TIG,2015-03-20,4.23,4.34,4.23,4.27,260100
TIG,2015-03-23,4.27,4.3,4.12,4.16,424500
