ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
VCG,2015-01-05,5.92,5.97,5.78,5.78,672050,,,,,,,-1.9256,-1.2758,1.9256
VCG,2015-01-06,5.69,6.06,5.59,6.06,1382146,,,,,,,2.3955,1.8153,2.1605
VCG,2015-01-07,6.06,6.15,5.97,5.97,1366563,,,,,,,-2.5728,-2.0287,2.298
VCG,2015-01-08,5.92,6.01,5.87,5.92,735744,,,,,,,-0.773,-0.4912,1.9167
VCG,2015-01-09,5.92,6.06,5.87,6.01,908366,,,,,,,0.857,0.5844,1.7048
VCG,2015-01-12,5.92,6.01,5.83,5.83,742169,,,,,,,-1.2904,-1.0307,1.6357
VCG,2015-01-13,5.78,5.97,5.73,5.87,1163240,,,,,,,0.5248,0.3328,1.477
VCG,2015-01-14,5.92,6.01,5.83,5.97,839480,,,,,,,1.2708,0.878,1.4512
VCG,2015-01-15,5.41,6.01,5.41,5.92,1193570,,,,,,,1.7273,1.0916,1.4819
VCG,2015-01-16,5.36,6.2,5.36,6.06,2098246,5.94,,,2.0409,,,2.7253,1.8889,1.6063
VCG,2015-01-19,6.06,6.15,6.01,6.06,1172130,5.97,,,1.5625,,,-0.9422,-0.6831,1.5079
VCG,2015-01-20,6.01,6.06,5.97,6.01,501296,5.96,,,0.86,,,0.0,0.0,1.2684
VCG,2015-01-21,5.97,6.01,5.87,5.92,435511,5.96,,,-0.6259,,,-0.3976,-0.3128,1.0508
VCG,2015-01-22,5.97,6.01,5.87,5.92,498408,5.96,,,-0.6259,,,-0.5256,-0.3484,1.0261
VCG,2015-01-23,6.01,6.11,5.97,6.01,822900,5.96,,,0.9389,,,-0.6544,-0.4494,1.0058
VCG,2015-01-26,6.06,6.25,6.06,6.11,907569,5.98,,,2.0248,,,-1.3647,-0.9674,1.0133
VCG,2015-01-27,6.15,6.15,5.87,5.87,866385,5.98,,,-1.8692,,,-1.1834,-0.85,1.0791
VCG,2015-01-28,5.87,5.97,5.83,5.92,386653,5.98,,,-1.0132,,,0.1841,0.1269,0.9704
VCG,2015-01-29,5.97,5.97,5.87,5.97,268615,5.98,,,-0.3116,,,0.7224,0.4377,0.87
VCG,2015-01-30,5.97,5.97,5.78,5.83,835225,5.96,5.95,,-2.2674,-2.076,,-0.8563,-0.6242,0.6831
VCG,2015-02-02,5.83,5.83,5.55,5.55,532205,5.91,5.94,,-6.1514,-6.5934,,-1.1434,-0.7666,0.7032
