ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
VIC,2015-01-05,10.24,10.24,10.16,10.22,320790,,,,,,,0.4538,0.5435,0.4538
VIC,2015-01-06,10.18,10.26,10.16,10.26,462360,,,,,,,0.8024,1.0461,0.6281
VIC,2015-01-07,10.26,10.31,10.2,10.24,319600,,,,,,,-0.1626,-0.2229,0.4729
VIC,2015-01-08,10.24,10.39,10.24,10.31,788420,,,,,,,-0.1643,-0.1846,0.3958
VIC,2015-01-09,10.31,10.43,10.26,10.26,969330,,,,,,,-1.8485,-2.1981,0.6863
VIC,2015-01-12,10.26,10.35,10.16,10.16,472380,,,,,,,-0.8212,-1.1635,0.7088
VIC,2015-01-13,10.13,10.22,10.07,10.11,784490,,,,,,,-0.8285,-0.9123,0.7259
VIC,2015-01-14,10.18,10.18,10.09,10.11,585600,,,,,,,-1.004,-1.1788,0.7607
VIC,2015-01-15,10.11,10.2,10.05,10.18,826580,,,,,,,1.266,1.4069,0.8168
VIC,2015-01-16,10.18,10.18,10.09,10.16,275570,10.2,,,-0.4019,,,0.2965,0.3474,0.7648
VIC,2015-01-19,10.16,10.28,10.13,10.16,407620,10.2,,,-0.3433,,,-0.5903,-0.7283,0.7784
VIC,2015-01-20,10.18,10.22,10.11,10.11,316350,10.18,,,-0.6876,,,-1.0786,-1.3546,0.806
VIC,2015-01-21,10.11,10.18,10.11,10.11,227060,10.17,,,-0.5606,,,-0.6191,-0.8462,0.8517
VIC,2015-01-22,10.18,10.18,10.11,10.11,204950,10.15,,,-0.3646,,,-0.6291,-0.7373,0.8982
VIC,2015-01-23,10.18,10.31,10.16,10.31,770380,10.15,,,1.5563,,,1.821,2.2075,0.8954
VIC,2015-01-26,10.41,10.5,10.31,10.35,241650,10.17,,,1.7599,,,-0.4131,-0.5045,0.8546
VIC,2015-01-27,10.35,10.37,10.18,10.31,517330,10.19,,,1.1677,,,0.2605,0.3289,0.7978
VIC,2015-01-28,10.22,10.31,10.2,10.22,323250,10.2,,,0.1764,,,-0.2924,-0.3512,0.7266
VIC,2015-01-29,10.22,10.26,10.18,10.22,185770,10.21,,,0.1372,,,0.0,0.0,0.6
VIC,2015-01-30,10.24,10.39,10.22,10.31,938950,10.22,10.21,,0.8708,0.9695,,0.1153,0.1483,0.5819
VIC,2015-02-02,10.31,10.33,10.24,10.24,408830,10.23,10.21,,0.1075,0.2742,,-0.8745,-1.1041,0.6103
VIC,2015-02-03,10.24,10.26,10.07,10.07,304890,10.22,10.2,,-1.5159,-1.2987,,-0.4431,-0.5849,0.5468
VIC,2015-02-04,10.16,10.16,9.98,10.07,754650,10.22,10.19,,-1.4774,-1.2164,,0.0,0.0,0.4849
VIC,2015-02-05,10.03,10.09,10.03,10.05,264080,10.22,10.18,,-1.6153,-1.2867,,-0.3367,-0.3485,0.4557
VIC,2015-02-06,10.09,10.13,10.05,10.07,160630,10.19,10.17,,-1.1873,-0.9979,,-0.2603,-0.288,0.2996
VIC,2015-02-09,10.07,10.2,10.07,10.16,437370,10.17,10.17,,-0.118,-0.1131,,0.5821,0.6638,0.3165
VIC,2015-02-10,10.2,10.24,10.13,10.13,362290,10.15,10.17,,-0.2364,-0.4178,,-1.1509,-1.1885,0.4055
VIC,2015-02-11,10.18,10.41,10.13,10.41,894030,10.17,10.19,,2.3297,2.184,,2.9022,3.7236,0.6665
VIC,2015-02-12,10.5,10.74,10.48,10.74,2221520,10.22,10.22,,5.0367,5.1344,,6.356,7.573,1.3021
VIC,2015-02-13,10.74,11.06,10.74,10.84,1455720,10.28,10.25,,5.468,5.7613,,-2.0304,-2.351,1.4936
VIC,2015-02-24,10.95,11.06,10.74,11.06,906580,10.36,10.29,,6.7568,7.436,,3.3442,4.2125,1.7406
VIC,2015-02-25,10.95,11.06,10.74,10.74,756990,10.43,10.33,,3.0018,4.0093,,-1.4723,-1.8461,1.8435
VIC,2015-02-26,10.74,10.84,10.56,10.71,1158830,10.49,10.36,,2.0875,3.4183,,0.2387,0.2305,1.8674
VIC,2015-02-27,10.74,10.74,10.63,10.63,538120,10.55,10.38,,0.7678,2.3887,,-1.599,-1.598,1.9936
VIC,2015-03-02,10.65,10.74,10.63,10.71,788530,10.61,10.4,,0.914,2.961,,1.4322,1.798,2.1108
VIC,2015-03-03,10.71,11.27,10.71,11.16,2373010,10.71,10.44,,4.1725,6.871,,2.7826,3.5745,2.3308
VIC,2015-03-04,11.16,11.16,10.95,11.06,816360,10.81,10.48,,2.3505,5.5344,,0.0737,0.0928,2.2231
VIC,2015-03-05,10.95,11.06,10.84,10.95,845730,10.86,10.52,,0.8287,4.1221,,-0.0,-0.0,1.9329
VIC,2015-03-06,10.74,10.95,10.71,10.71,1493200,10.86,10.54,,-1.354,1.6033,,-3.3422,-4.0006,1.6315
VIC,2015-03-09,10.71,10.84,10.65,10.67,661550,10.84,10.56,,-1.5683,1.0512,,-1.2192,-1.398,1.5504
VIC,2015-03-10,10.63,10.71,10.61,10.67,895980,10.8,10.58,,-1.2129,0.8459,,0.5326,0.6233,1.2693
VIC,2015-03-11,10.67,10.67,10.56,10.59,844110,10.79,10.61,,-1.8172,-0.1556,,-1.0787,-1.2877,1.2299
VIC,2015-03-12,10.59,10.71,10.59,10.65,814790,10.78,10.64,,-1.2059,0.1363,,0.0,0.0,1.206
VIC,2015-03-13,10.65,10.71,10.63,10.65,529480,10.78,10.67,,-1.2243,-0.1453,,-0.7171,-0.7786,1.1178
VIC,2015-03-16,10.63,10.65,10.5,10.56,1155790,10.77,10.69,,-1.9225,-1.2161,,-0.4547,-0.4822,1.0201
VIC,2015-03-17,10.59,10.61,10.54,10.59,332570,10.71,10.71,,-1.1204,-1.1343,,0.4343,0.5032,0.7853
VIC,2015-03-18,10.59,10.61,10.56,10.59,709890,10.66,10.73,,-0.6846,-1.3461,,0.4942,0.5164,0.8273
VIC,2015-03-19,10.61,10.63,10.48,10.54,787290,10.62,10.74,,-0.772,-1.8713,,-0.5202,-0.6476,0.8793
VIC,2015-03-20,10.54,10.56,10.43,10.43,1952070,10.59,10.73,,-1.548,-2.7551,,-2.8729,-2.5525,0.8324
VIC,2015-03-23,10.43,10.54,10.35,10.37,709040,10.56,10.7,10.42,-1.8364,-3.1022,-0.4875,-1.2566,-1.5096,0.8361
VIC,2015-03-24,10.37,10.39,10.33,10.37,1057820,10.53,10.67,10.42,-1.5569,-2.7888,-0.5161,0.8673,1.0372,0.8696
VIC,2015-03-25,10.37,10.39,10.33,10.35,637570,10.51,10.65,10.43,-1.5224,-2.7986,-0.7251,-0.5941,-0.5768,0.8211
VIC,2015-03-26,10.31,10.35,10.2,10.2,581580,10.46,10.62,10.42,-2.5323,-3.9774,-2.1564,-1.6515,-1.771,0.9863
VIC,2015-03-27,10.37,10.37,10.09,10.11,1097010,10.41,10.6,10.42,-2.8912,-4.5911,-2.9825,-1.7293,-2.1492,1.0875
VIC,2015-03-30,10.13,10.16,10.01,10.01,934790,10.36,10.56,10.42,-3.3411,-5.2218,-3.896,-1.9988,-2.2305,1.2419
VIC,2015-03-31,10.01,10.11,10.01,10.09,710820,10.31,10.51,10.41,-2.0959,-3.9779,-3.1149,2.0041,2.4631,1.3989
