ticker,time,open,high,low,close,volume,ma10,ma20,ma50,ma10_score,ma20_score,ma50_score,money_flow,dollar_flow,trend_score
VNA,2015-01-05,2.05,2.11,2.05,2.11,83340,,,,,,,0.2371,0.0585,0.2371
VNA,2015-01-06,2.05,2.11,2.05,2.11,58040,,,,,,,0.1005,0.027,0.1688
VNA,2015-01-07,2.17,2.22,2.17,2.22,105670,,,,,,,0.1964,0.0586,0.178
VNA,2015-01-08,2.34,2.34,2.34,2.34,105820,,,,,,,0.0,0.0,0.1335
VNA,2015-01-09,2.45,2.45,2.22,2.22,334320,,,,,,,-0.634,-0.1643,0.2336
VNA,2015-01-12,2.17,2.22,2.11,2.17,44410,,,,,,,0.007,0.0021,0.1958
VNA,2015-01-13,2.17,2.28,2.11,2.28,41020,,,,,,,0.0922,0.0231,0.181
VNA,2015-01-14,2.28,2.28,2.17,2.22,31510,,,,,,,-0.0088,-0.0023,0.1595
VNA,2015-01-15,2.17,2.22,2.17,2.22,49710,,,,,,,0.1035,0.0253,0.1533
VNA,2015-01-16,2.17,2.28,2.17,2.22,37000,2.21,,,0.4071,,,-0.0065,-0.0017,0.1386
VNA,2015-01-19,2.22,2.22,2.17,2.22,24470,2.22,,,-0.09,,,0.0589,0.0159,0.1208
VNA,2015-01-20,2.17,2.22,2.11,2.17,23500,2.23,,,-2.6032,,,0.0075,0.002,0.1115
VNA,2015-01-21,2.11,2.22,2.11,2.22,47510,2.23,,,-0.3591,,,0.1293,0.0391,0.1048
VNA,2015-01-22,2.34,2.34,2.34,2.34,38130,2.23,,,5.0269,,,0.0,0.0,0.1048
VNA,2015-01-23,2.45,2.45,2.45,2.45,85320,2.25,,,8.8405,,,0.0,0.0,0.0414
VNA,2015-01-26,2.51,2.51,2.4,2.45,419450,2.28,,,7.5033,,,-0.1131,-0.0331,0.052
VNA,2015-01-27,2.45,2.45,2.34,2.4,42200,2.29,,,4.7577,,,0.0052,0.0016,0.0433
VNA,2015-01-28,2.34,2.4,2.28,2.34,59360,2.3,,,1.6066,,,0.0,0.0,0.0424
VNA,2015-01-29,2.28,2.34,2.22,2.28,139640,2.31,,,-1.256,,,-0.0,-0.0,0.032
VNA,2015-01-30,2.17,2.28,2.17,2.28,106100,2.32,2.26,,-1.5119,0.7512,,0.2198,0.0638,0.0534
VNA,2015-02-02,2.28,2.34,2.22,2.28,18310,2.32,2.27,,-1.7665,0.3742,,-0.0,-0.0,0.0475
VNA,2015-02-03,2.28,2.4,2.28,2.34,117770,2.34,2.28,,0.0855,2.4967,,0.0,0.0,0.0467
VNA,2015-02-04,2.34,2.45,2.34,2.45,390210,2.36,2.29,,3.7696,6.7771,,1.0156,0.3067,0.1354
VNA,2015-02-05,2.57,2.57,2.45,2.45,65950,2.37,2.3,,3.2884,6.5217,,-0.2569,-0.0666,0.1611
VNA,2015-02-06,2.45,2.45,2.4,2.45,24510,2.37,2.31,,3.2884,5.9918,,0.0798,0.0218,0.169
VNA,2015-02-09,2.45,2.45,2.34,2.34,24330,2.36,2.32,,-0.8895,0.8621,,-0.0847,-0.0224,0.1662
VNA,2015-02-10,2.28,2.45,2.28,2.34,21220,2.36,2.32,,-0.6369,0.7318,,-0.0197,-0.0048,0.1676
VNA,2015-02-11,2.34,2.4,2.34,2.4,32440,2.36,2.33,,1.6518,2.916,,0.1046,0.0312,0.1781
VNA,2015-02-12,2.34,2.51,2.34,2.45,39160,2.38,2.34,,3.0278,4.5445,,0.0334,0.0092,0.1814
VNA,2015-02-13,2.45,2.45,2.4,2.45,27590,2.4,2.36,,2.2965,4.034,,0.1041,0.0276,0.1699
VNA,2015-02-24,2.45,2.51,2.4,2.51,20850,2.42,2.37,,3.8048,5.9295,,0.0769,0.0224,0.1776
VNA,2015-02-25,2.51,2.51,2.45,2.51,121830,2.44,2.39,,3.0801,5.1749,,0.2377,0.0728,0.2013
VNA,2015-02-26,2.45,2.51,2.4,2.4,80540,2.43,2.4,,-1.2346,0.1879,,-0.2332,-0.0523,0.1231
VNA,2015-02-27,2.4,2.51,2.4,2.45,30080,2.43,2.4,,0.823,2.0408,,-0.0083,-0.0019,0.0982
VNA,2015-03-02,2.51,2.62,2.51,2.57,188450,2.44,2.41,,5.2416,6.7719,,0.068,0.0209,0.097
VNA,2015-03-03,2.68,2.68,2.57,2.57,126050,2.46,2.41,,4.2596,6.5064,,-0.2449,-0.0726,0.1131
