ticker,time,open,high,low,close,volume
VTO,2015-01-05,3.44,3.52,3.4,3.4,300230
VTO,2015-01-06,3.36,3.56,3.36,3.56,810790
VTO,2015-01-07,3.56,3.73,3.56,3.6,1783500
VTO,2015-01-08,3.65,3.65,3.56,3.6,376870
VTO,2015-01-09,3.56,3.73,3.56,3.69,849840
VTO,2015-01-12,3.69,3.73,3.56,3.56,611030
VTO,2015-01-13,3.56,3.65,3.56,3.56,261630
VTO,2015-01-14,3.6,3.6,3.52,3.56,375770
VTO,2015-01-15,3.6,3.69,3.56,3.6,401600
VTO,2015-01-16,3.65,3.69,3.56,3.6,237810
VTO,2015-01-19,3.6,3.65,3.6,3.6,400010
VTO,2015-01-20,3.56,3.69,3.56,3.65,515880
VTO,2015-01-21,3.65,3.77,3.65,3.69,695920
VTO,2015-01-22,3.73,3.73,3.65,3.69,254520
VTO,2015-01-23,3.73,3.73,3.65,3.69,267140
VTO,2015-01-26,3.69,3.73,3.65,3.65,551650
VTO,2015-01-27,3.65,3.69,3.44,3.52,595170
VTO,2015-01-28,3.48,3.56,3.48,3.52,282890
VTO,2015-01-29,3.48,3.52,3.4,3.48,529310
VTO,2015-01-30,3.48,3.6,3.4,3.56,664980
VTO,2015-02-02,3.56,3.56,3.44,3.48,174850
VTO,2015-02-03,3.48,3.48,3.4,3.44,186630
VTO,2015-02-04,3.44,3.44,3.36,3.36,184440
VTO,2015-02-05,3.36,3.44,3.36,3.4,98230
VTO,2015-02-06,3.44,3.44,3.36,3.36,314740
VTO,2015-02-09,3.36,3.4,3.28,3.28,247220
VTO,2015-02-10,3.32,3.32,3.28,3.28,156560
VTO,2015-02-11,3.32,3.36,3.28,3.28,192530
VTO,2015-02-12,3.32,3.4,3.32,3.4,272210
VTO,2015-02-13,3.44,3.44,3.36,3.36,174750
VTO,2015-02-24,3.36,3.44,3.36,3.44,103330
VTO,2015-02-25,3.4,3.44,3.36,3.4,254950
VTO,2015-02-26,3.4,3.4,3.32,3.36,134490
VTO,2015-02-27,3.4,3.4,3.32,3.36,97120
VTO,2015-03-02,3.32,3.4,3.28,3.36,171820
VTO,2015-03-03,3.36,3.44,3.32,3.44,367280
VTO,2015-03-04,3.44,3.48,3.4,3.4,163880
VTO,2015-03-05,3.44,3.44,3.4,3.4,265020
VTO,2015-03-06,3.36,3.44,3.36,3.4,263450
VTO,2015-03-09,3.4,3.44,3.36,3.36,114250
