ticker,time,open,high,low,close,volume
LHG,2023-09-11 03:00:00,27.59,27.59,27.27,27.27,83400
LHG,2023-09-11 04:00:00,27.36,27.36,26.86,26.95,41600
LHG,2023-09-11 06:00:00,27.04,27.13,26.64,26.68,135400
LHG,2023-09-11 07:00:00,26.68,26.73,26.32,26.41,79000
LHG,2023-09-12 03:00:00,26.46,26.68,26.28,26.68,85500
LHG,2023-09-12 04:00:00,26.77,26.86,26.59,26.59,18700
LHG,2023-09-12 06:00:00,26.59,26.64,26.41,26.64,42500
LHG,2023-09-12 07:00:00,26.64,26.86,26.59,26.82,60800
LHG,2023-09-13 03:00:00,27.0,27.04,26.68,26.77,53400
LHG,2023-09-13 04:00:00,26.77,27.0,26.77,26.77,27700
LHG,2023-09-13 06:00:00,26.77,26.91,26.68,26.77,38000
LHG,2023-09-13 07:00:00,26.77,26.77,26.32,26.59,86800
LHG,2023-09-14 03:00:00,26.41,26.41,25.91,26.41,81700
LHG,2023-09-14 04:00:00,26.41,26.41,26.23,26.23,27300
LHG,2023-09-14 06:00:00,26.23,26.41,25.33,25.87,140600
LHG,2023-09-14 07:00:00,25.87,26.23,25.87,25.96,32800
LHG,2023-09-15 03:00:00,25.96,26.05,25.64,25.64,32300
LHG,2023-09-15 04:00:00,25.64,25.64,25.42,25.46,26300
LHG,2023-09-15 06:00:00,25.42,26.0,25.42,25.96,48600
LHG,2023-09-15 07:00:00,25.96,26.23,25.91,25.96,17300
LHG,2023-09-18 03:00:00,26.14,26.23,25.96,26.18,52600
LHG,2023-09-18 04:00:00,26.18,26.23,26.18,26.23,5700
LHG,2023-09-18 06:00:00,26.18,26.18,25.87,25.87,39200
LHG,2023-09-18 07:00:00,25.87,26.09,25.69,26.09,39000
LHG,2023-09-19 03:00:00,26.09,26.09,25.69,25.69,31300
LHG,2023-09-19 04:00:00,25.78,25.78,25.33,25.51,30900
LHG,2023-09-19 06:00:00,25.51,26.0,25.51,25.73,27500
LHG,2023-09-19 07:00:00,25.69,25.78,25.55,25.78,20400
LHG,2023-09-20 03:00:00,25.87,26.46,25.82,26.32,99500
LHG,2023-09-20 04:00:00,26.37,26.37,26.32,26.32,4700
LHG,2023-09-20 06:00:00,26.37,26.41,26.23,26.37,33600
LHG,2023-09-20 07:00:00,26.37,26.5,26.32,26.5,47600
LHG,2023-09-21 03:00:00,26.23,26.41,25.78,25.78,102700
LHG,2023-09-21 04:00:00,26.14,26.14,26.05,26.14,24200
LHG,2023-09-21 06:00:00,26.14,27.04,25.96,26.41,132500
LHG,2023-09-21 07:00:00,26.41,26.68,26.18,26.64,32800
LHG,2023-09-22 03:00:00,26.05,26.05,25.55,25.73,154600
LHG,2023-09-22 04:00:00,25.73,25.87,25.6,25.87,13700
LHG,2023-09-22 06:00:00,25.87,26.0,25.51,25.78,61600
LHG,2023-09-22 07:00:00,25.78,27.86,25.78,27.86,407900
LHG,2023-09-25 03:00:00,28.13,28.85,28.04,28.72,358000
LHG,2023-09-25 04:00:00,28.72,28.72,28.54,28.63,25800
LHG,2023-09-25 06:00:00,28.63,28.63,27.99,28.49,344800
LHG,2023-09-25 07:00:00,28.49,28.58,26.77,28.04,231200
LHG,2023-09-26 03:00:00,26.95,28.04,26.95,27.77,208800
LHG,2023-09-26 04:00:00,27.59,28.04,27.59,27.63,46000
LHG,2023-09-26 06:00:00,27.68,28.13,27.22,28.04,148200
LHG,2023-09-26 07:00:00,28.04,28.13,27.59,28.04,154500
LHG,2023-09-27 03:00:00,27.22,27.32,26.68,26.91,75100
LHG,2023-09-27 04:00:00,26.91,26.91,26.59,26.91,7100
LHG,2023-09-27 06:00:00,26.91,27.59,26.55,27.04,148200
LHG,2023-09-27 07:00:00,27.5,28.22,27.45,28.22,261700
LHG,2023-09-28 03:00:00,27.77,27.99,27.32,27.77,71400
LHG,2023-09-28 04:00:00,27.77,27.95,27.68,27.77,24800
LHG,2023-09-28 06:00:00,27.68,28.04,27.41,28.04,86000
LHG,2023-09-28 07:00:00,28.13,28.49,27.77,28.31,251900
LHG,2023-09-29 03:00:00,28.22,28.22,27.95,27.95,57500
LHG,2023-09-29 04:00:00,27.95,28.04,27.95,28.04,2100
LHG,2023-09-29 06:00:00,28.04,29.76,28.04,29.76,347000
LHG,2023-09-29 07:00:00,29.76,30.25,29.58,30.25,312600
LHG,2023-10-02 03:00:00,30.07,31.93,30.07,31.2,213500
LHG,2023-10-02 04:00:00,31.48,31.48,30.3,30.57,85100
LHG,2023-10-02 06:00:00,30.57,31.16,30.3,30.35,82200
LHG,2023-10-02 07:00:00,30.35,30.35,29.94,29.94,59900
LHG,2023-10-03 03:00:00,29.53,29.85,29.31,29.35,73700
LHG,2023-10-03 04:00:00,29.31,29.62,29.03,29.03,23600
LHG,2023-10-03 06:00:00,29.03,29.26,28.04,28.76,151200
LHG,2023-10-03 07:00:00,28.76,29.21,28.04,28.04,116900
LHG,2023-10-04 03:00:00,27.77,28.49,27.77,28.4,56300
LHG,2023-10-04 04:00:00,28.22,28.22,28.04,28.04,9200
LHG,2023-10-04 06:00:00,28.04,28.4,27.68,28.4,71500
LHG,2023-10-04 07:00:00,28.4,29.4,28.4,29.21,61500
LHG,2023-10-05 03:00:00,29.21,29.76,28.58,29.4,52400
LHG,2023-10-05 04:00:00,29.21,29.76,29.21,29.67,43000
LHG,2023-10-05 06:00:00,29.67,30.21,29.49,29.58,296900
LHG,2023-10-05 07:00:00,29.76,30.07,29.53,29.85,127500
LHG,2023-10-06 03:00:00,30.16,30.71,30.16,30.48,122200
LHG,2023-10-06 04:00:00,30.48,30.53,30.3,30.3,40500
LHG,2023-10-06 06:00:00,30.3,30.3,29.94,30.12,92100
LHG,2023-10-06 07:00:00,30.07,30.39,29.85,29.85,87300
LHG,2023-10-09 03:00:00,29.85,29.85,29.58,29.58,73100
LHG,2023-10-09 04:00:00,29.76,29.76,29.58,29.58,16800
LHG,2023-10-09 06:00:00,29.53,29.58,29.03,29.31,137400
LHG,2023-10-09 07:00:00,29.4,29.44,29.21,29.31,65900
LHG,2023-10-10 03:00:00,29.44,30.3,29.4,29.98,117100
LHG,2023-10-10 04:00:00,30.03,30.12,29.89,29.94,41600
LHG,2023-10-10 06:00:00,29.94,29.94,29.58,29.67,54200
