ticker,time,open,high,low,close,volume
GIL,2024-01-02 03:00:00,17.21,17.38,17.21,17.21,140900
GIL,2024-01-02 04:00:00,17.21,17.25,17.18,17.18,46500
GIL,2024-01-02 06:00:00,17.21,17.21,17.14,17.18,107500
GIL,2024-01-02 07:00:00,17.18,17.21,17.14,17.14,60400
GIL,2024-01-03 03:00:00,17.14,17.52,17.11,17.42,178700
GIL,2024-01-03 04:00:00,17.38,17.52,17.38,17.49,67100
GIL,2024-01-03 06:00:00,17.49,17.9,17.49,17.76,407000
GIL,2024-01-03 07:00:00,17.76,17.87,17.76,17.87,200900
GIL,2024-01-04 03:00:00,17.9,17.97,17.83,17.9,254300
GIL,2024-01-04 04:00:00,17.9,17.97,17.9,17.97,80700
GIL,2024-01-04 06:00:00,17.9,17.97,17.83,17.9,132900
GIL,2024-01-04 07:00:00,17.9,17.94,17.69,17.69,143400
GIL,2024-01-05 03:00:00,17.66,17.69,17.59,17.63,111000
GIL,2024-01-05 04:00:00,17.63,17.63,17.56,17.56,67300
GIL,2024-01-05 06:00:00,17.56,17.59,17.32,17.32,269400
GIL,2024-01-05 07:00:00,17.32,17.59,17.32,17.56,147500
GIL,2024-01-08 03:00:00,17.59,17.66,17.59,17.59,189100
GIL,2024-01-08 04:00:00,17.59,17.59,17.56,17.56,37600
GIL,2024-01-08 06:00:00,17.56,17.59,17.49,17.52,97000
GIL,2024-01-08 07:00:00,17.49,17.63,17.49,17.63,62600
GIL,2024-01-09 03:00:00,18.31,18.42,18.25,18.25,780500
GIL,2024-01-09 04:00:00,18.25,18.28,18.18,18.28,101000
GIL,2024-01-09 06:00:00,18.14,18.21,17.97,18.07,166000
GIL,2024-01-09 07:00:00,18.07,18.14,18.04,18.07,59900
GIL,2024-01-10 03:00:00,18.14,18.18,17.97,18.0,119700
GIL,2024-01-10 04:00:00,18.0,18.04,17.76,17.83,101200
GIL,2024-01-10 06:00:00,17.83,17.9,17.59,17.83,265600
GIL,2024-01-10 07:00:00,17.83,18.04,17.59,17.9,92500
GIL,2024-01-11 03:00:00,17.8,17.9,17.76,17.83,55100
GIL,2024-01-11 04:00:00,17.87,17.9,17.76,17.9,26200
GIL,2024-01-11 06:00:00,17.8,17.8,17.66,17.8,117900
GIL,2024-01-11 07:00:00,17.83,17.83,17.69,17.73,79700
GIL,2024-01-12 03:00:00,17.66,17.73,17.63,17.66,203100
GIL,2024-01-12 04:00:00,17.66,17.69,17.63,17.69,26700
GIL,2024-01-12 06:00:00,17.69,17.76,17.63,17.69,95400
GIL,2024-01-12 07:00:00,17.69,17.69,17.32,17.52,157300
GIL,2024-01-15 03:00:00,17.63,17.63,17.49,17.56,54600
GIL,2024-01-15 04:00:00,17.56,17.56,17.42,17.49,22700
GIL,2024-01-15 06:00:00,17.49,17.52,17.42,17.52,55900
GIL,2024-01-15 07:00:00,17.52,17.56,17.25,17.28,86300
GIL,2024-01-16 03:00:00,17.21,17.32,17.11,17.32,119400
GIL,2024-01-16 04:00:00,17.32,17.32,17.25,17.28,21300
GIL,2024-01-16 06:00:00,17.28,17.63,17.25,17.59,203300
GIL,2024-01-16 07:00:00,17.59,18.0,17.59,17.83,194700
GIL,2024-01-17 03:00:00,17.83,17.97,17.8,17.97,135300
GIL,2024-01-17 04:00:00,17.97,17.97,17.87,17.9,39100
GIL,2024-01-17 06:00:00,17.9,18.35,17.87,18.31,357000
GIL,2024-01-17 07:00:00,18.31,18.8,18.25,18.8,740900
GIL,2024-01-18 03:00:00,18.56,18.62,18.56,18.59,330600
GIL,2024-01-18 04:00:00,18.59,18.59,18.56,18.56,28700
GIL,2024-01-18 06:00:00,18.56,18.8,18.45,18.8,192500
GIL,2024-01-18 07:00:00,18.8,18.86,18.66,18.83,309600
GIL,2024-01-19 03:00:00,18.86,18.86,18.73,18.76,103200
GIL,2024-01-19 04:00:00,18.76,18.8,18.73,18.73,26600
GIL,2024-01-19 06:00:00,18.73,18.76,18.59,18.69,136100
GIL,2024-01-19 07:00:00,18.69,18.69,18.59,18.59,91900
GIL,2024-01-22 03:00:00,18.49,18.59,18.35,18.49,278600
GIL,2024-01-22 04:00:00,18.49,18.52,18.45,18.45,28300
GIL,2024-01-22 06:00:00,18.45,18.52,18.31,18.35,69900
GIL,2024-01-22 07:00:00,18.35,18.59,18.35,18.59,98000
GIL,2024-01-23 03:00:00,18.56,18.59,18.52,18.52,67600
GIL,2024-01-23 04:00:00,18.52,18.62,18.52,18.52,34100
GIL,2024-01-23 06:00:00,18.52,18.66,18.52,18.56,69100
GIL,2024-01-23 07:00:00,18.56,18.59,18.52,18.59,38800
GIL,2024-01-24 03:00:00,18.42,18.49,18.38,18.42,69800
GIL,2024-01-24 04:00:00,18.42,18.45,18.42,18.45,5600
GIL,2024-01-24 06:00:00,18.45,18.45,18.38,18.42,76200
GIL,2024-01-24 07:00:00,18.42,18.42,18.31,18.31,75200
GIL,2024-01-25 03:00:00,18.31,18.35,18.31,18.35,62600
GIL,2024-01-25 04:00:00,18.35,18.35,18.25,18.28,12500
GIL,2024-01-25 06:00:00,18.28,18.35,18.28,18.28,36500
GIL,2024-01-25 07:00:00,18.28,18.28,18.21,18.25,35300
GIL,2024-01-26 03:00:00,18.45,18.59,18.35,18.59,119500
GIL,2024-01-26 04:00:00,18.59,18.59,18.52,18.56,29600
GIL,2024-01-26 06:00:00,18.56,18.59,18.38,18.38,57600
GIL,2024-01-26 07:00:00,18.38,18.45,18.38,18.45,8600
GIL,2024-01-29 03:00:00,18.56,18.76,18.56,18.59,83500
GIL,2024-01-29 04:00:00,18.59,18.59,18.56,18.56,45000
GIL,2024-01-29 06:00:00,18.56,18.62,18.56,18.59,93900
GIL,2024-01-29 07:00:00,18.59,18.66,18.49,18.49,117400
GIL,2024-01-30 03:00:00,18.45,18.52,18.45,18.49,68500
GIL,2024-01-30 04:00:00,18.49,18.59,18.49,18.59,103200
GIL,2024-01-30 06:00:00,18.59,19.14,18.59,19.11,553500
GIL,2024-01-30 07:00:00,19.11,19.21,19.11,19.21,244900
GIL,2024-01-31 03:00:00,19.97,20.07,19.86,19.97,1157600
GIL,2024-01-31 04:00:00,19.97,19.97,19.83,19.9,58000
GIL,2024-01-31 06:00:00,19.9,20.24,19.69,20.14,408100
GIL,2024-01-31 07:00:00,20.14,20.31,19.97,19.97,277100
GIL,2024-02-01 03:00:00,19.76,20.0,19.76,20.0,170700
GIL,2024-02-01 04:00:00,20.0,20.07,19.9,19.97,69900
GIL,2024-02-01 06:00:00,19.97,20.07,19.69,19.83,139400
GIL,2024-02-01 07:00:00,19.83,20.07,19.83,20.07,89700
GIL,2024-02-02 03:00:00,19.83,19.86,19.79,19.83,213200
GIL,2024-02-02 04:00:00,19.83,19.86,19.83,19.83,20300
GIL,2024-02-02 06:00:00,19.83,19.86,19.73,19.79,134100
GIL,2024-02-02 07:00:00,19.79,19.83,19.69,19.69,103400
GIL,2024-02-05 03:00:00,19.83,20.1,19.83,19.93,248600
GIL,2024-02-05 04:00:00,19.93,20.1,19.9,20.0,37900
GIL,2024-02-05 06:00:00,20.0,20.04,19.9,19.93,100100
GIL,2024-02-05 07:00:00,19.93,19.97,19.86,19.97,125100
GIL,2024-02-06 03:00:00,20.04,20.04,19.83,20.0,169300
GIL,2024-02-06 04:00:00,20.0,20.0,19.86,19.97,21600
GIL,2024-02-06 06:00:00,19.97,19.97,19.79,19.9,120900
GIL,2024-02-06 07:00:00,19.9,19.9,19.79,19.79,86200
GIL,2024-02-07 03:00:00,19.83,19.9,19.76,19.79,63700
GIL,2024-02-07 04:00:00,19.79,19.79,19.79,19.79,9200
GIL,2024-02-07 06:00:00,19.79,19.79,19.42,19.55,275600
GIL,2024-02-07 07:00:00,19.55,19.83,19.55,19.83,122900
GIL,2024-02-15 03:00:00,20.17,21.21,20.17,21.21,743100
GIL,2024-02-15 04:00:00,21.21,21.21,21.14,21.21,164300
GIL,2024-02-15 06:00:00,21.21,21.21,21.21,21.21,46300
GIL,2024-02-15 07:00:00,21.21,21.21,21.21,21.21,218000
GIL,2024-02-16 03:00:00,21.48,22.0,21.27,21.96,469300
GIL,2024-02-16 04:00:00,21.96,21.96,21.34,21.48,164700
GIL,2024-02-16 06:00:00,21.48,21.48,21.34,21.41,219900
GIL,2024-02-16 07:00:00,21.41,21.48,21.27,21.34,223900
GIL,2024-02-19 03:00:00,21.48,22.0,21.31,21.55,356100
GIL,2024-02-19 04:00:00,21.55,21.55,21.41,21.41,64400
GIL,2024-02-19 06:00:00,21.41,21.45,21.34,21.38,93900
GIL,2024-02-19 07:00:00,21.38,21.38,21.24,21.31,99000
GIL,2024-02-20 03:00:00,21.34,21.62,21.24,21.31,449400
GIL,2024-02-20 04:00:00,21.31,21.45,21.21,21.27,108200
GIL,2024-02-20 06:00:00,21.27,21.52,21.17,21.45,141500
GIL,2024-02-20 07:00:00,21.45,21.58,21.21,21.58,199100
GIL,2024-02-21 03:00:00,21.45,21.58,21.34,21.58,428900
GIL,2024-02-21 04:00:00,21.58,21.58,21.31,21.31,58600
GIL,2024-02-21 06:00:00,21.31,21.62,21.27,21.62,213900
GIL,2024-02-21 07:00:00,21.62,21.69,21.55,21.65,129900
GIL,2024-02-22 03:00:00,21.52,21.86,21.45,21.76,401600
GIL,2024-02-22 04:00:00,21.76,22.2,21.76,22.03,314500
GIL,2024-02-22 06:00:00,22.03,22.1,21.86,21.86,258200
GIL,2024-02-22 07:00:00,21.86,22.38,21.76,22.38,278700
GIL,2024-02-23 03:00:00,22.1,22.55,22.1,22.27,332600
GIL,2024-02-23 04:00:00,22.27,22.34,22.27,22.27,17200
GIL,2024-02-23 06:00:00,22.27,22.34,21.89,22.03,283600
GIL,2024-02-23 07:00:00,22.03,22.03,21.41,21.62,440200
GIL,2024-02-26 03:00:00,21.48,21.89,21.48,21.62,352900
GIL,2024-02-26 04:00:00,21.62,21.62,21.48,21.48,32900
GIL,2024-02-26 06:00:00,21.48,21.89,21.48,21.69,249900
GIL,2024-02-26 07:00:00,21.69,22.03,21.65,22.03,376700
GIL,2024-02-27 03:00:00,22.0,22.41,21.86,21.86,503000
GIL,2024-02-27 04:00:00,21.86,22.03,21.76,21.79,189000
GIL,2024-02-27 06:00:00,21.79,22.03,21.72,21.96,245100
GIL,2024-02-27 07:00:00,21.96,22.31,21.83,22.31,307500
GIL,2024-02-28 03:00:00,22.1,22.31,22.03,22.03,327800
GIL,2024-02-28 04:00:00,22.03,22.03,22.0,22.0,28100
GIL,2024-02-28 06:00:00,22.0,22.03,21.72,22.03,220400
GIL,2024-02-28 07:00:00,22.03,22.31,21.79,22.1,217600
GIL,2024-02-29 03:00:00,21.89,21.89,21.69,21.83,335900
GIL,2024-02-29 04:00:00,21.83,21.83,21.62,21.62,147700
GIL,2024-02-29 06:00:00,21.62,21.76,21.52,21.62,259800
GIL,2024-02-29 07:00:00,21.62,22.0,21.48,22.0,222100
GIL,2024-03-01 03:00:00,21.65,21.72,21.58,21.62,212800
GIL,2024-03-01 04:00:00,21.62,21.79,21.62,21.69,41900
GIL,2024-03-01 06:00:00,21.69,22.0,21.62,21.76,169800
GIL,2024-03-01 07:00:00,21.76,22.03,21.72,22.0,242000
