ticker,time,open,high,low,close,volume
VRE,2024-01-02 03:00:00,23.5,23.5,23.2,23.25,1876500
VRE,2024-01-02 04:00:00,23.25,23.3,23.15,23.2,341100
VRE,2024-01-02 06:00:00,23.2,23.25,23.05,23.15,1256800
VRE,2024-01-02 07:00:00,23.15,23.2,23.05,23.1,946800
VRE,2024-01-03 03:00:00,23.0,23.1,23.0,23.1,1168400
VRE,2024-01-03 04:00:00,23.1,23.2,23.1,23.1,144500
VRE,2024-01-03 06:00:00,23.1,23.25,23.1,23.2,762400
VRE,2024-01-03 07:00:00,23.2,23.3,23.15,23.25,603000
VRE,2024-01-04 03:00:00,23.35,23.35,23.25,23.35,1396300
VRE,2024-01-04 04:00:00,23.35,23.6,23.35,23.55,1113800
VRE,2024-01-04 06:00:00,23.55,23.55,23.4,23.5,1365200
VRE,2024-01-04 07:00:00,23.5,23.55,23.4,23.4,918000
VRE,2024-01-05 03:00:00,23.35,23.4,23.1,23.25,1497600
VRE,2024-01-05 04:00:00,23.2,23.2,23.15,23.2,365100
VRE,2024-01-05 06:00:00,23.2,23.3,23.15,23.25,548900
VRE,2024-01-05 07:00:00,23.3,23.35,23.2,23.35,889400
VRE,2024-01-08 03:00:00,23.85,24.1,23.85,23.9,4325000
VRE,2024-01-08 04:00:00,23.85,23.9,23.85,23.85,225400
VRE,2024-01-08 06:00:00,23.85,23.95,23.7,23.8,1711700
VRE,2024-01-08 07:00:00,23.8,23.8,23.6,23.7,1399100
VRE,2024-01-09 03:00:00,23.6,23.6,23.5,23.5,1234400
VRE,2024-01-09 04:00:00,23.5,23.55,23.5,23.55,408400
VRE,2024-01-09 06:00:00,23.55,23.55,23.35,23.4,1470100
VRE,2024-01-09 07:00:00,23.4,23.45,23.35,23.35,1702400
VRE,2024-01-10 03:00:00,23.45,23.5,23.3,23.35,1106800
VRE,2024-01-10 04:00:00,23.35,23.35,23.25,23.25,335800
VRE,2024-01-10 06:00:00,23.3,23.4,23.2,23.3,1197800
VRE,2024-01-10 07:00:00,23.3,23.4,23.2,23.3,823100
VRE,2024-01-11 03:00:00,23.45,23.55,23.4,23.55,1134500
VRE,2024-01-11 04:00:00,23.5,23.65,23.5,23.5,581200
VRE,2024-01-11 06:00:00,23.5,23.55,23.35,23.45,975700
VRE,2024-01-11 07:00:00,23.45,23.5,23.3,23.45,1188300
VRE,2024-01-12 03:00:00,23.1,23.2,23.05,23.15,2905200
VRE,2024-01-12 04:00:00,23.15,23.25,23.05,23.15,422900
VRE,2024-01-12 06:00:00,23.15,23.2,23.05,23.1,994000
VRE,2024-01-12 07:00:00,23.1,23.1,22.9,23.1,1662300
VRE,2024-01-15 03:00:00,23.2,23.2,23.1,23.15,676400
VRE,2024-01-15 04:00:00,23.15,23.2,23.1,23.15,166000
VRE,2024-01-15 06:00:00,23.15,23.2,23.05,23.05,708700
VRE,2024-01-15 07:00:00,23.05,23.15,22.95,22.95,845900
VRE,2024-01-16 03:00:00,22.9,22.95,22.85,22.9,619900
VRE,2024-01-16 04:00:00,22.9,23.1,22.9,22.95,288200
VRE,2024-01-16 06:00:00,22.95,23.1,22.9,22.9,594400
VRE,2024-01-16 07:00:00,22.9,23.1,22.9,23.1,1164000
VRE,2024-01-17 03:00:00,23.25,23.3,23.2,23.25,1636100
VRE,2024-01-17 04:00:00,23.25,23.35,23.25,23.35,994400
VRE,2024-01-17 06:00:00,23.35,23.35,23.2,23.25,1513200
VRE,2024-01-17 07:00:00,23.25,23.3,23.15,23.3,756900
VRE,2024-01-18 03:00:00,23.35,23.35,23.25,23.3,829200
VRE,2024-01-18 04:00:00,23.3,23.35,23.25,23.25,178200
VRE,2024-01-18 06:00:00,23.25,23.45,23.2,23.45,2817100
VRE,2024-01-18 07:00:00,23.45,23.55,23.35,23.55,3064700
VRE,2024-01-19 03:00:00,23.95,24.0,23.85,23.9,4504500
VRE,2024-01-19 04:00:00,23.9,23.9,23.75,23.8,370900
VRE,2024-01-19 06:00:00,23.8,23.85,23.65,23.7,911400
