ticker,time,open,high,low,close,volume
BMP,2025-01-02 03:00:00,126.28,126.28,125.32,125.71,61500
BMP,2025-01-02 04:00:00,125.71,126.09,125.71,125.8,5000
BMP,2025-01-02 06:00:00,125.8,128.0,125.32,127.91,53900
BMP,2025-01-02 07:00:00,127.91,127.91,127.33,127.43,38400
BMP,2025-01-03 03:00:00,127.43,129.25,127.14,128.67,58900
BMP,2025-01-03 04:00:00,128.67,128.87,127.24,127.72,32600
BMP,2025-01-03 06:00:00,127.72,128.0,127.43,127.81,30700
BMP,2025-01-03 07:00:00,127.81,128.58,127.62,127.62,65900
BMP,2025-01-06 03:00:00,127.24,128.2,127.14,127.33,44400
BMP,2025-01-06 04:00:00,127.33,127.33,126.95,126.95,12300
BMP,2025-01-06 06:00:00,126.95,127.33,126.47,126.76,42000
BMP,2025-01-06 07:00:00,126.76,127.14,124.56,125.42,61400
BMP,2025-01-07 03:00:00,125.9,127.91,125.61,127.81,41900
BMP,2025-01-07 04:00:00,127.81,128.1,127.14,127.81,27500
BMP,2025-01-07 06:00:00,127.81,130.3,127.81,129.15,170500
BMP,2025-01-07 07:00:00,129.15,129.54,127.91,129.15,89800
BMP,2025-01-08 03:00:00,127.91,128.67,127.43,128.1,35800
BMP,2025-01-08 04:00:00,128.1,128.1,127.72,127.72,3900
BMP,2025-01-08 06:00:00,127.72,128.77,127.72,128.58,39200
BMP,2025-01-08 07:00:00,128.58,131.16,128.58,131.16,109500
BMP,2025-01-09 03:00:00,130.21,130.21,129.73,129.92,53800
BMP,2025-01-09 04:00:00,129.92,130.11,129.63,130.01,11600
BMP,2025-01-09 06:00:00,130.01,130.01,128.77,129.25,67700
BMP,2025-01-09 07:00:00,129.25,130.01,128.96,129.25,36700
BMP,2025-01-10 03:00:00,128.29,128.58,127.53,127.62,30800
BMP,2025-01-10 04:00:00,127.62,128.29,127.62,127.72,1000
BMP,2025-01-10 06:00:00,127.72,127.81,127.05,127.43,55200
BMP,2025-01-10 07:00:00,127.43,127.72,124.46,124.46,104500
BMP,2025-01-13 03:00:00,123.31,124.46,122.36,123.5,113700
BMP,2025-01-13 04:00:00,123.5,123.5,122.55,122.55,12800
BMP,2025-01-13 06:00:00,122.55,123.79,122.07,123.79,45500
BMP,2025-01-13 07:00:00,123.79,124.17,122.55,122.55,27000
BMP,2025-01-14 03:00:00,123.12,123.12,121.3,122.07,45400
BMP,2025-01-14 04:00:00,122.07,122.55,121.59,121.69,3200
BMP,2025-01-14 06:00:00,121.69,121.78,120.63,121.11,57700
BMP,2025-01-14 07:00:00,121.11,121.11,118.72,118.72,151100
BMP,2025-01-15 03:00:00,120.06,120.73,120.06,120.44,23300
BMP,2025-01-15 04:00:00,120.44,120.44,119.1,119.1,31700
BMP,2025-01-15 06:00:00,119.1,119.2,117.86,118.33,92600
BMP,2025-01-15 07:00:00,118.33,119.39,118.24,119.29,33500
BMP,2025-01-16 03:00:00,120.15,120.63,119.87,120.63,37600
BMP,2025-01-16 04:00:00,120.63,120.63,119.96,119.96,1200
BMP,2025-01-16 06:00:00,119.96,121.49,119.96,120.92,20100
BMP,2025-01-16 07:00:00,120.92,121.4,120.54,121.4,17000
BMP,2025-01-17 03:00:00,121.21,121.49,121.11,121.3,34100
BMP,2025-01-17 04:00:00,121.3,121.49,121.11,121.11,6100
BMP,2025-01-17 06:00:00,121.11,121.49,120.92,121.11,23600
BMP,2025-01-17 07:00:00,121.11,122.16,121.11,121.97,33300
BMP,2025-01-20 02:00:00,122.45,122.45,120.35,120.44,25700
BMP,2025-01-20 03:00:00,120.44,120.73,120.25,120.25,44200
BMP,2025-01-20 04:00:00,120.25,120.54,120.25,120.44,13200
BMP,2025-01-20 06:00:00,120.44,120.63,120.06,120.06,60300
BMP,2025-01-20 07:00:00,120.06,120.15,119.68,119.68,52400
BMP,2025-01-21 02:00:00,119.68,121.11,119.68,120.92,20600
BMP,2025-01-21 03:00:00,120.92,120.92,120.63,120.63,17900
BMP,2025-01-21 04:00:00,120.63,120.92,120.63,120.73,10100
BMP,2025-01-21 06:00:00,120.73,121.3,120.25,120.44,50600
BMP,2025-01-21 07:00:00,120.44,120.63,120.44,120.54,15300
BMP,2025-01-22 02:00:00,120.54,120.63,119.87,120.63,12800
BMP,2025-01-22 03:00:00,120.63,121.3,120.06,120.63,23300
BMP,2025-01-22 04:00:00,120.63,120.63,120.35,120.54,5300
BMP,2025-01-22 06:00:00,120.54,120.63,120.15,120.15,27000
BMP,2025-01-22 07:00:00,120.15,120.44,119.68,119.87,57400
BMP,2025-01-23 02:00:00,118.72,119.87,117.76,118.24,122300
BMP,2025-01-23 03:00:00,118.24,119.1,118.24,118.62,54400
BMP,2025-01-23 04:00:00,118.62,118.72,118.43,118.43,11500
BMP,2025-01-23 06:00:00,118.43,119.0,118.05,119.0,133900
BMP,2025-01-23 07:00:00,119.0,120.25,118.72,120.25,109800
BMP,2025-01-24 02:00:00,119.87,120.25,119.1,119.1,19100
BMP,2025-01-24 03:00:00,119.1,119.1,118.33,119.1,73100
BMP,2025-01-24 04:00:00,119.1,119.1,118.53,118.81,12000
BMP,2025-01-24 06:00:00,118.81,119.0,118.53,118.62,69400
BMP,2025-01-24 07:00:00,118.62,121.4,118.43,121.4,161200
BMP,2025-02-03 02:00:00,121.4,121.4,117.76,118.81,24400
BMP,2025-02-03 03:00:00,118.81,119.77,118.33,119.77,53700
BMP,2025-02-03 04:00:00,119.77,119.77,118.81,118.91,7400
BMP,2025-02-03 06:00:00,118.91,118.91,117.95,118.24,84100
BMP,2025-02-03 07:00:00,118.24,119.48,117.76,117.76,53100
BMP,2025-02-04 02:00:00,117.86,118.33,117.86,118.14,21000
BMP,2025-02-04 03:00:00,118.14,118.24,117.19,117.57,73700
BMP,2025-02-04 04:00:00,117.57,117.76,117.38,117.66,11600
