ticker,time,open,high,low,close,volume
CST,2025-01-02 02:00:00,23.04,23.14,22.95,23.04,19300
CST,2025-01-02 03:00:00,23.04,23.04,22.95,22.95,11500
CST,2025-01-02 04:00:00,22.95,22.95,22.95,22.95,2500
CST,2025-01-02 06:00:00,22.95,22.95,22.57,22.57,32700
CST,2025-01-02 07:00:00,22.67,22.67,22.57,22.57,7200
CST,2025-01-03 02:00:00,22.48,22.48,22.2,22.38,10100
CST,2025-01-03 03:00:00,22.29,22.29,22.2,22.29,41600
CST,2025-01-03 04:00:00,22.29,22.29,22.2,22.2,8900
CST,2025-01-03 06:00:00,22.2,22.38,22.2,22.38,3000
CST,2025-01-03 07:00:00,22.38,22.48,22.29,22.48,7800
CST,2025-01-06 02:00:00,22.29,22.48,22.29,22.48,4300
CST,2025-01-06 03:00:00,22.29,22.57,22.29,22.57,6000
CST,2025-01-06 06:00:00,22.48,22.48,22.38,22.38,1300
CST,2025-01-06 07:00:00,22.38,22.38,22.01,22.1,15100
CST,2025-01-07 03:00:00,22.29,22.38,22.29,22.38,1300
CST,2025-01-07 04:00:00,22.29,22.29,22.2,22.2,400
CST,2025-01-07 06:00:00,22.1,22.38,22.1,22.29,3700
CST,2025-01-07 07:00:00,22.29,22.29,22.01,22.1,14500
CST,2025-01-07 08:00:00,22.01,22.01,22.01,22.01,500
CST,2025-01-08 02:00:00,22.01,22.1,21.91,22.1,18200
CST,2025-01-08 03:00:00,22.2,22.2,22.1,22.2,8900
CST,2025-01-08 04:00:00,22.2,22.29,22.2,22.29,10400
CST,2025-01-08 06:00:00,22.29,22.67,22.2,22.57,17400
CST,2025-01-08 07:00:00,22.57,22.76,22.57,22.76,37100
CST,2025-01-09 02:00:00,22.48,22.48,22.29,22.29,39000
CST,2025-01-09 03:00:00,22.2,22.2,22.1,22.2,41000
CST,2025-01-09 04:00:00,22.2,22.2,22.2,22.2,5000
CST,2025-01-09 06:00:00,22.2,22.2,22.01,22.1,18300
CST,2025-01-09 07:00:00,22.1,22.57,22.1,22.57,35100
CST,2025-01-10 02:00:00,22.38,22.48,22.29,22.38,11300
CST,2025-01-10 03:00:00,22.38,22.38,22.38,22.38,4100
CST,2025-01-10 04:00:00,22.48,22.48,22.29,22.29,8400
CST,2025-01-10 06:00:00,22.29,22.38,22.29,22.29,7400
CST,2025-01-10 07:00:00,22.29,22.29,22.1,22.2,24000
CST,2025-01-13 02:00:00,22.1,22.1,22.01,22.01,9700
CST,2025-01-13 03:00:00,22.1,22.1,22.1,22.1,3300
CST,2025-01-13 04:00:00,22.1,22.2,22.1,22.2,6300
CST,2025-01-13 06:00:00,22.2,22.29,22.1,22.29,5700
CST,2025-01-13 07:00:00,22.29,22.38,22.29,22.38,9800
CST,2025-01-14 02:00:00,22.2,22.38,22.2,22.38,3500
CST,2025-01-14 03:00:00,22.29,22.29,22.2,22.29,6300
CST,2025-01-14 04:00:00,22.29,22.29,22.29,22.29,1300
CST,2025-01-14 06:00:00,22.1,22.29,22.1,22.2,4000
CST,2025-01-14 07:00:00,22.1,22.38,22.1,22.2,18800
CST,2025-01-15 02:00:00,22.29,22.76,22.29,22.67,14200
CST,2025-01-15 03:00:00,22.67,22.76,22.29,22.48,45300
CST,2025-01-15 04:00:00,22.48,22.48,22.48,22.48,1000
CST,2025-01-15 06:00:00,22.67,22.67,22.48,22.48,13800
CST,2025-01-15 07:00:00,22.48,22.48,22.48,22.48,4900
CST,2025-01-16 02:00:00,22.48,22.48,22.48,22.48,2700
CST,2025-01-16 03:00:00,22.57,22.57,22.57,22.57,1400
CST,2025-01-16 04:00:00,22.48,22.48,22.48,22.48,1800
CST,2025-01-16 06:00:00,22.48,22.48,22.38,22.48,9700
CST,2025-01-16 07:00:00,22.48,22.67,22.48,22.57,13000
CST,2025-01-17 02:00:00,22.48,22.48,22.38,22.48,1900
CST,2025-01-17 03:00:00,22.48,22.48,22.38,22.38,16200
CST,2025-01-17 04:00:00,22.38,22.48,22.38,22.48,4600
CST,2025-01-17 06:00:00,22.38,22.38,22.29,22.29,7400
CST,2025-01-17 07:00:00,22.38,22.38,22.29,22.38,4700
CST,2025-01-20 02:00:00,22.48,22.57,22.38,22.57,8000
CST,2025-01-20 03:00:00,22.57,22.57,22.48,22.48,8000
CST,2025-01-20 06:00:00,22.38,22.48,22.38,22.38,2400
CST,2025-01-20 07:00:00,22.38,22.38,22.2,22.29,25800
