ticker,time,open,high,low,close,volume
CEO,2023-09-11 02:00:00,24.94,25.4,24.67,24.85,2074300
CEO,2023-09-11 03:00:00,24.76,24.85,24.58,24.76,1342300
CEO,2023-09-11 04:00:00,24.76,24.76,24.49,24.67,1020900
CEO,2023-09-11 06:00:00,24.67,24.94,24.22,24.58,4133100
CEO,2023-09-11 07:00:00,24.49,24.85,24.22,24.22,3433000
CEO,2023-09-12 02:00:00,24.22,24.58,23.95,24.22,1880800
CEO,2023-09-12 03:00:00,24.22,24.67,24.13,24.67,1772900
CEO,2023-09-12 04:00:00,24.58,24.76,24.49,24.49,497900
CEO,2023-09-12 06:00:00,24.58,24.67,24.31,24.67,1740900
CEO,2023-09-12 07:00:00,24.67,25.04,24.58,25.04,2428400
CEO,2023-09-13 02:00:00,25.31,26.85,25.13,26.4,6445700
CEO,2023-09-13 03:00:00,26.4,26.4,26.12,26.3,1899100
CEO,2023-09-13 04:00:00,26.3,26.4,26.12,26.12,279800
CEO,2023-09-13 06:00:00,26.12,26.21,25.94,25.94,2085100
CEO,2023-09-13 07:00:00,25.94,26.12,25.04,25.76,3923200
CEO,2023-09-14 02:00:00,25.76,25.85,25.22,25.58,1711800
CEO,2023-09-14 03:00:00,25.58,25.58,25.22,25.58,1485600
CEO,2023-09-14 04:00:00,25.58,25.58,25.31,25.31,344800
CEO,2023-09-14 06:00:00,25.31,25.4,24.76,25.31,3503300
CEO,2023-09-14 07:00:00,25.31,25.49,24.49,24.49,3011900
CEO,2023-09-15 02:00:00,24.49,24.94,24.49,24.94,1180500
CEO,2023-09-15 03:00:00,24.94,24.94,24.31,24.31,1121200
CEO,2023-09-15 04:00:00,24.31,24.58,24.13,24.31,717600
CEO,2023-09-15 06:00:00,24.31,24.85,24.13,24.76,1701200
CEO,2023-09-15 07:00:00,24.76,24.94,24.49,24.58,1417900
CEO,2023-09-18 02:00:00,24.49,24.67,24.04,24.31,1366500
CEO,2023-09-18 03:00:00,24.22,24.58,24.13,24.4,1133500
CEO,2023-09-18 04:00:00,24.4,24.4,24.13,24.13,374400
CEO,2023-09-18 06:00:00,24.22,24.49,24.13,24.4,1352200
CEO,2023-09-18 07:00:00,24.4,24.49,23.67,23.95,2664400
