ticker,time,open,high,low,close,volume
CTS,2023-09-11 03:00:00,21.12,21.19,21.05,21.08,482900
CTS,2023-09-11 04:00:00,21.12,21.12,20.91,21.05,187000
CTS,2023-09-11 06:00:00,21.05,22.2,20.84,21.71,1633400
CTS,2023-09-11 07:00:00,21.68,22.03,21.15,21.15,1005100
CTS,2023-09-12 03:00:00,21.92,22.27,21.92,22.24,873600
CTS,2023-09-12 04:00:00,22.2,22.24,22.06,22.1,88400
CTS,2023-09-12 06:00:00,22.06,22.62,21.99,22.62,707600
CTS,2023-09-12 07:00:00,22.62,22.62,22.62,22.62,210200
CTS,2023-09-13 03:00:00,23.18,23.36,22.9,23.29,701600
CTS,2023-09-13 04:00:00,23.29,23.5,23.29,23.36,106800
CTS,2023-09-13 06:00:00,23.29,23.43,22.8,22.94,540700
CTS,2023-09-13 07:00:00,22.94,23.04,22.13,22.8,883400
CTS,2023-09-14 03:00:00,22.48,22.52,22.13,22.52,756400
CTS,2023-09-14 04:00:00,22.52,22.52,22.27,22.34,106300
CTS,2023-09-14 06:00:00,22.34,22.38,22.1,22.38,664500
CTS,2023-09-14 07:00:00,22.38,23.08,22.2,22.38,463400
CTS,2023-09-15 03:00:00,22.45,22.45,21.89,21.89,518000
CTS,2023-09-15 04:00:00,21.89,22.03,21.82,21.99,176000
CTS,2023-09-15 06:00:00,21.99,22.38,21.89,22.34,418000
CTS,2023-09-15 07:00:00,22.34,22.41,21.99,21.99,382400
CTS,2023-09-18 03:00:00,21.78,21.89,21.61,21.89,469300
CTS,2023-09-18 04:00:00,21.89,22.1,21.75,21.82,117200
CTS,2023-09-18 06:00:00,21.82,22.38,21.75,22.2,359200
CTS,2023-09-18 07:00:00,22.2,22.31,21.68,22.1,285600
CTS,2023-09-19 03:00:00,22.31,22.31,21.92,21.99,338900
CTS,2023-09-19 04:00:00,21.99,22.1,21.71,22.1,195900
CTS,2023-09-19 06:00:00,22.06,22.66,21.89,22.48,523100
CTS,2023-09-19 07:00:00,22.48,22.59,22.06,22.59,400300
CTS,2023-09-20 03:00:00,22.9,23.39,22.8,23.15,760100
CTS,2023-09-20 04:00:00,23.15,23.22,23.08,23.15,41400
CTS,2023-09-20 06:00:00,23.15,23.15,22.94,23.01,311300
CTS,2023-09-20 07:00:00,23.01,23.11,22.94,22.94,277600
CTS,2023-09-21 03:00:00,22.69,22.8,22.62,22.66,434600
CTS,2023-09-21 04:00:00,22.66,22.69,22.48,22.59,110700
CTS,2023-09-21 06:00:00,22.59,22.66,22.31,22.59,589300
CTS,2023-09-21 07:00:00,22.59,22.59,21.75,21.75,1147200
CTS,2023-09-22 03:00:00,21.01,21.01,20.24,20.28,2437000
CTS,2023-09-22 04:00:00,20.24,20.56,20.24,20.28,371100
CTS,2023-09-22 06:00:00,20.28,20.56,20.24,20.56,725100
CTS,2023-09-22 07:00:00,20.59,20.77,20.24,20.24,607000
CTS,2023-09-25 03:00:00,20.03,20.21,19.93,20.07,496100
CTS,2023-09-25 04:00:00,20.03,20.1,20.0,20.03,38900
CTS,2023-09-25 06:00:00,20.03,20.03,18.95,19.23,518400
