ticker,time,open,high,low,close,volume
MBB,2023-09-11 03:00:00,12.23,12.23,12.17,12.2,3508600
MBB,2023-09-11 04:00:00,12.2,12.23,12.13,12.17,864300
MBB,2023-09-11 06:00:00,12.17,12.2,12.07,12.13,5295400
MBB,2023-09-11 07:00:00,12.13,12.13,11.97,11.97,5371200
MBB,2023-09-12 03:00:00,12.04,12.07,12.01,12.04,2923700
MBB,2023-09-12 04:00:00,12.07,12.13,12.04,12.04,1426700
MBB,2023-09-12 06:00:00,12.07,12.1,12.01,12.07,1643500
MBB,2023-09-12 07:00:00,12.1,12.29,12.07,12.29,4925800
MBB,2023-09-13 03:00:00,12.29,12.29,12.2,12.23,4295900
MBB,2023-09-13 04:00:00,12.23,12.26,12.2,12.23,886400
MBB,2023-09-13 06:00:00,12.23,12.29,12.2,12.23,4293500
MBB,2023-09-13 07:00:00,12.26,12.26,12.1,12.17,3990100
MBB,2023-09-14 03:00:00,12.33,12.33,12.17,12.23,7487200
MBB,2023-09-14 04:00:00,12.2,12.26,12.17,12.17,818900
MBB,2023-09-14 06:00:00,12.17,12.23,12.13,12.23,3909500
MBB,2023-09-14 07:00:00,12.23,12.26,12.13,12.23,2717500
MBB,2023-09-15 03:00:00,12.52,12.58,12.42,12.42,18503000
MBB,2023-09-15 04:00:00,12.42,12.49,12.39,12.45,1651200
MBB,2023-09-15 06:00:00,12.45,12.45,12.36,12.39,3546300
MBB,2023-09-15 07:00:00,12.39,12.45,12.33,12.39,2631300
MBB,2023-09-18 03:00:00,12.33,12.33,12.23,12.26,3816700
MBB,2023-09-18 04:00:00,12.26,12.29,12.23,12.23,765400
MBB,2023-09-18 06:00:00,12.23,12.29,12.17,12.2,3850300
MBB,2023-09-18 07:00:00,12.2,12.26,12.13,12.23,3352900
MBB,2023-09-19 03:00:00,12.26,12.26,12.17,12.17,2798700
MBB,2023-09-19 04:00:00,12.17,12.17,12.1,12.17,1787600
MBB,2023-09-19 06:00:00,12.17,12.23,12.07,12.17,3123700
MBB,2023-09-19 07:00:00,12.17,12.23,12.07,12.13,3833100
MBB,2023-09-20 03:00:00,12.2,12.2,12.1,12.13,2775200
MBB,2023-09-20 04:00:00,12.13,12.23,12.13,12.2,987700
MBB,2023-09-20 06:00:00,12.2,12.26,12.17,12.2,1906700
MBB,2023-09-20 07:00:00,12.2,12.26,12.17,12.26,3243500
MBB,2023-09-21 03:00:00,12.29,12.29,12.23,12.23,4103100
MBB,2023-09-21 04:00:00,12.23,12.29,12.2,12.26,308200
MBB,2023-09-21 06:00:00,12.26,12.26,12.13,12.2,3047700
MBB,2023-09-21 07:00:00,12.2,12.2,12.07,12.1,5132900
MBB,2023-09-22 03:00:00,11.97,11.97,11.69,11.78,12237900
MBB,2023-09-22 04:00:00,11.78,11.94,11.78,11.81,1849000
MBB,2023-09-22 06:00:00,11.81,11.94,11.75,11.94,3250900
MBB,2023-09-22 07:00:00,11.94,11.97,11.88,11.94,1625200
MBB,2023-09-25 03:00:00,11.88,11.97,11.85,11.94,2313100
MBB,2023-09-25 04:00:00,11.94,11.94,11.91,11.94,441100
MBB,2023-09-25 06:00:00,11.94,11.94,11.75,11.85,3336800
MBB,2023-09-25 07:00:00,11.81,11.88,11.56,11.56,7336000
MBB,2023-09-26 03:00:00,11.59,11.72,11.59,11.72,5118400
MBB,2023-09-26 04:00:00,11.72,11.72,11.59,11.62,1336500
MBB,2023-09-26 06:00:00,11.62,11.75,11.59,11.75,2046800
MBB,2023-09-26 07:00:00,11.75,11.78,11.65,11.65,2590400
MBB,2023-09-27 03:00:00,11.69,11.75,11.65,11.72,3008900
MBB,2023-09-27 04:00:00,11.72,11.72,11.62,11.72,1570200
MBB,2023-09-27 06:00:00,11.72,11.75,11.65,11.75,1878300
MBB,2023-09-27 07:00:00,11.75,11.81,11.72,11.81,2214200
MBB,2023-09-28 03:00:00,11.75,11.78,11.62,11.72,2731700
MBB,2023-09-28 04:00:00,11.72,11.78,11.65,11.69,805600
MBB,2023-09-28 06:00:00,11.72,11.81,11.69,11.78,1420100
MBB,2023-09-28 07:00:00,11.81,11.85,11.69,11.81,1748400
MBB,2023-09-29 03:00:00,11.88,11.88,11.81,11.88,1882400
MBB,2023-09-29 04:00:00,11.88,11.91,11.85,11.88,368900
MBB,2023-09-29 06:00:00,11.88,11.88,11.81,11.88,926300
MBB,2023-09-29 07:00:00,11.88,11.88,11.81,11.81,974600
MBB,2023-10-02 03:00:00,11.85,11.88,11.78,11.85,2071300
MBB,2023-10-02 04:00:00,11.88,11.94,11.85,11.91,683000
MBB,2023-10-02 06:00:00,11.91,11.94,11.85,11.88,922000
MBB,2023-10-02 07:00:00,11.88,11.88,11.85,11.88,846600
MBB,2023-10-03 03:00:00,11.69,11.75,11.69,11.69,1629400
MBB,2023-10-03 04:00:00,11.69,11.72,11.62,11.65,1677000
MBB,2023-10-03 06:00:00,11.65,11.65,11.5,11.65,4839000
MBB,2023-10-03 07:00:00,11.65,11.65,11.5,11.53,3112900
MBB,2023-10-04 03:00:00,11.53,11.62,11.53,11.56,3092800
MBB,2023-10-04 04:00:00,11.56,11.59,11.53,11.59,472100
MBB,2023-10-04 06:00:00,11.59,11.65,11.56,11.62,2553200
MBB,2023-10-04 07:00:00,11.62,11.65,11.59,11.59,1294200
MBB,2023-10-05 03:00:00,11.62,11.62,11.53,11.56,2044300
MBB,2023-10-05 04:00:00,11.56,11.62,11.56,11.59,372400
MBB,2023-10-05 06:00:00,11.62,11.62,11.56,11.56,3420200
MBB,2023-10-05 07:00:00,11.56,11.59,11.5,11.53,1579700
MBB,2023-10-06 03:00:00,11.56,11.56,11.5,11.53,1999600
MBB,2023-10-06 04:00:00,11.53,11.53,11.46,11.53,623500
MBB,2023-10-06 06:00:00,11.5,11.56,11.5,11.53,1295500
MBB,2023-10-06 07:00:00,11.56,11.62,11.5,11.59,943000
MBB,2023-10-09 03:00:00,11.56,11.62,11.56,11.56,3413600
MBB,2023-10-09 04:00:00,11.59,11.59,11.56,11.59,293900
MBB,2023-10-09 06:00:00,11.59,11.59,11.5,11.56,5085100
MBB,2023-10-09 07:00:00,11.56,11.69,11.53,11.69,2364600
MBB,2023-10-10 03:00:00,11.78,11.85,11.75,11.81,3079000
MBB,2023-10-10 04:00:00,11.81,11.85,11.78,11.81,703300
MBB,2023-10-10 06:00:00,11.81,11.85,11.75,11.78,2784700
MBB,2023-10-10 07:00:00,11.78,11.81,11.75,11.78,802700
MBB,2023-10-11 03:00:00,11.81,11.81,11.75,11.75,1269300
MBB,2023-10-11 04:00:00,11.78,11.78,11.72,11.75,453700
MBB,2023-10-11 06:00:00,11.75,11.78,11.69,11.75,1928000
MBB,2023-10-11 07:00:00,11.75,11.81,11.75,11.81,1153600
MBB,2023-10-12 03:00:00,11.81,11.85,11.78,11.81,2240300
MBB,2023-10-12 04:00:00,11.81,11.85,11.81,11.85,379500
MBB,2023-10-12 06:00:00,11.85,11.85,11.75,11.78,1611400
MBB,2023-10-12 07:00:00,11.81,11.81,11.72,11.72,1212800
MBB,2023-10-13 03:00:00,11.72,11.72,11.69,11.69,1612300
MBB,2023-10-13 04:00:00,11.69,11.78,11.69,11.75,616400
MBB,2023-10-13 06:00:00,11.75,11.81,11.72,11.75,1757100
MBB,2023-10-13 07:00:00,11.75,11.81,11.75,11.78,1831900
MBB,2023-10-16 03:00:00,11.72,11.78,11.65,11.75,2735200
MBB,2023-10-16 04:00:00,11.72,11.78,11.72,11.78,140800
MBB,2023-10-16 06:00:00,11.75,11.75,11.69,11.72,538300
MBB,2023-10-16 07:00:00,11.69,11.72,11.62,11.62,2047200
MBB,2023-10-17 03:00:00,11.62,11.65,11.59,11.65,1355200
MBB,2023-10-17 04:00:00,11.69,11.69,11.65,11.69,172400
MBB,2023-10-17 06:00:00,11.69,11.78,11.65,11.65,1646200
MBB,2023-10-17 07:00:00,11.69,11.75,11.56,11.56,2269000
MBB,2023-10-18 03:00:00,11.53,11.56,11.43,11.5,3457900
MBB,2023-10-18 04:00:00,11.5,11.53,11.46,11.5,774400
MBB,2023-10-18 06:00:00,11.5,11.53,11.46,11.5,1706000
MBB,2023-10-18 07:00:00,11.46,11.53,11.24,11.34,5012600
MBB,2023-10-19 03:00:00,11.37,11.37,11.24,11.3,2125700
MBB,2023-10-19 04:00:00,11.3,11.37,11.24,11.37,549600
MBB,2023-10-19 06:00:00,11.37,11.43,11.3,11.37,1319500
MBB,2023-10-19 07:00:00,11.37,11.4,11.24,11.27,1652200
MBB,2023-10-20 03:00:00,11.34,11.34,11.21,11.24,1435800
MBB,2023-10-20 04:00:00,11.24,11.27,11.18,11.27,784000
MBB,2023-10-20 06:00:00,11.27,11.4,11.24,11.37,1383400
MBB,2023-10-20 07:00:00,11.34,11.5,11.34,11.46,1578300
MBB,2023-10-23 03:00:00,11.4,11.43,11.37,11.37,1064200
MBB,2023-10-23 04:00:00,11.37,11.43,11.3,11.3,495800
MBB,2023-10-23 06:00:00,11.3,11.4,11.3,11.3,1278400
MBB,2023-10-23 07:00:00,11.3,11.4,11.3,11.37,879300
MBB,2023-10-24 03:00:00,11.4,11.43,11.34,11.37,1311900
MBB,2023-10-24 04:00:00,11.4,11.43,11.37,11.4,349500
MBB,2023-10-24 06:00:00,11.4,11.5,11.37,11.46,1765200
MBB,2023-10-24 07:00:00,11.46,11.5,11.4,11.43,958600
MBB,2023-10-25 03:00:00,11.46,11.53,11.43,11.5,2526800
MBB,2023-10-25 04:00:00,11.5,11.53,11.46,11.5,153000
MBB,2023-10-25 06:00:00,11.46,11.5,11.4,11.43,947700
MBB,2023-10-25 07:00:00,11.43,11.43,11.37,11.37,866000
MBB,2023-10-26 03:00:00,11.08,11.18,10.95,10.98,6471300
MBB,2023-10-26 04:00:00,10.98,11.05,10.92,11.02,1242500
MBB,2023-10-26 06:00:00,11.05,11.14,10.95,10.95,2281200
MBB,2023-10-26 07:00:00,10.95,11.05,10.89,10.98,2356800
MBB,2023-10-27 03:00:00,11.11,11.18,11.05,11.11,2749900
MBB,2023-10-27 04:00:00,11.11,11.18,11.11,11.14,489600
MBB,2023-10-27 06:00:00,11.11,11.18,10.95,11.05,4213000
MBB,2023-10-27 07:00:00,11.05,11.18,11.02,11.14,1616400
MBB,2023-10-30 03:00:00,11.02,11.05,10.98,11.02,925100
MBB,2023-10-30 04:00:00,11.02,11.05,10.95,11.02,375300
MBB,2023-10-30 06:00:00,10.98,11.05,10.98,11.05,476800
MBB,2023-10-30 07:00:00,11.05,11.05,10.86,10.86,1561200
MBB,2023-10-31 03:00:00,10.92,10.95,10.86,10.92,2032100
MBB,2023-10-31 04:00:00,10.92,10.98,10.89,10.95,394600
MBB,2023-10-31 06:00:00,10.95,11.05,10.95,11.02,1914400
MBB,2023-10-31 07:00:00,11.02,11.05,10.82,10.92,2249000
MBB,2023-11-01 03:00:00,11.02,11.02,10.92,11.02,2140300
MBB,2023-11-01 04:00:00,10.98,11.02,10.95,10.98,200800
MBB,2023-11-01 06:00:00,10.98,11.02,10.92,10.98,1361300
MBB,2023-11-01 07:00:00,10.98,11.05,10.95,10.98,1618400
MBB,2023-11-02 03:00:00,11.11,11.21,11.08,11.18,2532600
MBB,2023-11-02 04:00:00,11.18,11.24,11.14,11.21,900300
MBB,2023-11-02 06:00:00,11.21,11.27,11.18,11.24,1740800
MBB,2023-11-02 07:00:00,11.24,11.34,11.24,11.3,1753500
MBB,2023-11-03 03:00:00,11.37,11.37,11.27,11.34,2324100
MBB,2023-11-03 04:00:00,11.34,11.34,11.24,11.27,405000
MBB,2023-11-03 06:00:00,11.3,11.34,11.24,11.34,1660900
MBB,2023-11-03 07:00:00,11.34,11.37,11.11,11.11,7476000
MBB,2023-11-06 03:00:00,11.43,11.43,11.37,11.4,3300500
MBB,2023-11-06 04:00:00,11.4,11.43,11.37,11.4,267700
MBB,2023-11-06 06:00:00,11.4,11.5,11.37,11.46,3489600
MBB,2023-11-06 07:00:00,11.46,11.46,11.37,11.46,1611600
MBB,2023-11-07 03:00:00,11.46,11.5,11.43,11.46,1749000
MBB,2023-11-07 04:00:00,11.46,11.46,11.43,11.43,213100
MBB,2023-11-07 06:00:00,11.43,11.43,11.34,11.34,2064000
MBB,2023-11-07 07:00:00,11.37,11.4,11.3,11.37,510800
MBB,2023-11-08 03:00:00,11.34,11.4,11.34,11.4,1085300
MBB,2023-11-08 04:00:00,11.37,11.4,11.34,11.37,392500
MBB,2023-11-08 06:00:00,11.34,11.5,11.3,11.46,2388800
MBB,2023-11-08 07:00:00,11.46,11.75,11.43,11.72,6850900
MBB,2023-11-09 03:00:00,11.78,11.81,11.72,11.75,4393500
MBB,2023-11-09 04:00:00,11.75,11.75,11.69,11.72,605100
MBB,2023-11-09 06:00:00,11.75,11.75,11.65,11.69,2341200
MBB,2023-11-09 07:00:00,11.65,11.75,11.65,11.72,2386900
MBB,2023-11-10 03:00:00,11.65,11.69,11.59,11.65,2178000
MBB,2023-11-10 04:00:00,11.65,11.65,11.59,11.62,300600
MBB,2023-11-10 06:00:00,11.62,11.72,11.56,11.65,4673500
MBB,2023-11-10 07:00:00,11.62,11.65,11.46,11.5,5652900
MBB,2023-11-13 03:00:00,11.56,11.59,11.5,11.53,2319500
MBB,2023-11-13 04:00:00,11.53,11.59,11.53,11.53,510700
MBB,2023-11-13 06:00:00,11.53,11.56,11.5,11.5,1386900
MBB,2023-11-13 07:00:00,11.5,11.56,11.4,11.56,2436100
MBB,2023-11-14 03:00:00,11.69,11.91,11.62,11.78,8198600
MBB,2023-11-14 04:00:00,11.78,11.81,11.75,11.75,869500
MBB,2023-11-14 06:00:00,11.75,11.81,11.69,11.72,3043000
MBB,2023-11-14 07:00:00,11.72,11.78,11.69,11.78,1723300
MBB,2023-11-15 03:00:00,11.88,11.94,11.85,11.88,8349000
MBB,2023-11-15 04:00:00,11.85,11.88,11.85,11.85,498100
MBB,2023-11-15 06:00:00,11.81,11.91,11.81,11.85,2578000
MBB,2023-11-15 07:00:00,11.85,11.85,11.78,11.85,2163600
MBB,2023-11-16 03:00:00,11.81,11.85,11.78,11.81,1178400
MBB,2023-11-16 04:00:00,11.81,11.81,11.78,11.78,273600
MBB,2023-11-16 06:00:00,11.78,11.81,11.72,11.78,1458100
MBB,2023-11-16 07:00:00,11.78,11.81,11.72,11.81,2161700
