ticker,time,open,high,low,close,volume
PPC,2023-09-11 03:00:00,11.7,11.74,11.66,11.7,178200
PPC,2023-09-11 04:00:00,11.7,11.74,11.66,11.66,36200
PPC,2023-09-11 06:00:00,11.66,11.74,11.58,11.58,78300
PPC,2023-09-11 07:00:00,11.58,11.58,11.54,11.54,45800
PPC,2023-09-12 03:00:00,11.5,11.5,11.46,11.5,71300
PPC,2023-09-12 04:00:00,11.5,11.5,11.5,11.5,400
PPC,2023-09-12 06:00:00,11.5,11.54,11.46,11.54,30300
PPC,2023-09-12 07:00:00,11.54,11.54,11.38,11.38,109100
PPC,2023-09-13 03:00:00,11.62,11.62,11.5,11.5,26000
PPC,2023-09-13 04:00:00,11.5,11.58,11.5,11.5,15300
PPC,2023-09-13 06:00:00,11.58,11.58,11.46,11.5,28500
PPC,2023-09-13 07:00:00,11.54,11.54,11.42,11.42,62700
PPC,2023-09-14 03:00:00,11.54,11.54,11.46,11.46,102200
PPC,2023-09-14 04:00:00,11.46,11.46,11.35,11.35,12500
PPC,2023-09-14 06:00:00,11.35,11.5,11.35,11.46,48700
PPC,2023-09-14 07:00:00,11.5,11.58,11.5,11.5,23100
PPC,2023-09-15 03:00:00,11.58,11.58,11.5,11.54,24400
PPC,2023-09-15 04:00:00,11.54,11.54,11.5,11.5,5700
PPC,2023-09-15 06:00:00,11.46,11.54,11.46,11.5,12700
PPC,2023-09-15 07:00:00,11.5,11.5,11.5,11.5,10400
PPC,2023-09-18 03:00:00,11.42,11.46,11.42,11.46,34200
PPC,2023-09-18 04:00:00,11.46,11.46,11.42,11.42,1200
PPC,2023-09-18 06:00:00,11.42,11.42,11.38,11.42,12000
PPC,2023-09-18 07:00:00,11.42,11.42,11.38,11.38,14300
PPC,2023-09-19 03:00:00,11.38,11.42,11.35,11.42,33400
PPC,2023-09-19 04:00:00,11.38,11.38,11.38,11.38,500
PPC,2023-09-19 06:00:00,11.38,11.46,11.35,11.46,20200
PPC,2023-09-19 07:00:00,11.46,11.46,11.35,11.42,13400
PPC,2023-09-20 03:00:00,11.35,11.42,11.35,11.42,53300
PPC,2023-09-20 04:00:00,11.46,11.46,11.42,11.42,200
PPC,2023-09-20 06:00:00,11.42,11.46,11.38,11.38,11500
PPC,2023-09-20 07:00:00,11.42,11.42,11.38,11.42,21500
PPC,2023-09-21 03:00:00,11.38,11.42,11.38,11.42,13000
PPC,2023-09-21 04:00:00,11.42,11.42,11.38,11.38,2200
PPC,2023-09-21 06:00:00,11.38,11.46,11.38,11.38,16600
PPC,2023-09-21 07:00:00,11.38,11.42,11.35,11.35,24400
PPC,2023-09-22 03:00:00,11.23,11.23,11.07,11.07,88700
PPC,2023-09-22 04:00:00,11.07,11.11,10.95,11.11,74300
PPC,2023-09-22 06:00:00,11.07,11.11,11.03,11.11,29800
PPC,2023-09-22 07:00:00,11.11,11.15,11.07,11.15,8200
PPC,2023-09-25 03:00:00,11.07,11.15,11.07,11.15,26000
PPC,2023-09-25 04:00:00,11.15,11.15,11.07,11.07,1500
PPC,2023-09-25 06:00:00,11.07,11.07,11.03,11.03,27700
PPC,2023-09-25 07:00:00,11.07,11.07,10.95,10.95,76800
PPC,2023-09-26 03:00:00,10.91,10.91,10.91,10.91,48900
PPC,2023-09-26 04:00:00,10.91,10.95,10.88,10.88,21300
PPC,2023-09-26 06:00:00,10.88,10.91,10.8,10.8,29800
PPC,2023-09-26 07:00:00,10.88,10.88,10.76,10.8,21700
PPC,2023-09-27 03:00:00,10.8,10.88,10.8,10.8,28600
PPC,2023-09-27 04:00:00,10.8,10.8,10.76,10.76,20700
PPC,2023-09-27 06:00:00,10.76,10.8,10.76,10.76,11800
PPC,2023-09-27 07:00:00,10.76,10.8,10.76,10.76,26100
PPC,2023-09-28 03:00:00,10.95,10.95,10.91,10.91,20500
PPC,2023-09-28 04:00:00,10.91,10.91,10.91,10.91,5100
PPC,2023-09-28 06:00:00,10.91,10.95,10.91,10.95,3300
PPC,2023-09-28 07:00:00,10.95,10.95,10.88,10.88,28000
PPC,2023-09-29 03:00:00,10.95,10.95,10.88,10.95,39300
PPC,2023-09-29 04:00:00,10.95,10.95,10.91,10.91,600
PPC,2023-09-29 06:00:00,10.95,10.95,10.88,10.95,11100
PPC,2023-09-29 07:00:00,10.95,10.95,10.91,10.91,6900
PPC,2023-10-02 03:00:00,10.91,10.95,10.88,10.95,29000
PPC,2023-10-02 04:00:00,10.99,10.99,10.95,10.95,700
PPC,2023-10-02 06:00:00,10.95,10.95,10.91,10.91,4400
PPC,2023-10-02 07:00:00,10.91,10.99,10.91,10.99,6900
PPC,2023-10-03 03:00:00,10.99,10.99,10.95,10.95,22800
PPC,2023-10-03 04:00:00,10.95,10.95,10.91,10.91,16400
PPC,2023-10-03 06:00:00,10.91,10.95,10.91,10.95,9600
PPC,2023-10-03 07:00:00,10.95,10.95,10.91,10.95,5300
PPC,2023-10-04 03:00:00,10.88,10.91,10.88,10.91,21300
PPC,2023-10-04 04:00:00,10.91,10.91,10.91,10.91,1800
PPC,2023-10-04 06:00:00,10.91,10.95,10.88,10.95,6100
PPC,2023-10-04 07:00:00,10.95,10.95,10.91,10.95,9200
PPC,2023-10-05 03:00:00,10.91,10.91,10.88,10.88,22500
PPC,2023-10-05 04:00:00,10.88,10.88,10.88,10.88,1900
PPC,2023-10-05 06:00:00,10.88,10.88,10.8,10.8,14000
PPC,2023-10-05 07:00:00,10.84,10.84,10.8,10.84,27700
PPC,2023-10-06 03:00:00,10.84,10.84,10.76,10.76,24400
PPC,2023-10-06 04:00:00,10.76,10.76,10.72,10.72,2600
PPC,2023-10-06 06:00:00,10.68,10.76,10.64,10.72,52300
PPC,2023-10-06 07:00:00,10.72,10.8,10.72,10.8,11300
PPC,2023-10-09 03:00:00,10.88,10.91,10.88,10.91,29600
PPC,2023-10-09 04:00:00,10.91,10.95,10.91,10.95,800
PPC,2023-10-09 06:00:00,10.91,10.95,10.91,10.91,13100
PPC,2023-10-09 07:00:00,10.91,11.03,10.91,10.99,10000
PPC,2023-10-10 03:00:00,11.03,11.03,10.88,10.99,41200
PPC,2023-10-10 04:00:00,10.99,10.99,10.99,10.99,2000
PPC,2023-10-10 06:00:00,10.95,10.99,10.95,10.99,4600
PPC,2023-10-10 07:00:00,10.95,10.99,10.91,10.91,3200
PPC,2023-10-11 03:00:00,10.95,10.99,10.95,10.99,16700
PPC,2023-10-11 04:00:00,10.95,10.99,10.95,10.99,2400
PPC,2023-10-11 06:00:00,10.99,10.99,10.95,10.95,20700
PPC,2023-10-11 07:00:00,10.99,10.99,10.95,10.99,11800
PPC,2023-10-12 03:00:00,10.99,11.03,10.99,10.99,9900
PPC,2023-10-12 04:00:00,10.99,10.99,10.99,10.99,2000
PPC,2023-10-12 06:00:00,11.03,11.07,10.99,10.99,9500
PPC,2023-10-12 07:00:00,10.99,10.99,10.99,10.99,9500
PPC,2023-10-13 03:00:00,10.95,10.99,10.95,10.99,6900
PPC,2023-10-13 04:00:00,10.99,10.99,10.99,10.99,400
PPC,2023-10-13 06:00:00,10.99,10.99,10.95,10.95,21800
PPC,2023-10-13 07:00:00,11.03,11.07,11.03,11.07,11000
PPC,2023-10-16 03:00:00,11.07,11.07,10.99,10.99,21900
PPC,2023-10-16 04:00:00,11.07,11.07,11.03,11.03,2900
PPC,2023-10-16 06:00:00,11.03,11.07,11.03,11.03,14400
PPC,2023-10-16 07:00:00,11.03,11.03,10.99,10.99,156900
PPC,2023-10-17 03:00:00,11.07,11.07,11.03,11.03,54000
PPC,2023-10-17 04:00:00,11.11,11.15,11.11,11.15,15700
PPC,2023-10-17 06:00:00,11.15,11.19,11.15,11.19,12000
PPC,2023-10-17 07:00:00,11.19,11.19,11.11,11.11,5500
PPC,2023-10-18 03:00:00,11.11,11.11,11.03,11.07,20100
PPC,2023-10-18 04:00:00,11.07,11.07,11.07,11.07,500
PPC,2023-10-18 06:00:00,11.07,11.07,11.07,11.07,14100
PPC,2023-10-18 07:00:00,11.03,11.07,10.95,10.95,23300
PPC,2023-10-19 03:00:00,10.95,10.95,10.71,10.75,169100
PPC,2023-10-19 04:00:00,10.75,10.75,10.71,10.75,1100
PPC,2023-10-19 06:00:00,10.75,10.79,10.75,10.79,25900
PPC,2023-10-19 07:00:00,10.79,10.79,10.75,10.79,8500
PPC,2023-10-20 03:00:00,10.79,10.79,10.67,10.67,48500
PPC,2023-10-20 06:00:00,10.67,10.79,10.59,10.59,23600
PPC,2023-10-20 07:00:00,10.59,10.79,10.59,10.79,38500
PPC,2023-10-23 03:00:00,10.79,10.79,10.71,10.71,9400
PPC,2023-10-23 04:00:00,10.71,10.75,10.71,10.75,300
PPC,2023-10-23 06:00:00,10.79,10.79,10.71,10.79,11100
PPC,2023-10-23 07:00:00,10.79,10.79,10.75,10.75,12200
PPC,2023-10-24 03:00:00,10.63,10.63,10.63,10.63,34300
PPC,2023-10-24 04:00:00,10.63,10.63,10.63,10.63,4700
PPC,2023-10-24 06:00:00,10.63,10.75,10.59,10.63,9100
PPC,2023-10-24 07:00:00,10.75,10.75,10.59,10.75,7100
PPC,2023-10-25 03:00:00,10.75,10.75,10.71,10.75,5500
PPC,2023-10-25 04:00:00,10.75,10.75,10.75,10.75,100
PPC,2023-10-25 06:00:00,10.75,10.79,10.75,10.79,6400
PPC,2023-10-25 07:00:00,10.79,10.79,10.75,10.75,2700
PPC,2023-10-26 03:00:00,10.55,10.67,10.43,10.51,97100
PPC,2023-10-26 04:00:00,10.47,10.47,10.03,10.03,199900
PPC,2023-10-26 06:00:00,10.03,10.03,10.03,10.03,184800
PPC,2023-10-26 07:00:00,10.03,10.03,10.03,10.03,163700
PPC,2023-10-27 03:00:00,10.15,10.15,9.91,9.91,39900
PPC,2023-10-27 04:00:00,9.91,10.07,9.91,10.07,2100
PPC,2023-10-27 06:00:00,10.07,10.07,9.91,9.99,9300
PPC,2023-10-27 07:00:00,10.03,10.11,10.03,10.03,9200
PPC,2023-10-30 03:00:00,10.23,10.23,10.15,10.19,23600
PPC,2023-10-30 04:00:00,10.19,10.23,10.19,10.23,3900
PPC,2023-10-30 06:00:00,10.23,10.23,10.19,10.19,3800
PPC,2023-10-30 07:00:00,10.15,10.15,10.11,10.11,18300
PPC,2023-10-31 03:00:00,10.15,10.15,10.11,10.11,35300
PPC,2023-10-31 04:00:00,10.11,10.11,10.11,10.11,900
PPC,2023-10-31 06:00:00,10.07,10.11,10.03,10.07,10000
PPC,2023-10-31 07:00:00,10.07,10.11,10.07,10.11,5300
PPC,2023-11-01 03:00:00,10.15,10.15,10.07,10.07,20300
PPC,2023-11-01 04:00:00,10.07,10.07,10.07,10.07,1800
PPC,2023-11-01 06:00:00,10.07,10.07,10.03,10.07,5200
PPC,2023-11-01 07:00:00,10.07,10.07,10.03,10.03,18200
PPC,2023-11-02 03:00:00,10.27,10.31,10.27,10.31,52200
PPC,2023-11-02 04:00:00,10.23,10.23,10.19,10.19,1200
PPC,2023-11-02 06:00:00,10.23,10.31,10.15,10.31,13400
PPC,2023-11-02 07:00:00,10.31,10.35,10.31,10.35,11100
PPC,2023-11-03 03:00:00,10.23,10.31,10.23,10.31,18900
PPC,2023-11-03 04:00:00,10.31,10.31,10.27,10.31,4500
PPC,2023-11-03 06:00:00,10.27,10.31,10.27,10.31,3700
PPC,2023-11-03 07:00:00,10.35,10.35,10.35,10.35,800
PPC,2023-11-06 03:00:00,10.43,10.43,10.39,10.39,64100
PPC,2023-11-06 04:00:00,10.39,10.39,10.39,10.39,1600
PPC,2023-11-06 06:00:00,10.39,10.43,10.39,10.39,11700
PPC,2023-11-06 07:00:00,10.39,10.43,10.39,10.43,12600
PPC,2023-11-07 03:00:00,10.47,10.47,10.39,10.39,18100
PPC,2023-11-07 04:00:00,10.39,10.43,10.39,10.43,1600
PPC,2023-11-07 06:00:00,10.39,10.43,10.39,10.39,7800
PPC,2023-11-07 07:00:00,10.39,10.43,10.39,10.43,3900
PPC,2023-11-08 03:00:00,10.31,10.43,10.31,10.43,13800
PPC,2023-11-08 04:00:00,10.39,10.39,10.39,10.39,900
PPC,2023-11-08 06:00:00,10.39,10.39,10.39,10.39,2200
PPC,2023-11-08 07:00:00,10.35,10.79,10.35,10.79,37900
PPC,2023-11-09 03:00:00,10.67,10.75,10.67,10.75,24600
PPC,2023-11-09 04:00:00,10.75,10.83,10.75,10.83,17400
PPC,2023-11-09 06:00:00,10.83,10.83,10.71,10.79,14000
PPC,2023-11-09 07:00:00,10.79,10.79,10.71,10.71,2600
PPC,2023-11-10 03:00:00,10.83,10.83,10.79,10.79,69100
PPC,2023-11-10 04:00:00,10.79,10.79,10.79,10.79,2000
PPC,2023-11-10 06:00:00,10.75,10.79,10.75,10.79,2700
PPC,2023-11-10 07:00:00,10.79,10.79,10.75,10.75,8600
PPC,2023-11-13 03:00:00,10.91,10.91,10.87,10.87,5600
PPC,2023-11-13 04:00:00,10.87,10.87,10.87,10.87,2400
PPC,2023-11-13 06:00:00,10.83,10.87,10.75,10.79,14800
PPC,2023-11-13 07:00:00,10.79,10.87,10.79,10.83,13600
PPC,2023-11-14 03:00:00,10.95,10.95,10.79,10.87,17700
PPC,2023-11-14 04:00:00,10.79,10.87,10.79,10.87,2300
PPC,2023-11-14 06:00:00,10.79,10.79,10.71,10.71,11700
PPC,2023-11-14 07:00:00,10.71,10.75,10.71,10.71,2600
PPC,2023-11-15 03:00:00,10.79,10.83,10.79,10.83,12500
PPC,2023-11-15 04:00:00,10.79,10.79,10.75,10.75,4900
PPC,2023-11-15 06:00:00,10.75,10.79,10.75,10.79,6300
PPC,2023-11-15 07:00:00,10.87,10.87,10.83,10.83,1900
PPC,2023-11-16 03:00:00,10.83,10.83,10.79,10.79,3500
PPC,2023-11-16 04:00:00,10.75,10.75,10.75,10.75,2500
PPC,2023-11-16 06:00:00,10.75,10.75,10.71,10.75,1800
PPC,2023-11-16 07:00:00,10.75,10.83,10.75,10.83,1300
PPC,2023-11-17 03:00:00,10.71,10.83,10.71,10.83,23400
PPC,2023-11-17 04:00:00,10.71,10.71,10.71,10.71,3000
PPC,2023-11-17 06:00:00,10.71,10.75,10.67,10.67,7800
PPC,2023-11-17 07:00:00,10.71,10.83,10.71,10.83,5500
PPC,2023-11-20 03:00:00,10.87,10.87,10.87,10.87,22800
PPC,2023-11-20 04:00:00,10.71,10.71,10.71,10.71,1400
PPC,2023-11-20 06:00:00,10.79,10.79,10.71,10.79,5400
PPC,2023-11-20 07:00:00,10.79,10.83,10.71,10.79,8100
PPC,2023-11-21 03:00:00,10.71,10.79,10.67,10.67,86000
PPC,2023-11-21 04:00:00,10.71,10.71,10.71,10.71,9200
PPC,2023-11-21 06:00:00,10.71,10.71,10.67,10.71,4300
PPC,2023-11-21 07:00:00,10.75,10.75,10.71,10.71,10600
PPC,2023-11-22 03:00:00,10.79,10.79,10.71,10.75,8200
PPC,2023-11-22 04:00:00,10.75,10.75,10.71,10.71,3100
PPC,2023-11-22 06:00:00,10.71,10.75,10.63,10.63,9800
PPC,2023-11-22 07:00:00,10.71,10.71,10.63,10.63,10500
PPC,2023-11-23 03:00:00,10.67,10.67,10.63,10.63,18400
PPC,2023-11-23 04:00:00,10.63,10.63,10.63,10.63,300
PPC,2023-11-23 06:00:00,10.63,10.67,10.59,10.59,7800
PPC,2023-11-23 07:00:00,10.59,10.63,10.55,10.55,14500
PPC,2023-11-24 03:00:00,10.55,10.59,10.55,10.59,3700
PPC,2023-11-24 04:00:00,10.55,10.55,10.51,10.51,5300
PPC,2023-11-24 06:00:00,10.51,10.55,10.47,10.55,15200
PPC,2023-11-24 07:00:00,10.55,10.55,10.47,10.55,12900
PPC,2023-11-27 03:00:00,10.63,10.71,10.63,10.63,51600
PPC,2023-11-27 04:00:00,10.63,10.71,10.63,10.71,4000
PPC,2023-11-27 06:00:00,10.71,10.71,10.63,10.63,5400
PPC,2023-11-27 07:00:00,10.67,10.71,10.59,10.71,25200
PPC,2023-11-28 03:00:00,10.99,10.99,10.87,10.87,92400
PPC,2023-11-28 04:00:00,10.87,10.87,10.87,10.87,5600
PPC,2023-11-28 06:00:00,10.87,10.91,10.87,10.87,55300
PPC,2023-11-28 07:00:00,10.87,10.91,10.83,10.91,2000
PPC,2023-11-29 03:00:00,10.99,10.99,10.91,10.95,33300
PPC,2023-11-29 04:00:00,10.95,10.95,10.95,10.95,1000
PPC,2023-11-29 06:00:00,10.95,11.03,10.95,11.03,23300
PPC,2023-11-29 07:00:00,11.03,11.07,10.99,11.03,20900
PPC,2023-11-30 03:00:00,11.36,11.36,11.19,11.19,119700
PPC,2023-11-30 04:00:00,11.19,11.23,11.19,11.23,12300
PPC,2023-11-30 06:00:00,11.28,11.32,11.23,11.28,65300
PPC,2023-11-30 07:00:00,11.28,11.28,11.28,11.28,17200
PPC,2023-12-01 03:00:00,11.48,11.56,11.48,11.56,164400
PPC,2023-12-01 04:00:00,11.56,11.56,11.52,11.52,20100
PPC,2023-12-01 06:00:00,11.52,11.56,11.48,11.56,40400
PPC,2023-12-01 07:00:00,11.56,11.6,11.56,11.6,80900
PPC,2023-12-04 03:00:00,11.8,11.84,11.8,11.84,127000
PPC,2023-12-04 04:00:00,11.84,11.84,11.84,11.84,20200
PPC,2023-12-04 06:00:00,11.88,11.96,11.84,11.96,75600
PPC,2023-12-04 07:00:00,11.96,12.0,11.96,12.0,42300
PPC,2023-12-05 03:00:00,11.92,12.0,11.84,11.84,159600
PPC,2023-12-05 04:00:00,11.92,11.92,11.84,11.84,3500
PPC,2023-12-05 06:00:00,11.84,11.92,11.8,11.88,78600
PPC,2023-12-05 07:00:00,11.88,11.88,11.8,11.88,21100
PPC,2023-12-06 03:00:00,11.88,11.92,11.88,11.92,44700
PPC,2023-12-06 04:00:00,11.92,11.92,11.88,11.88,13900
PPC,2023-12-06 06:00:00,11.84,11.88,11.8,11.84,14600
PPC,2023-12-06 07:00:00,11.84,11.96,11.84,11.92,47100
PPC,2023-12-07 03:00:00,11.84,11.84,11.68,11.68,89400
PPC,2023-12-07 04:00:00,11.72,11.72,11.68,11.68,8500
PPC,2023-12-07 06:00:00,11.68,11.72,11.68,11.68,34900
PPC,2023-12-07 07:00:00,11.76,11.8,11.68,11.8,17100
PPC,2023-12-08 03:00:00,11.68,11.8,11.68,11.8,28100
PPC,2023-12-08 04:00:00,11.76,11.76,11.76,11.76,400
PPC,2023-12-08 06:00:00,11.76,11.76,11.68,11.72,20400
PPC,2023-12-08 07:00:00,11.72,11.76,11.72,11.76,9000
PPC,2023-12-11 03:00:00,11.68,11.68,11.68,11.68,27000
PPC,2023-12-11 04:00:00,11.68,11.68,11.68,11.68,15700
PPC,2023-12-11 06:00:00,11.68,11.68,11.68,11.68,15400
PPC,2023-12-11 07:00:00,11.68,11.76,11.68,11.76,6900
