ticker,time,open,high,low,close,volume
SZC,2023-09-11 03:00:00,32.01,32.01,31.85,31.89,484600
SZC,2023-09-11 04:00:00,31.85,31.89,31.41,31.77,204400
SZC,2023-09-11 06:00:00,31.77,31.77,31.29,31.37,553300
SZC,2023-09-11 07:00:00,31.37,31.53,30.81,30.81,617000
SZC,2023-09-12 03:00:00,30.97,31.29,30.89,31.29,614400
SZC,2023-09-12 04:00:00,31.33,31.61,31.21,31.21,82300
SZC,2023-09-12 06:00:00,31.21,31.41,30.93,31.33,221900
SZC,2023-09-12 07:00:00,31.37,31.65,31.25,31.65,248300
SZC,2023-09-13 03:00:00,31.97,32.01,31.85,31.93,549800
SZC,2023-09-13 04:00:00,31.89,32.01,31.89,31.93,92100
SZC,2023-09-13 06:00:00,31.93,32.17,31.69,32.01,458100
SZC,2023-09-13 07:00:00,31.93,31.97,31.21,31.45,446900
SZC,2023-09-14 03:00:00,31.29,31.33,30.81,30.97,390100
SZC,2023-09-14 04:00:00,30.97,30.97,30.81,30.81,160800
SZC,2023-09-14 06:00:00,30.89,31.05,30.53,30.89,430500
SZC,2023-09-14 07:00:00,30.89,31.37,30.53,30.53,340700
SZC,2023-09-15 03:00:00,31.01,31.05,30.73,30.73,222800
SZC,2023-09-15 04:00:00,30.73,30.73,30.41,30.49,143100
SZC,2023-09-15 06:00:00,30.49,31.17,30.37,31.13,853500
SZC,2023-09-15 07:00:00,31.13,31.25,30.85,31.25,334300
SZC,2023-09-18 03:00:00,31.89,31.93,31.61,31.77,644400
SZC,2023-09-18 04:00:00,31.77,31.89,31.65,31.65,125000
SZC,2023-09-18 06:00:00,31.65,31.77,31.25,31.37,452400
SZC,2023-09-18 07:00:00,31.37,31.49,31.01,31.21,311000
SZC,2023-09-19 03:00:00,31.21,31.21,30.53,30.65,326100
SZC,2023-09-19 04:00:00,30.69,30.69,30.05,30.65,327200
SZC,2023-09-19 06:00:00,30.65,31.01,30.25,30.73,263200
SZC,2023-09-19 07:00:00,30.73,30.97,30.37,30.93,311500
SZC,2023-09-20 03:00:00,31.25,32.21,31.21,31.93,1300900
SZC,2023-09-20 04:00:00,31.93,32.01,31.85,31.97,125900
SZC,2023-09-20 06:00:00,31.97,32.01,31.73,31.97,427200
SZC,2023-09-20 07:00:00,31.97,32.17,31.89,32.17,404100
SZC,2023-09-21 03:00:00,32.01,32.33,32.01,32.17,580500
SZC,2023-09-21 04:00:00,32.17,32.21,32.13,32.17,38200
SZC,2023-09-21 06:00:00,32.17,33.21,32.01,32.89,941000
SZC,2023-09-21 07:00:00,32.89,32.97,32.21,32.45,335700
SZC,2023-09-22 03:00:00,31.93,32.01,30.57,30.89,1043500
SZC,2023-09-22 04:00:00,30.89,31.61,30.85,31.05,120900
SZC,2023-09-22 06:00:00,30.97,31.49,30.85,31.41,448700
SZC,2023-09-22 07:00:00,31.45,31.69,30.93,30.93,363200
SZC,2023-09-25 03:00:00,30.97,31.53,30.73,31.33,400000
SZC,2023-09-25 04:00:00,31.33,31.33,31.25,31.29,45400
SZC,2023-09-25 06:00:00,31.29,31.29,30.53,30.81,474600
SZC,2023-09-25 07:00:00,30.81,30.81,28.77,28.77,1588500
SZC,2023-09-26 03:00:00,28.41,29.17,28.41,28.81,877100
SZC,2023-09-26 04:00:00,28.81,28.89,28.57,28.57,51100
SZC,2023-09-26 06:00:00,28.57,29.61,28.37,29.53,554200
SZC,2023-09-26 07:00:00,29.53,29.53,27.21,27.21,781600
SZC,2023-09-27 03:00:00,27.29,27.53,27.21,27.29,354900
SZC,2023-09-27 04:00:00,27.29,27.29,27.13,27.29,140300
SZC,2023-09-27 06:00:00,27.29,28.17,27.21,28.01,404200
SZC,2023-09-27 07:00:00,28.01,28.65,27.89,28.65,279500
SZC,2023-09-28 03:00:00,28.65,28.73,28.21,28.49,277800
SZC,2023-09-28 04:00:00,28.49,28.53,28.33,28.45,41700
SZC,2023-09-28 06:00:00,28.45,28.65,28.01,28.61,271200
SZC,2023-09-28 07:00:00,28.57,28.65,28.25,28.37,179200
SZC,2023-09-29 03:00:00,28.81,29.01,28.69,28.69,406700
SZC,2023-09-29 04:00:00,28.73,28.73,28.57,28.57,56900
SZC,2023-09-29 06:00:00,28.57,28.89,28.53,28.77,192400
SZC,2023-09-29 07:00:00,28.77,28.97,28.29,28.29,321200
SZC,2023-10-02 03:00:00,28.73,29.13,28.69,28.81,334800
SZC,2023-10-02 04:00:00,28.85,29.01,28.85,29.01,33500
SZC,2023-10-02 06:00:00,29.05,29.33,28.85,28.89,280700
SZC,2023-10-02 07:00:00,28.89,29.37,28.89,28.93,157900
SZC,2023-10-03 03:00:00,28.57,28.89,27.61,27.61,665800
SZC,2023-10-03 04:00:00,27.61,28.21,26.97,27.57,406500
SZC,2023-10-03 06:00:00,27.85,28.13,27.21,28.01,345900
SZC,2023-10-03 07:00:00,28.01,28.05,26.97,27.25,661700
SZC,2023-10-04 03:00:00,27.33,27.81,27.25,27.53,315800
SZC,2023-10-04 04:00:00,27.61,27.61,27.21,27.53,73000
SZC,2023-10-04 06:00:00,27.53,28.05,27.41,27.97,341000
SZC,2023-10-04 07:00:00,28.01,28.33,27.61,27.85,197100
SZC,2023-10-05 03:00:00,28.41,29.09,28.13,28.97,535900
SZC,2023-10-05 04:00:00,28.97,29.53,28.93,29.17,247100
SZC,2023-10-05 06:00:00,29.17,29.17,28.85,28.97,445700
SZC,2023-10-05 07:00:00,28.97,29.05,28.49,28.49,734400
SZC,2023-10-06 03:00:00,28.73,28.73,28.29,28.69,285000
SZC,2023-10-06 04:00:00,28.69,28.69,28.53,28.57,173200
SZC,2023-10-06 06:00:00,28.61,29.05,28.57,29.01,415700
SZC,2023-10-06 07:00:00,29.01,29.25,29.01,29.17,246500
SZC,2023-10-09 03:00:00,29.33,29.85,29.29,29.53,514800
SZC,2023-10-09 04:00:00,29.53,29.69,29.53,29.61,60100
SZC,2023-10-09 06:00:00,29.61,29.73,29.45,29.65,483000
SZC,2023-10-09 07:00:00,29.61,29.81,29.61,29.69,251100
SZC,2023-10-10 03:00:00,30.41,30.53,30.33,30.49,780900
SZC,2023-10-10 04:00:00,30.49,30.53,30.45,30.45,81900
SZC,2023-10-10 06:00:00,30.45,30.49,30.17,30.33,507000
