ticker,time,open,high,low,close,volume
BIC,2023-09-11 02:15:00,26.36,26.36,26.36,26.36,1000
BIC,2023-09-11 02:16:00,26.23,26.23,26.23,26.23,2000
BIC,2023-09-11 02:20:00,26.23,26.23,26.23,26.23,1000
BIC,2023-09-11 02:22:00,26.23,26.23,26.23,26.23,2000
BIC,2023-09-11 02:32:00,26.23,26.23,26.23,26.23,100
BIC,2023-09-11 02:35:00,26.18,26.18,26.18,26.18,300
BIC,2023-09-11 02:38:00,26.18,26.18,26.14,26.14,1100
BIC,2023-09-11 02:40:00,26.09,26.09,26.09,26.09,600
BIC,2023-09-11 02:41:00,26.09,26.09,26.09,26.09,200
BIC,2023-09-11 02:42:00,26.18,26.18,26.18,26.18,1000
BIC,2023-09-11 02:43:00,26.18,26.18,26.18,26.18,1000
BIC,2023-09-11 02:59:00,26.18,26.18,26.18,26.18,1600
BIC,2023-09-11 03:03:00,26.09,26.09,26.09,26.09,1000
BIC,2023-09-11 03:05:00,26.09,26.09,26.09,26.09,2900
BIC,2023-09-11 03:08:00,26.04,26.04,26.04,26.04,100
BIC,2023-09-11 03:09:00,26.04,26.04,26.04,26.04,400
BIC,2023-09-11 03:10:00,26.04,26.04,26.04,26.04,100
BIC,2023-09-11 03:16:00,26.18,26.18,26.18,26.18,2000
BIC,2023-09-11 03:17:00,26.18,26.18,26.18,26.18,3000
BIC,2023-09-11 03:20:00,26.18,26.18,26.18,26.18,3700
BIC,2023-09-11 03:21:00,26.0,26.0,25.95,25.95,2200
BIC,2023-09-11 03:22:00,25.95,25.95,25.95,25.95,2600
BIC,2023-09-11 03:23:00,25.95,25.95,25.95,25.95,2400
BIC,2023-09-11 03:24:00,25.95,25.95,25.95,25.95,100
BIC,2023-09-11 03:25:00,25.95,25.95,25.95,25.95,900
BIC,2023-09-11 03:43:00,25.95,25.95,25.95,25.95,6300
BIC,2023-09-11 03:53:00,26.04,26.04,26.04,26.04,5000
BIC,2023-09-11 04:04:00,26.14,26.14,26.14,26.14,100
BIC,2023-09-11 04:05:00,26.14,26.14,26.14,26.14,2000
BIC,2023-09-11 04:06:00,26.14,26.14,26.14,26.14,200
BIC,2023-09-11 04:08:00,26.09,26.09,26.09,26.09,300
BIC,2023-09-11 04:11:00,26.09,26.09,26.09,26.09,1200
BIC,2023-09-11 04:12:00,26.09,26.09,26.09,26.09,2000
BIC,2023-09-11 04:14:00,26.09,26.09,26.04,26.04,3400
BIC,2023-09-11 04:15:00,26.0,26.0,26.0,26.0,1800
BIC,2023-09-11 04:19:00,26.04,26.04,26.04,26.04,100
BIC,2023-09-11 04:21:00,26.04,26.04,26.04,26.04,600
BIC,2023-09-11 04:29:00,26.09,26.09,26.09,26.09,100
BIC,2023-09-11 06:00:00,26.0,26.0,26.0,26.0,500
BIC,2023-09-11 06:02:00,26.0,26.0,26.0,26.0,100
BIC,2023-09-11 06:04:00,26.04,26.04,26.04,26.04,700
BIC,2023-09-11 06:06:00,26.04,26.04,26.04,26.04,1300
BIC,2023-09-11 06:07:00,26.04,26.04,26.04,26.04,600
BIC,2023-09-11 06:08:00,26.04,26.04,26.04,26.04,300
BIC,2023-09-11 06:10:00,26.04,26.04,26.04,26.04,100
BIC,2023-09-11 06:12:00,26.04,26.04,26.0,26.0,4400
BIC,2023-09-11 06:13:00,26.0,26.0,26.0,26.0,100
BIC,2023-09-11 06:15:00,26.0,26.04,26.0,26.04,5700
BIC,2023-09-11 06:16:00,26.04,26.04,25.95,25.95,4200
BIC,2023-09-11 06:18:00,26.04,26.04,26.04,26.04,1000
BIC,2023-09-11 06:19:00,26.04,26.04,26.04,26.04,8300
BIC,2023-09-11 06:20:00,25.95,25.95,25.95,25.95,100
BIC,2023-09-11 06:21:00,25.95,25.95,25.95,25.95,1600
BIC,2023-09-11 06:22:00,25.95,25.95,25.91,25.91,5300
BIC,2023-09-11 06:24:00,25.91,25.91,25.91,25.91,3100
BIC,2023-09-11 06:25:00,25.91,25.91,25.91,25.91,300
BIC,2023-09-11 06:27:00,25.91,25.91,25.91,25.91,300
BIC,2023-09-11 06:28:00,25.91,25.91,25.91,25.91,200
BIC,2023-09-11 06:29:00,25.91,25.91,25.91,25.91,500
BIC,2023-09-11 06:30:00,25.91,25.91,25.91,25.91,200
BIC,2023-09-11 06:31:00,25.91,25.91,25.91,25.91,500
BIC,2023-09-11 06:32:00,25.91,26.04,25.91,26.04,3200
BIC,2023-09-11 06:35:00,26.04,26.04,26.04,26.04,2700
BIC,2023-09-11 06:36:00,26.04,26.04,26.04,26.04,7400
BIC,2023-09-11 06:39:00,26.04,26.04,26.04,26.04,200
BIC,2023-09-11 06:42:00,26.04,26.04,25.91,25.91,500
BIC,2023-09-11 06:43:00,25.91,25.91,25.91,25.91,200
BIC,2023-09-11 06:44:00,25.91,25.91,25.91,25.91,400
BIC,2023-09-11 06:45:00,25.91,25.91,25.91,25.91,2000
BIC,2023-09-11 06:46:00,25.91,25.91,25.86,25.86,700
BIC,2023-09-11 06:49:00,25.86,25.86,25.86,25.86,500
BIC,2023-09-11 06:51:00,25.91,25.91,25.91,25.91,1800
BIC,2023-09-11 06:55:00,25.91,25.91,25.91,25.91,4500
BIC,2023-09-11 06:56:00,25.91,25.91,25.91,25.91,900
BIC,2023-09-11 06:59:00,25.91,25.91,25.91,25.91,900
BIC,2023-09-11 07:04:00,25.86,25.86,25.86,25.86,4800
BIC,2023-09-11 07:05:00,25.86,25.86,25.82,25.82,10500
BIC,2023-09-11 07:06:00,25.82,25.82,25.82,25.82,100
BIC,2023-09-11 07:07:00,25.82,25.82,25.77,25.77,1900
BIC,2023-09-11 07:08:00,25.73,25.73,25.73,25.73,200
BIC,2023-09-11 07:09:00,25.73,25.73,25.73,25.73,2600
BIC,2023-09-11 07:10:00,25.73,25.73,25.73,25.73,400
BIC,2023-09-11 07:12:00,25.73,25.73,25.73,25.73,2500
