ticker,time,open,high,low,close,volume
NVL,2023-10-02 02:15:00,15.6,15.7,15.6,15.65,107300
NVL,2023-10-02 02:16:00,15.65,15.7,15.65,15.65,81500
NVL,2023-10-02 02:17:00,15.7,15.7,15.65,15.7,56900
NVL,2023-10-02 02:18:00,15.7,15.7,15.6,15.65,75000
NVL,2023-10-02 02:19:00,15.65,15.65,15.6,15.6,85300
NVL,2023-10-02 02:20:00,15.6,15.6,15.5,15.5,231300
NVL,2023-10-02 02:21:00,15.5,15.55,15.45,15.45,35200
NVL,2023-10-02 02:22:00,15.45,15.45,15.4,15.4,167500
NVL,2023-10-02 02:23:00,15.4,15.4,15.3,15.3,158400
NVL,2023-10-02 02:24:00,15.35,15.4,15.3,15.4,104000
NVL,2023-10-02 02:25:00,15.4,15.4,15.35,15.4,62700
NVL,2023-10-02 02:26:00,15.4,15.45,15.4,15.45,57400
NVL,2023-10-02 02:27:00,15.45,15.45,15.4,15.4,20100
NVL,2023-10-02 02:28:00,15.45,15.45,15.4,15.45,141900
NVL,2023-10-02 02:29:00,15.45,15.5,15.45,15.5,24100
NVL,2023-10-02 02:30:00,15.5,15.5,15.45,15.5,52700
NVL,2023-10-02 02:31:00,15.45,15.5,15.45,15.5,20900
NVL,2023-10-02 02:32:00,15.5,15.5,15.45,15.5,19500
NVL,2023-10-02 02:33:00,15.5,15.5,15.45,15.5,15200
NVL,2023-10-02 02:34:00,15.5,15.5,15.45,15.5,63600
NVL,2023-10-02 02:35:00,15.5,15.55,15.5,15.55,36200
NVL,2023-10-02 02:36:00,15.55,15.6,15.55,15.6,22300
NVL,2023-10-02 02:37:00,15.6,15.6,15.55,15.6,32900
NVL,2023-10-02 02:38:00,15.6,15.6,15.55,15.55,15600
NVL,2023-10-02 02:39:00,15.55,15.55,15.5,15.55,36000
NVL,2023-10-02 02:40:00,15.55,15.6,15.55,15.6,38100
NVL,2023-10-02 02:41:00,15.6,15.6,15.55,15.6,71700
NVL,2023-10-02 02:42:00,15.6,15.6,15.55,15.55,79000
NVL,2023-10-02 02:43:00,15.5,15.6,15.5,15.55,41400
NVL,2023-10-02 02:44:00,15.55,15.55,15.5,15.55,16400
NVL,2023-10-02 02:45:00,15.55,15.55,15.5,15.55,17700
NVL,2023-10-02 02:46:00,15.55,15.55,15.5,15.5,26900
NVL,2023-10-02 02:47:00,15.5,15.55,15.5,15.55,18600
NVL,2023-10-02 02:48:00,15.5,15.55,15.5,15.5,11000
NVL,2023-10-02 02:49:00,15.5,15.55,15.5,15.55,54400
NVL,2023-10-02 02:50:00,15.55,15.55,15.5,15.55,19600
NVL,2023-10-02 02:51:00,15.55,15.55,15.5,15.5,35400
NVL,2023-10-02 02:52:00,15.5,15.55,15.5,15.5,34100
NVL,2023-10-02 02:53:00,15.55,15.55,15.5,15.55,10700
NVL,2023-10-02 02:54:00,15.55,15.55,15.5,15.5,14200
NVL,2023-10-02 02:55:00,15.5,15.55,15.5,15.55,11500
NVL,2023-10-02 02:56:00,15.55,15.55,15.5,15.55,15400
NVL,2023-10-02 02:57:00,15.55,15.55,15.5,15.55,16900
NVL,2023-10-02 02:58:00,15.55,15.55,15.55,15.55,100200
NVL,2023-10-02 02:59:00,15.55,15.6,15.55,15.6,11300
NVL,2023-10-02 03:00:00,15.6,15.6,15.6,15.6,14400
NVL,2023-10-02 03:01:00,15.55,15.6,15.55,15.6,14200
NVL,2023-10-02 03:02:00,15.6,15.6,15.55,15.6,15100
NVL,2023-10-02 03:03:00,15.6,15.6,15.6,15.6,14500
NVL,2023-10-02 03:04:00,15.55,15.6,15.55,15.6,25100
NVL,2023-10-02 03:05:00,15.6,15.6,15.55,15.55,42000
NVL,2023-10-02 03:06:00,15.6,15.6,15.55,15.6,42300
NVL,2023-10-02 03:07:00,15.6,15.6,15.6,15.6,138400
NVL,2023-10-02 03:08:00,15.6,15.6,15.6,15.6,31400
NVL,2023-10-02 03:09:00,15.6,15.6,15.55,15.55,12300
NVL,2023-10-02 03:10:00,15.55,15.6,15.55,15.6,120100
NVL,2023-10-02 03:11:00,15.6,15.6,15.55,15.6,107100
NVL,2023-10-02 03:12:00,15.55,15.6,15.55,15.6,28600
NVL,2023-10-02 03:13:00,15.6,15.6,15.55,15.55,22400
NVL,2023-10-02 03:14:00,15.55,15.6,15.55,15.55,66700
NVL,2023-10-02 03:15:00,15.55,15.55,15.55,15.55,30500
NVL,2023-10-02 03:16:00,15.55,15.55,15.5,15.55,32000
NVL,2023-10-02 03:17:00,15.5,15.55,15.5,15.5,42300
NVL,2023-10-02 03:18:00,15.5,15.55,15.5,15.5,15200
NVL,2023-10-02 03:19:00,15.55,15.55,15.5,15.55,43000
NVL,2023-10-02 03:20:00,15.55,15.55,15.5,15.55,10600
NVL,2023-10-02 03:21:00,15.5,15.55,15.5,15.5,13300
NVL,2023-10-02 03:22:00,15.5,15.55,15.5,15.55,56500
NVL,2023-10-02 03:23:00,15.55,15.55,15.55,15.55,65900
NVL,2023-10-02 03:24:00,15.55,15.6,15.55,15.55,12900
NVL,2023-10-02 03:25:00,15.55,15.6,15.55,15.6,33400
NVL,2023-10-02 03:26:00,15.55,15.6,15.55,15.6,128200
NVL,2023-10-02 03:27:00,15.6,15.6,15.55,15.6,5300
NVL,2023-10-02 03:28:00,15.6,15.6,15.55,15.55,18400
NVL,2023-10-02 03:29:00,15.55,15.6,15.55,15.6,12000
NVL,2023-10-02 03:30:00,15.6,15.6,15.55,15.6,16200
NVL,2023-10-02 03:31:00,15.6,15.6,15.55,15.6,26800
NVL,2023-10-02 03:32:00,15.6,15.6,15.6,15.6,23100
NVL,2023-10-02 03:33:00,15.6,15.6,15.55,15.6,78100
NVL,2023-10-02 03:34:00,15.6,15.6,15.55,15.55,178200
NVL,2023-10-02 03:35:00,15.6,15.6,15.55,15.55,61800
NVL,2023-10-02 03:36:00,15.55,15.6,15.5,15.55,44700
NVL,2023-10-02 03:37:00,15.55,15.6,15.5,15.55,31600
NVL,2023-10-02 03:38:00,15.55,15.6,15.55,15.6,19000
NVL,2023-10-02 03:39:00,15.6,15.6,15.55,15.55,103400
NVL,2023-10-02 03:40:00,15.55,15.6,15.55,15.55,19500
NVL,2023-10-02 03:41:00,15.55,15.55,15.5,15.55,73200
NVL,2023-10-02 03:42:00,15.55,15.55,15.5,15.55,7400
NVL,2023-10-02 03:43:00,15.55,15.55,15.55,15.55,35400
NVL,2023-10-02 03:44:00,15.55,15.55,15.5,15.55,22600
NVL,2023-10-02 03:45:00,15.55,15.55,15.5,15.5,289100
NVL,2023-10-02 03:46:00,15.55,15.55,15.5,15.5,28000
NVL,2023-10-02 03:47:00,15.5,15.5,15.5,15.5,12100
NVL,2023-10-02 03:48:00,15.5,15.55,15.5,15.5,31000
