ticker,time,open,high,low,close,volume
TTN,2023-10-02 02:18:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 02:20:00,7.11,7.11,7.11,7.11,1500
TTN,2023-10-02 02:36:00,7.02,7.11,7.02,7.11,600
TTN,2023-10-02 02:46:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-02 02:50:00,7.11,7.11,7.11,7.11,1500
TTN,2023-10-02 03:01:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 03:02:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 03:04:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 03:06:00,7.11,7.11,7.11,7.11,2000
TTN,2023-10-02 03:07:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-02 03:08:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 03:12:00,7.11,7.11,7.11,7.11,400
TTN,2023-10-02 03:30:00,7.11,7.11,7.11,7.11,500
TTN,2023-10-02 03:39:00,7.11,7.11,7.11,7.11,1300
TTN,2023-10-02 03:44:00,7.11,7.11,7.11,7.11,300
TTN,2023-10-02 03:49:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-02 03:52:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-02 06:00:00,7.11,7.11,7.11,7.11,300
TTN,2023-10-02 06:07:00,7.11,7.11,7.11,7.11,300
TTN,2023-10-02 06:08:00,7.11,7.11,7.11,7.11,500
TTN,2023-10-02 06:28:00,7.11,7.11,7.11,7.11,700
TTN,2023-10-02 06:35:00,7.11,7.11,7.11,7.11,4800
TTN,2023-10-02 06:51:00,7.11,7.11,7.11,7.11,900
TTN,2023-10-02 06:53:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-02 06:56:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-02 06:57:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-02 07:00:00,7.11,7.11,7.11,7.11,200
TTN,2023-10-02 07:34:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-03 02:29:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-03 02:33:00,7.02,7.02,7.02,7.02,1400
TTN,2023-10-03 02:55:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-03 03:33:00,7.02,7.02,7.02,7.02,3600
TTN,2023-10-03 03:35:00,6.93,6.93,6.93,6.93,1400
TTN,2023-10-03 03:51:00,7.11,7.11,7.11,7.11,22500
TTN,2023-10-03 03:59:00,7.11,7.11,7.11,7.11,2000
TTN,2023-10-03 04:07:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-03 04:14:00,7.11,7.11,7.11,7.11,500
TTN,2023-10-03 04:16:00,7.11,7.11,7.11,7.11,1600
TTN,2023-10-03 04:24:00,7.11,7.11,7.11,7.11,2000
TTN,2023-10-03 04:26:00,7.02,7.02,7.02,7.02,3000
TTN,2023-10-03 04:27:00,7.11,7.11,7.11,7.11,2000
TTN,2023-10-03 06:00:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-03 06:02:00,7.02,7.02,7.02,7.02,500
TTN,2023-10-03 06:05:00,6.93,6.93,6.93,6.93,1000
TTN,2023-10-03 06:06:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-03 06:09:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-03 06:24:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-03 06:25:00,7.02,7.02,7.02,7.02,2600
TTN,2023-10-03 06:33:00,7.02,7.02,7.02,7.02,1000
TTN,2023-10-03 06:34:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-03 06:35:00,7.11,7.11,7.11,7.11,5700
TTN,2023-10-03 06:38:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-03 06:40:00,7.02,7.02,7.02,7.02,300
TTN,2023-10-03 06:41:00,7.02,7.02,7.02,7.02,600
TTN,2023-10-03 06:45:00,7.02,7.02,7.02,7.02,500
TTN,2023-10-03 06:46:00,7.11,7.11,7.11,7.11,20000
TTN,2023-10-03 06:49:00,7.11,7.11,7.11,7.11,5000
TTN,2023-10-03 06:51:00,7.11,7.11,7.11,7.11,5200
TTN,2023-10-03 07:04:00,7.11,7.11,7.11,7.11,5000
TTN,2023-10-03 07:17:00,7.11,7.11,7.11,7.11,200
TTN,2023-10-03 07:48:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-03 07:53:00,7.11,7.11,7.11,7.11,2000
TTN,2023-10-03 07:54:00,7.11,7.11,7.11,7.11,1700
TTN,2023-10-03 07:59:00,7.11,7.11,7.11,7.11,300
TTN,2023-10-04 02:17:00,6.93,6.93,6.93,6.93,500
TTN,2023-10-04 02:41:00,7.11,7.11,7.11,7.11,1000
TTN,2023-10-04 02:53:00,7.11,7.11,7.11,7.11,100
TTN,2023-10-04 02:59:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 03:00:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-04 03:01:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 03:02:00,7.02,7.02,7.02,7.02,1400
TTN,2023-10-04 03:05:00,7.02,7.02,7.02,7.02,2800
TTN,2023-10-04 03:12:00,7.02,7.02,7.02,7.02,500
TTN,2023-10-04 03:13:00,7.02,7.02,7.02,7.02,500
TTN,2023-10-04 03:29:00,7.02,7.02,7.02,7.02,1000
TTN,2023-10-04 03:34:00,7.02,7.02,7.02,7.02,700
TTN,2023-10-04 06:17:00,7.02,7.02,7.02,7.02,400
TTN,2023-10-04 06:35:00,7.02,7.02,7.02,7.02,1000
TTN,2023-10-04 06:54:00,7.02,7.02,7.02,7.02,600
TTN,2023-10-04 07:14:00,7.02,7.02,7.02,7.02,2000
TTN,2023-10-04 07:15:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 07:16:00,7.02,7.02,7.02,7.02,300
TTN,2023-10-04 07:18:00,7.02,7.02,7.02,7.02,1000
TTN,2023-10-04 07:19:00,7.02,7.02,7.02,7.02,2500
TTN,2023-10-04 07:20:00,7.02,7.02,7.02,7.02,4100
TTN,2023-10-04 07:23:00,7.02,7.02,7.02,7.02,1200
TTN,2023-10-04 07:25:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 07:26:00,7.02,7.02,7.02,7.02,1100
TTN,2023-10-04 07:27:00,7.02,7.02,7.02,7.02,3000
TTN,2023-10-04 07:39:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 07:40:00,7.02,7.02,7.02,7.02,100
TTN,2023-10-04 07:49:00,7.02,7.02,7.02,7.02,500
TTN,2023-10-05 02:23:00,7.02,7.02,7.02,7.02,1200
TTN,2023-10-05 02:53:00,7.02,7.02,7.02,7.02,1000
TTN,2023-10-05 02:57:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-05 03:13:00,7.02,7.02,7.02,7.02,200
TTN,2023-10-05 03:50:00,6.93,6.93,6.93,6.93,2000
TTN,2023-10-05 03:59:00,6.93,6.93,6.93,6.93,10600
TTN,2023-10-05 04:05:00,6.93,6.93,6.93,6.93,100
TTN,2023-10-05 04:06:00,6.93,6.93,6.93,6.93,600
TTN,2023-10-05 04:07:00,6.93,6.93,6.84,6.84,1400
TTN,2023-10-05 04:08:00,6.93,6.93,6.93,6.93,500
TTN,2023-10-05 04:10:00,6.93,6.93,6.93,6.93,100
TTN,2023-10-05 04:11:00,6.84,6.84,6.84,6.84,500
TTN,2023-10-05 04:12:00,6.93,6.93,6.93,6.93,100
TTN,2023-10-05 04:13:00,6.93,6.93,6.93,6.93,200
TTN,2023-10-05 04:20:00,6.93,6.93,6.75,6.75,11500
TTN,2023-10-05 04:22:00,6.84,6.84,6.84,6.84,200
TTN,2023-10-05 04:24:00,6.84,6.84,6.84,6.84,100
TTN,2023-10-05 04:25:00,6.84,6.84,6.84,6.84,100
TTN,2023-10-05 04:27:00,6.93,6.93,6.93,6.93,200
TTN,2023-10-05 04:28:00,6.93,6.93,6.93,6.93,100
TTN,2023-10-05 04:29:00,6.93,6.93,6.93,6.93,100
