ticker,time,open,high,low,close,volume
KSB,2023-11-01 02:15:00,17.85,17.85,17.85,17.85,12200
KSB,2023-11-01 02:16:00,17.85,17.85,17.77,17.77,1300
KSB,2023-11-01 02:17:00,17.77,17.77,17.77,17.77,1600
KSB,2023-11-01 02:18:00,17.77,17.77,17.77,17.77,1200
KSB,2023-11-01 02:19:00,17.77,17.77,17.77,17.77,400
KSB,2023-11-01 02:20:00,17.81,17.85,17.81,17.85,5200
KSB,2023-11-01 02:21:00,17.85,17.85,17.85,17.85,4600
KSB,2023-11-01 02:22:00,17.94,17.94,17.85,17.85,5600
KSB,2023-11-01 02:23:00,17.85,17.85,17.81,17.81,7000
KSB,2023-11-01 02:25:00,17.81,17.81,17.77,17.77,1800
KSB,2023-11-01 02:27:00,17.77,17.77,17.77,17.77,400
KSB,2023-11-01 02:28:00,17.69,17.69,17.69,17.69,200
KSB,2023-11-01 02:29:00,17.64,17.64,17.6,17.6,900
KSB,2023-11-01 02:30:00,17.6,17.6,17.6,17.6,2400
KSB,2023-11-01 02:31:00,17.6,17.64,17.52,17.52,7700
KSB,2023-11-01 02:32:00,17.52,17.52,17.52,17.52,3000
KSB,2023-11-01 02:35:00,17.56,17.56,17.56,17.56,16000
KSB,2023-11-01 02:36:00,17.64,17.64,17.64,17.64,1000
KSB,2023-11-01 02:37:00,17.52,17.52,17.52,17.52,800
KSB,2023-11-01 02:38:00,17.52,17.64,17.52,17.64,4600
KSB,2023-11-01 02:39:00,17.64,17.64,17.64,17.64,1000
KSB,2023-11-01 02:40:00,17.64,17.64,17.64,17.64,3700
KSB,2023-11-01 02:41:00,17.69,17.69,17.69,17.69,300
KSB,2023-11-01 02:44:00,17.69,17.69,17.69,17.69,1800
KSB,2023-11-01 02:45:00,17.6,17.6,17.6,17.6,1500
KSB,2023-11-01 02:47:00,17.6,17.6,17.6,17.6,100
KSB,2023-11-01 02:48:00,17.69,17.69,17.69,17.69,2000
KSB,2023-11-01 02:50:00,17.69,17.69,17.69,17.69,1000
KSB,2023-11-01 02:52:00,17.6,17.6,17.6,17.6,2000
KSB,2023-11-01 02:53:00,17.6,17.6,17.6,17.6,200
KSB,2023-11-01 02:54:00,17.56,17.56,17.56,17.56,500
KSB,2023-11-01 02:57:00,17.56,17.56,17.56,17.56,100
KSB,2023-11-01 02:58:00,17.6,17.6,17.6,17.6,11000
KSB,2023-11-01 02:59:00,17.47,17.47,17.47,17.47,12400
KSB,2023-11-01 03:01:00,17.52,17.52,17.47,17.52,3400
KSB,2023-11-01 03:02:00,17.52,17.52,17.52,17.52,1600
KSB,2023-11-01 03:03:00,17.52,17.52,17.52,17.52,1000
KSB,2023-11-01 03:05:00,17.47,17.47,17.47,17.47,200
KSB,2023-11-01 03:06:00,17.47,17.47,17.47,17.47,2100
KSB,2023-11-01 03:07:00,17.47,17.47,17.47,17.47,3600
KSB,2023-11-01 03:08:00,17.47,17.47,17.47,17.47,3800
KSB,2023-11-01 03:09:00,17.47,17.47,17.47,17.47,300
KSB,2023-11-01 03:12:00,17.47,17.47,17.47,17.47,7700
KSB,2023-11-01 03:14:00,17.39,17.39,17.35,17.35,7000
KSB,2023-11-01 03:15:00,17.35,17.35,17.35,17.35,3100
KSB,2023-11-01 03:17:00,17.35,17.35,17.35,17.35,2000
KSB,2023-11-01 03:18:00,17.35,17.35,17.35,17.35,8600
KSB,2023-11-01 03:19:00,17.35,17.35,17.35,17.35,5100
KSB,2023-11-01 03:20:00,17.35,17.35,17.35,17.35,100
KSB,2023-11-01 03:21:00,17.35,17.35,17.35,17.35,500
KSB,2023-11-01 03:22:00,17.35,17.35,17.35,17.35,800
KSB,2023-11-01 03:23:00,17.3,17.3,17.3,17.3,200
KSB,2023-11-01 03:24:00,17.3,17.3,17.26,17.26,21100
KSB,2023-11-01 03:25:00,17.18,17.18,17.18,17.18,100
KSB,2023-11-01 03:27:00,17.18,17.3,17.18,17.3,2000
KSB,2023-11-01 03:28:00,17.3,17.3,17.22,17.3,7600
KSB,2023-11-01 03:29:00,17.3,17.3,17.3,17.3,5200
KSB,2023-11-01 03:30:00,17.3,17.52,17.3,17.52,3800
KSB,2023-11-01 03:31:00,17.52,17.52,17.52,17.52,1000
KSB,2023-11-01 03:32:00,17.52,17.52,17.52,17.52,2600
KSB,2023-11-01 03:33:00,17.52,17.52,17.52,17.52,2000
KSB,2023-11-01 03:34:00,17.39,17.39,17.39,17.39,10000
KSB,2023-11-01 03:36:00,17.39,17.39,17.39,17.39,400
KSB,2023-11-01 03:37:00,17.39,17.52,17.39,17.52,4200
KSB,2023-11-01 03:38:00,17.52,17.52,17.52,17.52,100
KSB,2023-11-01 03:39:00,17.52,17.52,17.52,17.52,500
KSB,2023-11-01 03:40:00,17.52,17.52,17.52,17.52,8300
KSB,2023-11-01 03:41:00,17.56,17.56,17.39,17.39,2200
KSB,2023-11-01 03:42:00,17.39,17.39,17.39,17.39,1000
KSB,2023-11-01 03:45:00,17.39,17.39,17.39,17.39,100
KSB,2023-11-01 03:46:00,17.39,17.39,17.39,17.39,10000
KSB,2023-11-01 03:47:00,17.52,17.52,17.52,17.52,19000
KSB,2023-11-01 03:48:00,17.39,17.39,17.39,17.39,3100
KSB,2023-11-01 03:49:00,17.39,17.39,17.39,17.39,5200
KSB,2023-11-01 03:50:00,17.56,17.56,17.56,17.56,4400
KSB,2023-11-01 03:51:00,17.56,17.6,17.52,17.6,39300
KSB,2023-11-01 03:52:00,17.69,17.69,17.64,17.69,3600
KSB,2023-11-01 03:53:00,17.69,17.85,17.69,17.85,25400
KSB,2023-11-01 03:54:00,17.85,17.94,17.85,17.94,18200
KSB,2023-11-01 03:55:00,17.98,18.02,17.98,18.02,9800
KSB,2023-11-01 03:56:00,18.02,18.02,18.02,18.02,1800
KSB,2023-11-01 03:57:00,18.02,18.07,17.94,17.94,4100
KSB,2023-11-01 03:58:00,17.94,17.94,17.9,17.9,600
KSB,2023-11-01 03:59:00,17.85,17.85,17.85,17.85,1700
KSB,2023-11-01 04:00:00,17.85,17.85,17.77,17.77,2500
KSB,2023-11-01 04:01:00,17.77,17.77,17.77,17.77,300
KSB,2023-11-01 04:02:00,17.77,17.77,17.77,17.77,200
KSB,2023-11-01 04:05:00,17.69,17.69,17.69,17.69,100
KSB,2023-11-01 04:06:00,17.73,17.73,17.73,17.73,100
KSB,2023-11-01 04:08:00,17.73,17.77,17.73,17.77,18900
KSB,2023-11-01 04:09:00,17.9,17.9,17.9,17.9,2600
KSB,2023-11-01 04:10:00,17.9,17.9,17.9,17.9,200
KSB,2023-11-01 04:11:00,17.77,17.77,17.77,17.77,10400
KSB,2023-11-01 04:12:00,17.77,17.77,17.77,17.77,1100
KSB,2023-11-01 04:13:00,17.77,17.77,17.77,17.77,2000
KSB,2023-11-01 04:14:00,17.77,17.77,17.77,17.77,9500
KSB,2023-11-01 04:15:00,17.69,17.69,17.69,17.69,5100
KSB,2023-11-01 04:16:00,17.69,17.69,17.69,17.69,1900
KSB,2023-11-01 04:17:00,17.69,17.69,17.69,17.69,100
KSB,2023-11-01 04:19:00,17.69,17.69,17.6,17.6,4200
KSB,2023-11-01 04:20:00,17.6,17.6,17.6,17.6,4400
KSB,2023-11-01 04:21:00,17.64,17.64,17.64,17.64,200
KSB,2023-11-01 04:22:00,17.64,17.64,17.64,17.64,2100
KSB,2023-11-01 04:23:00,17.64,17.64,17.64,17.64,10000
KSB,2023-11-01 04:24:00,17.6,17.6,17.6,17.6,100
KSB,2023-11-01 04:27:00,17.64,17.64,17.6,17.6,7800
KSB,2023-11-01 04:28:00,17.6,17.6,17.6,17.6,3400
