ticker,time,open,high,low,close,volume
NNC,2023-11-01 02:17:00,18.24,18.24,18.24,18.24,1000
NNC,2023-11-01 02:22:00,18.24,18.24,18.24,18.24,100
NNC,2023-11-01 02:24:00,18.24,18.24,18.24,18.24,1000
NNC,2023-11-01 02:27:00,18.24,18.24,18.24,18.24,8900
NNC,2023-11-01 02:29:00,18.24,18.24,18.24,18.24,10800
NNC,2023-11-01 02:33:00,18.24,18.24,18.24,18.24,7400
NNC,2023-11-01 02:35:00,18.24,18.24,18.24,18.24,600
NNC,2023-11-01 02:44:00,18.1,18.1,18.1,18.1,1000
NNC,2023-11-01 03:08:00,18.1,18.1,18.1,18.1,1000
NNC,2023-11-01 03:30:00,18.1,18.1,18.1,18.1,2300
NNC,2023-11-01 04:12:00,18.1,18.1,18.1,18.1,300
NNC,2023-11-01 06:39:00,18.1,18.1,18.1,18.1,300
NNC,2023-11-01 06:58:00,18.1,18.1,18.1,18.1,100
NNC,2023-11-01 07:07:00,18.1,18.1,18.1,18.1,400
NNC,2023-11-01 07:14:00,18.1,18.1,18.1,18.1,2000
NNC,2023-11-01 07:45:00,18.19,18.19,18.19,18.19,500
NNC,2023-11-02 02:16:00,18.67,18.67,18.67,18.67,1000
NNC,2023-11-02 03:23:00,18.67,18.67,18.67,18.67,900
NNC,2023-11-02 03:24:00,19.1,19.1,19.1,19.1,100
NNC,2023-11-02 03:43:00,19.1,19.1,19.1,19.1,200
NNC,2023-11-02 03:51:00,19.1,19.1,19.1,19.1,300
NNC,2023-11-02 03:52:00,19.1,19.1,19.1,19.1,1500
NNC,2023-11-02 03:53:00,19.1,19.1,19.1,19.1,100
NNC,2023-11-02 03:54:00,19.1,19.1,19.1,19.1,100
NNC,2023-11-02 04:11:00,19.05,19.05,19.05,19.05,2000
NNC,2023-11-02 04:14:00,19.1,19.1,19.1,19.1,100
NNC,2023-11-02 04:18:00,19.1,19.1,19.1,19.1,200
NNC,2023-11-02 04:20:00,19.14,19.14,19.14,19.14,7000
NNC,2023-11-02 04:24:00,19.14,19.14,19.14,19.14,200
NNC,2023-11-02 04:26:00,19.14,19.14,19.14,19.14,500
NNC,2023-11-02 04:27:00,19.05,19.05,19.05,19.05,300
NNC,2023-11-02 04:28:00,19.05,19.05,19.05,19.05,3000
NNC,2023-11-02 06:00:00,19.05,19.05,19.05,19.05,100
NNC,2023-11-02 06:31:00,19.05,19.05,19.05,19.05,500
NNC,2023-11-02 06:42:00,19.05,19.05,19.05,19.05,400
NNC,2023-11-02 06:47:00,19.14,19.14,19.14,19.14,2000
NNC,2023-11-02 06:48:00,19.19,19.19,19.19,19.19,2000
NNC,2023-11-02 06:53:00,19.19,19.24,19.19,19.24,3000
NNC,2023-11-02 06:58:00,19.24,19.24,19.24,19.24,800
NNC,2023-11-02 06:59:00,19.24,19.24,19.24,19.24,2500
NNC,2023-11-02 07:00:00,19.24,19.24,19.24,19.24,200
NNC,2023-11-02 07:01:00,19.24,19.24,19.24,19.24,200
NNC,2023-11-02 07:06:00,19.14,19.14,19.14,19.14,400
NNC,2023-11-02 07:15:00,19.14,19.14,19.14,19.14,3800
NNC,2023-11-02 07:19:00,19.33,19.33,19.33,19.33,3000
NNC,2023-11-02 07:20:00,19.33,19.43,19.33,19.43,3000
NNC,2023-11-02 07:21:00,19.43,19.43,19.43,19.43,600
NNC,2023-11-02 07:22:00,19.43,19.43,19.43,19.43,4300
NNC,2023-11-02 07:23:00,19.43,19.43,19.43,19.43,1000
NNC,2023-11-02 07:25:00,19.43,19.43,19.43,19.43,3600
NNC,2023-11-02 07:45:00,19.43,19.43,19.43,19.43,100
NNC,2023-11-03 02:15:00,20.1,20.1,19.48,19.48,3000
NNC,2023-11-03 02:16:00,19.48,19.48,19.48,19.48,200
NNC,2023-11-03 02:31:00,19.52,19.52,19.52,19.52,100
NNC,2023-11-03 02:39:00,19.52,19.52,19.52,19.52,400
NNC,2023-11-03 02:49:00,19.52,19.52,19.52,19.52,200
NNC,2023-11-03 03:36:00,19.52,19.52,19.52,19.52,1500
NNC,2023-11-03 03:37:00,19.52,19.52,19.52,19.52,1500
NNC,2023-11-03 03:40:00,19.43,19.43,19.43,19.43,3200
NNC,2023-11-03 03:41:00,19.43,19.43,19.43,19.43,300
NNC,2023-11-03 03:42:00,19.43,19.43,19.43,19.43,500
NNC,2023-11-03 03:53:00,19.43,19.43,19.43,19.43,2500
NNC,2023-11-03 03:54:00,19.43,19.43,19.43,19.43,200
NNC,2023-11-03 04:00:00,19.43,19.43,19.43,19.43,300
NNC,2023-11-03 04:22:00,19.43,19.43,19.43,19.43,700
NNC,2023-11-03 04:24:00,19.43,19.43,19.43,19.43,300
NNC,2023-11-03 06:10:00,19.43,19.43,19.43,19.43,600
NNC,2023-11-03 06:41:00,19.52,19.52,19.52,19.52,1000
NNC,2023-11-03 06:48:00,19.62,19.62,19.62,19.62,200
NNC,2023-11-03 06:59:00,19.62,19.62,19.62,19.62,500
NNC,2023-11-03 07:00:00,19.62,19.62,19.62,19.62,200
NNC,2023-11-03 07:02:00,19.62,19.62,19.62,19.62,100
NNC,2023-11-03 07:03:00,19.52,19.52,19.52,19.52,200
NNC,2023-11-03 07:19:00,20.0,20.0,20.0,20.0,3600
NNC,2023-11-03 07:21:00,20.0,20.0,20.0,20.0,1400
NNC,2023-11-03 07:27:00,20.0,20.0,20.0,20.0,2700
NNC,2023-11-06 02:45:00,20.0,20.0,20.0,20.0,500
NNC,2023-11-06 02:48:00,19.81,19.81,19.81,19.81,100
NNC,2023-11-06 03:13:00,19.76,19.76,19.76,19.76,200
NNC,2023-11-06 03:19:00,19.76,19.76,19.76,19.76,200
NNC,2023-11-06 03:32:00,19.76,19.76,19.76,19.76,300
NNC,2023-11-06 03:44:00,19.76,19.76,19.76,19.76,200
NNC,2023-11-06 07:04:00,19.67,19.67,19.67,19.67,300
NNC,2023-11-06 07:05:00,19.67,19.67,19.67,19.67,200
NNC,2023-11-06 07:09:00,19.67,19.67,19.67,19.67,100
NNC,2023-11-06 07:45:00,19.05,19.05,19.05,19.05,1000
NNC,2023-11-07 02:15:00,18.67,18.67,18.67,18.67,800
NNC,2023-11-07 02:21:00,18.67,18.67,18.67,18.67,1500
NNC,2023-11-07 02:22:00,18.38,18.38,18.38,18.38,1000
NNC,2023-11-07 02:42:00,18.38,18.38,18.38,18.38,100
NNC,2023-11-07 02:43:00,18.38,18.38,18.29,18.29,1900
NNC,2023-11-07 02:44:00,18.29,18.29,18.29,18.29,500
NNC,2023-11-07 02:45:00,18.29,18.29,18.29,18.29,1000
NNC,2023-11-07 02:48:00,18.29,18.29,18.29,18.29,900
NNC,2023-11-07 02:52:00,18.29,18.29,18.29,18.29,1000
NNC,2023-11-07 02:58:00,18.19,18.19,18.19,18.19,400
NNC,2023-11-07 03:00:00,18.19,18.19,18.19,18.19,300
NNC,2023-11-07 03:04:00,18.14,18.14,18.14,18.14,200
NNC,2023-11-07 03:06:00,18.14,18.14,18.14,18.14,300
NNC,2023-11-07 03:56:00,18.19,18.19,18.19,18.19,300
NNC,2023-11-07 04:29:00,18.19,18.19,18.19,18.19,2000
NNC,2023-11-07 06:08:00,19.48,19.48,19.48,19.48,100
NNC,2023-11-07 07:01:00,18.29,18.29,18.29,18.29,700
NNC,2023-11-07 07:24:00,18.29,18.29,18.29,18.29,900
NNC,2023-11-07 07:25:00,18.29,18.29,18.29,18.29,1600
NNC,2023-11-07 07:29:00,19.0,19.0,19.0,19.0,100
NNC,2023-11-07 07:45:00,18.95,18.95,18.95,18.95,500
NNC,2023-11-08 03:40:00,18.95,18.95,18.95,18.95,100
NNC,2023-11-08 03:54:00,18.95,18.95,18.95,18.95,200
NNC,2023-11-08 04:06:00,18.95,18.95,18.95,18.95,300
NNC,2023-11-08 06:07:00,18.95,18.95,18.95,18.95,100
NNC,2023-11-08 06:31:00,18.95,18.95,18.95,18.95,200
NNC,2023-11-08 07:15:00,19.14,19.14,19.14,19.14,2600
NNC,2023-11-08 07:16:00,19.24,19.24,19.24,19.24,500
NNC,2023-11-08 07:17:00,20.0,20.0,20.0,20.0,500
NNC,2023-11-08 07:18:00,19.57,19.57,19.57,19.57,200
NNC,2023-11-08 07:19:00,20.0,20.0,20.0,20.0,300
NNC,2023-11-08 07:28:00,19.43,19.43,19.43,19.43,100
NNC,2023-11-08 07:45:00,19.24,19.24,19.24,19.24,1600
NNC,2023-11-09 02:56:00,19.24,19.24,19.24,19.24,2100
NNC,2023-11-09 02:59:00,19.14,19.14,19.14,19.14,700
NNC,2023-11-09 03:00:00,19.14,19.14,19.05,19.05,500
