ticker,time,open,high,low,close,volume
HCD,2023-12-01 02:15:00,7.52,7.52,7.52,7.52,2000
HCD,2023-12-01 02:16:00,7.57,7.57,7.57,7.57,3100
HCD,2023-12-01 02:17:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 02:20:00,7.57,7.57,7.57,7.57,1900
HCD,2023-12-01 02:21:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 02:22:00,7.55,7.57,7.55,7.57,400
HCD,2023-12-01 02:25:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 02:27:00,7.55,7.55,7.55,7.55,5000
HCD,2023-12-01 02:28:00,7.5,7.5,7.5,7.5,2300
HCD,2023-12-01 02:29:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 02:30:00,7.5,7.55,7.5,7.55,2700
HCD,2023-12-01 02:31:00,7.55,7.55,7.55,7.55,1000
HCD,2023-12-01 02:32:00,7.5,7.5,7.5,7.5,1400
HCD,2023-12-01 02:33:00,7.46,7.5,7.46,7.5,2100
HCD,2023-12-01 02:35:00,7.46,7.5,7.46,7.5,4800
HCD,2023-12-01 02:38:00,7.55,7.55,7.55,7.55,200
HCD,2023-12-01 02:39:00,7.55,7.55,7.55,7.55,100
HCD,2023-12-01 02:41:00,7.55,7.55,7.55,7.55,10800
HCD,2023-12-01 02:42:00,7.55,7.58,7.55,7.58,9500
HCD,2023-12-01 02:43:00,7.58,7.58,7.57,7.57,2500
HCD,2023-12-01 02:44:00,7.58,7.59,7.58,7.59,4400
HCD,2023-12-01 02:46:00,7.58,7.58,7.58,7.58,200
HCD,2023-12-01 02:47:00,7.58,7.58,7.58,7.58,2000
HCD,2023-12-01 02:48:00,7.55,7.55,7.55,7.55,5000
HCD,2023-12-01 02:49:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 02:51:00,7.57,7.57,7.57,7.57,3000
HCD,2023-12-01 02:52:00,7.57,7.57,7.57,7.57,500
HCD,2023-12-01 02:53:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 03:04:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 03:09:00,7.55,7.55,7.55,7.55,100
HCD,2023-12-01 03:12:00,7.5,7.5,7.5,7.5,4200
HCD,2023-12-01 03:13:00,7.45,7.5,7.45,7.5,10200
HCD,2023-12-01 03:16:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 03:17:00,7.5,7.5,7.5,7.5,1000
HCD,2023-12-01 03:34:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 03:35:00,7.5,7.5,7.5,7.5,400
HCD,2023-12-01 03:41:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 03:53:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 04:04:00,7.5,7.5,7.5,7.5,200
HCD,2023-12-01 04:07:00,7.5,7.5,7.48,7.5,1300
HCD,2023-12-01 04:25:00,7.49,7.49,7.49,7.49,200
HCD,2023-12-01 06:00:00,7.46,7.46,7.46,7.46,1300
HCD,2023-12-01 06:02:00,7.45,7.45,7.45,7.45,4800
HCD,2023-12-01 06:05:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:06:00,7.42,7.42,7.42,7.42,300
HCD,2023-12-01 06:11:00,7.4,7.4,7.4,7.4,28400
HCD,2023-12-01 06:15:00,7.4,7.4,7.4,7.4,20000
HCD,2023-12-01 06:16:00,7.4,7.4,7.4,7.4,10400
HCD,2023-12-01 06:17:00,7.4,7.4,7.4,7.4,12000
HCD,2023-12-01 06:19:00,7.45,7.45,7.45,7.45,6000
HCD,2023-12-01 06:20:00,7.41,7.48,7.41,7.48,15600
HCD,2023-12-01 06:23:00,7.41,7.41,7.41,7.41,3000
HCD,2023-12-01 06:24:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:29:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:32:00,7.42,7.45,7.42,7.45,4100
HCD,2023-12-01 06:34:00,7.45,7.45,7.45,7.45,500
HCD,2023-12-01 06:35:00,7.43,7.43,7.43,7.43,600
HCD,2023-12-01 06:36:00,7.43,7.43,7.43,7.43,100
HCD,2023-12-01 06:37:00,7.43,7.43,7.43,7.43,600
HCD,2023-12-01 06:38:00,7.43,7.43,7.43,7.43,200
HCD,2023-12-01 06:40:00,7.43,7.47,7.43,7.47,3800
HCD,2023-12-01 06:41:00,7.47,7.47,7.45,7.45,1300
HCD,2023-12-01 06:42:00,7.45,7.45,7.45,7.45,1100
HCD,2023-12-01 06:46:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:51:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:52:00,7.4,7.4,7.4,7.4,6000
HCD,2023-12-01 06:53:00,7.4,7.4,7.4,7.4,200
HCD,2023-12-01 06:54:00,7.4,7.4,7.4,7.4,4800
HCD,2023-12-01 06:58:00,7.45,7.45,7.45,7.45,100
HCD,2023-12-01 06:59:00,7.45,7.45,7.45,7.45,200
HCD,2023-12-01 07:02:00,7.45,7.45,7.41,7.45,7500
HCD,2023-12-01 07:03:00,7.45,7.45,7.45,7.45,4900
HCD,2023-12-01 07:04:00,7.47,7.47,7.47,7.47,1500
HCD,2023-12-01 07:05:00,7.47,7.5,7.47,7.5,6100
HCD,2023-12-01 07:06:00,7.5,7.55,7.5,7.55,6800
HCD,2023-12-01 07:09:00,7.55,7.55,7.55,7.55,1200
HCD,2023-12-01 07:10:00,7.5,7.5,7.5,7.5,1000
HCD,2023-12-01 07:12:00,7.5,7.5,7.5,7.5,200
HCD,2023-12-01 07:14:00,7.5,7.5,7.5,7.5,2000
HCD,2023-12-01 07:16:00,7.5,7.5,7.5,7.5,2000
HCD,2023-12-01 07:17:00,7.5,7.54,7.5,7.54,3400
HCD,2023-12-01 07:18:00,7.55,7.57,7.5,7.5,24900
HCD,2023-12-01 07:19:00,7.57,7.57,7.51,7.51,2400
HCD,2023-12-01 07:21:00,7.5,7.5,7.5,7.5,1900
HCD,2023-12-01 07:22:00,7.57,7.57,7.57,7.57,100
HCD,2023-12-01 07:23:00,7.57,7.57,7.57,7.57,1000
HCD,2023-12-01 07:24:00,7.5,7.5,7.5,7.5,1000
HCD,2023-12-01 07:26:00,7.5,7.5,7.5,7.5,500
HCD,2023-12-01 07:27:00,7.5,7.5,7.5,7.5,100
HCD,2023-12-01 07:28:00,7.5,7.56,7.5,7.56,10500
