ticker,time,open,high,low,close,volume
PC1,2024-01-02 02:15:00,24.96,24.96,24.96,24.96,60300
PC1,2024-01-02 02:16:00,24.87,24.96,24.87,24.91,2500
PC1,2024-01-02 02:17:00,24.91,24.91,24.91,24.91,11900
PC1,2024-01-02 02:18:00,24.91,25.0,24.91,25.0,26600
PC1,2024-01-02 02:19:00,25.0,25.0,24.96,24.96,21400
PC1,2024-01-02 02:20:00,24.96,25.0,24.96,24.96,5200
PC1,2024-01-02 02:21:00,24.96,24.96,24.96,24.96,3000
PC1,2024-01-02 02:22:00,24.96,24.96,24.91,24.96,16600
PC1,2024-01-02 02:23:00,24.96,25.04,24.96,25.04,15200
PC1,2024-01-02 02:24:00,25.0,25.0,25.0,25.0,19300
PC1,2024-01-02 02:25:00,25.0,25.0,25.0,25.0,3700
PC1,2024-01-02 02:26:00,25.0,25.0,25.0,25.0,24500
PC1,2024-01-02 02:27:00,25.0,25.0,24.96,24.96,2300
PC1,2024-01-02 02:28:00,24.96,24.96,24.96,24.96,12700
PC1,2024-01-02 02:29:00,24.96,24.96,24.96,24.96,10000
PC1,2024-01-02 02:30:00,24.96,24.96,24.96,24.96,300
PC1,2024-01-02 02:31:00,24.96,24.96,24.96,24.96,200
PC1,2024-01-02 02:33:00,24.96,24.96,24.96,24.96,100
PC1,2024-01-02 02:34:00,24.91,24.96,24.91,24.96,33000
PC1,2024-01-02 02:35:00,24.96,24.96,24.96,24.96,11700
PC1,2024-01-02 02:36:00,24.96,24.96,24.96,24.96,8500
PC1,2024-01-02 02:37:00,24.96,24.96,24.96,24.96,3400
PC1,2024-01-02 02:38:00,24.96,24.96,24.96,24.96,7200
PC1,2024-01-02 02:39:00,24.96,24.96,24.96,24.96,3100
PC1,2024-01-02 02:40:00,25.0,25.0,25.0,25.0,19900
PC1,2024-01-02 02:41:00,25.0,25.04,25.0,25.04,14000
PC1,2024-01-02 02:42:00,25.0,25.0,25.0,25.0,5000
PC1,2024-01-02 02:43:00,25.04,25.09,25.04,25.09,67600
PC1,2024-01-02 02:44:00,25.09,25.13,25.09,25.09,49000
PC1,2024-01-02 02:45:00,25.13,25.17,25.09,25.13,68800
PC1,2024-01-02 02:46:00,25.17,25.22,25.17,25.22,112500
PC1,2024-01-02 02:47:00,25.26,25.31,25.26,25.31,63600
PC1,2024-01-02 02:48:00,25.31,25.35,25.31,25.31,74400
PC1,2024-01-02 02:49:00,25.31,25.39,25.31,25.31,77900
PC1,2024-01-02 02:50:00,25.31,25.35,25.31,25.31,25200
PC1,2024-01-02 02:51:00,25.31,25.31,25.26,25.26,34100
PC1,2024-01-02 02:52:00,25.26,25.26,25.13,25.13,30400
PC1,2024-01-02 02:53:00,25.13,25.13,25.13,25.13,25100
PC1,2024-01-02 02:54:00,25.13,25.13,25.13,25.13,1000
PC1,2024-01-02 02:55:00,25.13,25.13,25.13,25.13,3800
PC1,2024-01-02 02:56:00,25.13,25.13,25.13,25.13,7900
PC1,2024-01-02 02:58:00,25.13,25.17,25.13,25.17,4100
PC1,2024-01-02 02:59:00,25.17,25.17,25.13,25.17,6200
PC1,2024-01-02 03:00:00,25.17,25.17,25.13,25.17,11400
PC1,2024-01-02 03:01:00,25.17,25.17,25.13,25.17,16400
PC1,2024-01-02 03:02:00,25.17,25.17,25.13,25.13,5500
PC1,2024-01-02 03:03:00,25.13,25.13,25.13,25.13,18000
PC1,2024-01-02 03:04:00,25.13,25.13,25.13,25.13,14000
PC1,2024-01-02 03:05:00,25.04,25.04,25.04,25.04,10500
PC1,2024-01-02 03:07:00,25.04,25.04,25.04,25.04,100
PC1,2024-01-02 03:08:00,25.04,25.04,25.04,25.04,100
