ticker,time,open,high,low,close,volume
VTP,2024-02-01 02:00:00,65.25,65.25,65.25,65.25,1000
VTP,2024-02-01 02:01:00,65.25,65.25,65.25,65.25,200
VTP,2024-02-01 02:03:00,65.15,65.15,65.15,65.15,100
VTP,2024-02-01 02:04:00,64.86,64.86,64.86,64.86,100
VTP,2024-02-01 02:05:00,64.86,64.86,64.86,64.86,500
VTP,2024-02-01 02:07:00,64.86,64.86,64.86,64.86,700
VTP,2024-02-01 02:08:00,65.15,65.15,65.15,65.15,100
VTP,2024-02-01 02:10:00,65.15,65.25,65.15,65.25,4400
VTP,2024-02-01 02:13:00,65.35,65.35,65.25,65.25,500
VTP,2024-02-01 02:14:00,65.35,65.35,65.35,65.35,1800
VTP,2024-02-01 02:15:00,65.35,65.35,65.35,65.35,500
VTP,2024-02-01 02:17:00,65.35,65.35,65.35,65.35,400
VTP,2024-02-01 02:18:00,65.35,65.35,65.35,65.35,3000
VTP,2024-02-01 02:20:00,65.35,65.35,65.35,65.35,200
VTP,2024-02-01 02:25:00,65.35,65.35,65.35,65.35,100
VTP,2024-02-01 02:26:00,65.35,65.35,65.35,65.35,800
VTP,2024-02-01 02:27:00,65.35,65.35,65.35,65.35,3500
VTP,2024-02-01 02:28:00,65.45,65.45,65.45,65.45,900
VTP,2024-02-01 02:29:00,65.35,65.35,65.35,65.35,8800
VTP,2024-02-01 02:30:00,65.35,65.35,65.35,65.35,1700
VTP,2024-02-01 02:31:00,65.45,65.45,65.45,65.45,1000
VTP,2024-02-01 02:33:00,65.35,65.35,65.35,65.35,7400
VTP,2024-02-01 02:34:00,65.45,65.45,65.45,65.45,1000
VTP,2024-02-01 02:36:00,65.45,65.45,65.45,65.45,1700
VTP,2024-02-01 02:37:00,65.45,65.45,65.45,65.45,1000
VTP,2024-02-01 02:39:00,65.35,65.35,65.35,65.35,200
VTP,2024-02-01 02:40:00,65.35,65.35,65.35,65.35,1700
VTP,2024-02-01 02:41:00,65.35,65.35,65.35,65.35,1000
VTP,2024-02-01 02:42:00,65.35,65.35,65.35,65.35,1500
VTP,2024-02-01 02:43:00,65.35,65.35,65.35,65.35,1500
VTP,2024-02-01 02:44:00,65.35,65.35,65.35,65.35,1900
VTP,2024-02-01 02:46:00,65.35,65.35,65.35,65.35,200
VTP,2024-02-01 02:47:00,65.45,65.45,65.45,65.45,2000
VTP,2024-02-01 02:48:00,65.45,65.45,65.45,65.45,3000
VTP,2024-02-01 02:49:00,65.45,65.45,65.45,65.45,1100
VTP,2024-02-01 02:50:00,65.45,65.45,65.45,65.45,3000
VTP,2024-02-01 02:55:00,65.45,65.45,65.45,65.45,7500
VTP,2024-02-01 02:56:00,65.45,65.45,65.35,65.35,1200
VTP,2024-02-01 02:57:00,65.35,65.35,65.35,65.35,700
VTP,2024-02-01 02:58:00,65.35,65.35,65.35,65.35,8500
VTP,2024-02-01 02:59:00,65.35,65.54,65.25,65.25,15900
