ticker,time,open,high,low,close,volume
AGG,2024-04-01 02:15:00,18.96,18.96,18.96,18.96,3300
AGG,2024-04-01 02:17:00,18.96,19.0,18.96,19.0,8200
AGG,2024-04-01 02:19:00,19.0,19.0,19.0,19.0,2000
AGG,2024-04-01 02:20:00,19.0,19.04,19.0,19.04,4300
AGG,2024-04-01 02:21:00,19.04,19.04,19.0,19.04,8100
AGG,2024-04-01 02:22:00,19.04,19.12,19.04,19.04,1500
AGG,2024-04-01 02:23:00,19.04,19.08,19.0,19.08,25800
AGG,2024-04-01 02:24:00,19.08,19.08,19.08,19.08,2800
AGG,2024-04-01 02:25:00,19.08,19.08,19.08,19.08,19400
AGG,2024-04-01 02:26:00,19.08,19.08,19.08,19.08,700
AGG,2024-04-01 02:27:00,19.08,19.12,19.08,19.12,22100
AGG,2024-04-01 02:28:00,19.12,19.12,19.12,19.12,8400
AGG,2024-04-01 02:29:00,19.12,19.16,19.12,19.16,5200
AGG,2024-04-01 02:30:00,19.16,19.16,19.16,19.16,3500
AGG,2024-04-01 02:31:00,19.16,19.2,19.12,19.2,6000
AGG,2024-04-01 02:32:00,19.2,19.2,19.12,19.12,8500
AGG,2024-04-01 02:33:00,19.12,19.12,19.04,19.04,6000
AGG,2024-04-01 02:34:00,19.04,19.08,19.04,19.08,15700
AGG,2024-04-01 02:35:00,19.08,19.08,19.08,19.08,4400
AGG,2024-04-01 02:36:00,19.08,19.08,19.04,19.04,7000
AGG,2024-04-01 02:41:00,19.04,19.12,19.04,19.12,600
AGG,2024-04-01 02:42:00,19.12,19.12,19.12,19.12,2300
AGG,2024-04-01 02:44:00,19.12,19.12,19.08,19.08,7700
AGG,2024-04-01 02:45:00,19.08,19.16,19.08,19.16,200
AGG,2024-04-01 02:46:00,19.16,19.2,19.16,19.2,5100
AGG,2024-04-01 02:47:00,19.2,19.2,19.16,19.16,25000
AGG,2024-04-01 02:48:00,19.16,19.16,19.16,19.16,5000
AGG,2024-04-01 02:49:00,19.16,19.2,19.16,19.2,10000
AGG,2024-04-01 02:50:00,19.2,19.2,19.2,19.2,5000
AGG,2024-04-01 02:51:00,19.2,19.2,19.2,19.2,5200
AGG,2024-04-01 02:52:00,19.2,19.2,19.16,19.16,7200
AGG,2024-04-01 02:53:00,19.16,19.2,19.16,19.2,1300
AGG,2024-04-01 02:54:00,19.2,19.2,19.04,19.04,38500
AGG,2024-04-01 02:55:00,19.04,19.08,19.04,19.04,20000
AGG,2024-04-01 02:56:00,19.04,19.2,19.04,19.2,24200
AGG,2024-04-01 02:57:00,19.2,19.2,19.16,19.2,31000
AGG,2024-04-01 02:58:00,19.2,19.2,19.2,19.2,25100
AGG,2024-04-01 02:59:00,19.2,19.24,19.16,19.24,21600
AGG,2024-04-01 03:00:00,19.24,19.24,19.24,19.24,10800
AGG,2024-04-01 03:01:00,19.24,19.24,19.16,19.16,4000
AGG,2024-04-01 03:02:00,19.16,19.16,19.12,19.12,1000
AGG,2024-04-01 03:03:00,19.12,19.16,19.12,19.16,1800
AGG,2024-04-01 03:04:00,19.16,19.16,19.12,19.12,9900
AGG,2024-04-01 03:05:00,19.12,19.12,19.12,19.12,3000
AGG,2024-04-01 03:07:00,19.12,19.16,19.04,19.16,12800
AGG,2024-04-01 03:08:00,19.16,19.16,19.16,19.16,2000
AGG,2024-04-01 03:09:00,19.16,19.16,19.04,19.04,500
AGG,2024-04-01 03:10:00,19.04,19.04,19.0,19.04,19100
AGG,2024-04-01 03:11:00,19.04,19.04,19.04,19.04,3200
AGG,2024-04-01 03:12:00,19.04,19.12,19.04,19.12,16800
AGG,2024-04-01 03:13:00,19.12,19.12,19.12,19.12,500
AGG,2024-04-01 03:14:00,19.12,19.12,19.08,19.08,5000
AGG,2024-04-01 03:15:00,19.08,19.08,19.08,19.08,5000
AGG,2024-04-01 03:16:00,19.08,19.08,19.04,19.04,7100
AGG,2024-04-01 03:20:00,19.04,19.04,19.04,19.04,1000
AGG,2024-04-01 03:21:00,19.04,19.04,19.04,19.04,11000
AGG,2024-04-01 03:22:00,19.04,19.04,19.04,19.04,1200
AGG,2024-04-01 03:25:00,19.04,19.08,19.04,19.04,5000
AGG,2024-04-01 03:29:00,19.04,19.04,19.04,19.04,10700
AGG,2024-04-01 03:31:00,19.04,19.04,19.04,19.04,2100
AGG,2024-04-01 03:34:00,19.04,19.04,19.04,19.04,500
AGG,2024-04-01 03:35:00,19.04,19.04,19.0,19.0,1500
