ticker,time,open,high,low,close,volume
CTI,2024-05-02 02:15:00,15.65,15.65,15.5,15.5,48100
CTI,2024-05-02 02:16:00,15.5,15.5,15.5,15.5,2600
CTI,2024-05-02 02:17:00,15.5,15.5,15.5,15.5,400
CTI,2024-05-02 02:18:00,15.5,15.5,15.4,15.4,2700
CTI,2024-05-02 02:19:00,15.4,15.5,15.4,15.5,16400
CTI,2024-05-02 02:20:00,15.5,15.5,15.45,15.45,1000
CTI,2024-05-02 02:21:00,15.45,15.45,15.45,15.45,1000
CTI,2024-05-02 02:22:00,15.45,15.45,15.4,15.4,900
CTI,2024-05-02 02:23:00,15.4,15.4,15.4,15.4,9100
CTI,2024-05-02 02:24:00,15.4,15.4,15.35,15.35,4000
CTI,2024-05-02 02:25:00,15.35,15.35,15.3,15.3,1300
CTI,2024-05-02 02:26:00,15.3,15.3,15.3,15.3,26400
CTI,2024-05-02 02:27:00,15.3,15.35,15.3,15.3,1900
CTI,2024-05-02 02:29:00,15.3,15.3,15.3,15.3,1000
CTI,2024-05-02 02:30:00,15.3,15.35,15.3,15.35,1000
CTI,2024-05-02 02:32:00,15.35,15.35,15.3,15.35,9200
CTI,2024-05-02 02:33:00,15.35,15.4,15.35,15.4,1000
CTI,2024-05-02 02:34:00,15.4,15.4,15.35,15.4,11500
CTI,2024-05-02 02:35:00,15.4,15.45,15.35,15.45,9700
CTI,2024-05-02 02:36:00,15.45,15.45,15.4,15.4,3400
CTI,2024-05-02 02:40:00,15.4,15.4,15.4,15.4,100
CTI,2024-05-02 02:41:00,15.4,15.4,15.4,15.4,100
CTI,2024-05-02 02:42:00,15.4,15.4,15.4,15.4,200
CTI,2024-05-02 02:43:00,15.4,15.4,15.35,15.35,200
CTI,2024-05-02 02:44:00,15.35,15.35,15.35,15.35,9000
CTI,2024-05-02 02:48:00,15.35,15.35,15.35,15.35,1000
CTI,2024-05-02 02:49:00,15.35,15.35,15.35,15.35,200
CTI,2024-05-02 02:51:00,15.35,15.4,15.35,15.4,1000
CTI,2024-05-02 02:55:00,15.4,15.4,15.4,15.4,4200
CTI,2024-05-02 02:56:00,15.4,15.4,15.4,15.4,300
CTI,2024-05-02 02:58:00,15.4,15.4,15.4,15.4,300
CTI,2024-05-02 02:59:00,15.4,15.4,15.4,15.4,1500
CTI,2024-05-02 03:02:00,15.4,15.4,15.4,15.4,1900
CTI,2024-05-02 03:03:00,15.4,15.4,15.4,15.4,100
CTI,2024-05-02 03:04:00,15.4,15.4,15.4,15.4,1000
CTI,2024-05-02 03:05:00,15.4,15.45,15.4,15.45,7800
CTI,2024-05-02 03:06:00,15.45,15.45,15.45,15.45,100
CTI,2024-05-02 03:07:00,15.45,15.45,15.45,15.45,400
CTI,2024-05-02 03:12:00,15.45,15.45,15.45,15.45,5000
CTI,2024-05-02 03:13:00,15.45,15.5,15.45,15.45,10300
CTI,2024-05-02 03:14:00,15.45,15.5,15.45,15.5,200
CTI,2024-05-02 03:15:00,15.5,15.5,15.5,15.5,2000
CTI,2024-05-02 03:16:00,15.5,15.5,15.4,15.4,1000
CTI,2024-05-02 03:17:00,15.4,15.4,15.4,15.4,500
CTI,2024-05-02 03:19:00,15.4,15.4,15.4,15.4,700
CTI,2024-05-02 03:21:00,15.4,15.5,15.4,15.5,100
CTI,2024-05-02 03:22:00,15.5,15.5,15.5,15.5,6000
CTI,2024-05-02 03:28:00,15.5,15.5,15.5,15.5,4400
CTI,2024-05-02 03:31:00,15.5,15.5,15.45,15.45,1000
CTI,2024-05-02 03:32:00,15.45,15.45,15.4,15.4,3000
CTI,2024-05-02 03:36:00,15.4,15.4,15.4,15.4,39500
CTI,2024-05-02 03:43:00,15.4,15.4,15.35,15.35,2400
CTI,2024-05-02 03:48:00,15.35,15.35,15.35,15.35,10800
CTI,2024-05-02 03:50:00,15.35,15.35,15.35,15.35,18500
CTI,2024-05-02 03:53:00,15.35,15.35,15.3,15.35,5500
CTI,2024-05-02 04:08:00,15.35,15.4,15.35,15.4,3600
CTI,2024-05-02 04:10:00,15.4,15.4,15.35,15.35,4000
