ticker,time,open,high,low,close,volume
VNE,2024-05-02 02:15:00,5.0,5.0,5.0,5.0,600
VNE,2024-05-02 02:16:00,5.0,5.05,5.0,5.05,1400
VNE,2024-05-02 02:17:00,5.05,5.15,5.05,5.15,6000
VNE,2024-05-02 02:18:00,5.15,5.2,5.03,5.03,2300
VNE,2024-05-02 02:22:00,5.03,5.03,5.0,5.0,100
VNE,2024-05-02 02:23:00,5.0,5.15,5.0,5.15,200
VNE,2024-05-02 02:25:00,5.15,5.15,5.05,5.05,200
VNE,2024-05-02 02:31:00,5.05,5.05,5.01,5.05,2000
VNE,2024-05-02 02:40:00,5.05,5.05,5.05,5.05,600
VNE,2024-05-02 02:43:00,5.05,5.05,5.0,5.0,400
VNE,2024-05-02 02:45:00,5.0,5.0,5.0,5.0,5500
VNE,2024-05-02 02:47:00,5.0,5.0,4.93,4.93,800
VNE,2024-05-02 02:48:00,4.93,4.97,4.93,4.97,100
VNE,2024-05-02 03:03:00,4.97,4.97,4.97,4.97,100
VNE,2024-05-02 03:08:00,4.97,5.0,4.97,5.0,500
VNE,2024-05-02 03:10:00,5.0,5.0,5.0,5.0,6500
VNE,2024-05-02 03:13:00,5.0,5.03,5.0,5.0,3300
VNE,2024-05-02 03:14:00,5.0,5.05,5.0,5.05,1400
VNE,2024-05-02 03:15:00,5.05,5.1,5.04,5.1,6100
VNE,2024-05-02 03:22:00,5.1,5.1,5.0,5.0,100
VNE,2024-05-02 03:24:00,5.0,5.1,5.0,5.1,1600
VNE,2024-05-02 03:27:00,5.1,5.1,5.1,5.1,700
VNE,2024-05-02 03:31:00,5.1,5.1,5.1,5.1,3700
VNE,2024-05-02 03:35:00,5.1,5.1,5.1,5.1,200
VNE,2024-05-02 03:36:00,5.1,5.1,5.1,5.1,700
VNE,2024-05-02 03:44:00,5.1,5.1,5.07,5.08,600
VNE,2024-05-02 03:54:00,5.08,5.08,5.08,5.08,2100
VNE,2024-05-02 04:14:00,5.08,5.08,5.08,5.08,49000
VNE,2024-05-02 04:22:00,5.08,5.08,5.02,5.02,600
VNE,2024-05-02 04:23:00,5.02,5.02,5.0,5.0,500
VNE,2024-05-02 06:00:00,5.0,5.08,5.0,5.08,1200
VNE,2024-05-02 06:07:00,5.08,5.08,5.02,5.02,500
VNE,2024-05-02 06:18:00,5.02,5.08,5.02,5.08,200
VNE,2024-05-02 06:21:00,5.08,5.08,5.07,5.07,1200
VNE,2024-05-02 06:33:00,5.07,5.08,5.07,5.08,400
VNE,2024-05-02 06:37:00,5.08,5.08,5.08,5.08,500
VNE,2024-05-02 06:41:00,5.08,5.08,5.08,5.08,200
VNE,2024-05-02 06:43:00,5.08,5.08,5.08,5.08,100
VNE,2024-05-02 06:52:00,5.08,5.08,5.07,5.07,100
VNE,2024-05-02 07:00:00,5.07,5.07,5.06,5.07,1600
VNE,2024-05-02 07:02:00,5.07,5.07,5.07,5.07,900
VNE,2024-05-02 07:03:00,5.07,5.07,5.07,5.07,7500
VNE,2024-05-02 07:13:00,5.07,5.07,5.06,5.06,2300
VNE,2024-05-02 07:18:00,5.06,5.08,5.06,5.08,2200
VNE,2024-05-02 07:19:00,5.08,5.08,5.08,5.08,1400
VNE,2024-05-02 07:25:00,5.08,5.08,4.97,4.97,10500
VNE,2024-05-02 07:26:00,4.97,5.08,4.97,5.08,200
VNE,2024-05-02 07:45:00,4.97,4.97,4.97,4.97,2000
VNE,2024-05-03 02:23:00,5.09,5.1,5.09,5.09,1500
VNE,2024-05-03 02:31:00,5.09,5.09,5.09,5.09,1000
VNE,2024-05-03 02:38:00,5.09,5.09,5.09,5.09,1500
VNE,2024-05-03 02:44:00,5.09,5.09,5.05,5.05,100
VNE,2024-05-03 02:55:00,5.05,5.05,5.05,5.05,4500
VNE,2024-05-03 02:57:00,5.05,5.05,5.05,5.05,500
VNE,2024-05-03 03:01:00,5.05,5.05,5.05,5.05,500
VNE,2024-05-03 03:03:00,5.05,5.05,5.05,5.05,400
VNE,2024-05-03 03:04:00,5.05,5.05,5.05,5.05,100
VNE,2024-05-03 03:07:00,5.05,5.05,5.05,5.05,100
VNE,2024-05-03 03:11:00,5.05,5.05,4.99,4.99,3000
VNE,2024-05-03 03:31:00,4.99,5.0,4.99,5.0,1400
VNE,2024-05-03 03:48:00,5.0,5.01,5.0,5.01,100
VNE,2024-05-03 03:59:00,5.01,5.01,5.01,5.01,600
VNE,2024-05-03 04:03:00,5.01,5.02,5.01,5.02,100
VNE,2024-05-03 04:09:00,5.02,5.02,5.02,5.02,700
VNE,2024-05-03 06:01:00,5.02,5.05,5.02,5.05,300
VNE,2024-05-03 06:05:00,5.05,5.05,5.05,5.05,300
VNE,2024-05-03 06:06:00,5.05,5.05,5.05,5.05,400
VNE,2024-05-03 06:07:00,5.05,5.06,5.05,5.06,1100
VNE,2024-05-03 06:10:00,5.06,5.07,5.06,5.07,200
VNE,2024-05-03 06:15:00,5.07,5.07,5.02,5.02,1400
VNE,2024-05-03 06:25:00,5.02,5.03,5.02,5.02,2100
VNE,2024-05-03 06:41:00,5.02,5.02,5.01,5.01,1000
VNE,2024-05-03 06:47:00,5.01,5.02,5.01,5.02,1100
VNE,2024-05-03 06:48:00,5.02,5.02,5.0,5.0,10300
VNE,2024-05-03 06:54:00,5.0,5.0,4.99,4.99,100
VNE,2024-05-03 07:06:00,4.99,4.99,4.98,4.98,6600
VNE,2024-05-03 07:09:00,4.98,4.98,4.97,4.97,2700
VNE,2024-05-03 07:14:00,4.97,4.97,4.97,4.97,500
VNE,2024-05-03 07:16:00,4.97,4.97,4.97,4.97,1500
VNE,2024-05-03 07:22:00,4.97,4.97,4.97,4.97,100
VNE,2024-05-03 07:28:00,4.97,4.97,4.97,4.97,2000
VNE,2024-05-03 07:45:00,4.93,4.93,4.93,4.93,300
VNE,2024-05-06 02:15:00,4.94,4.94,4.93,4.93,15900
VNE,2024-05-06 02:21:00,4.93,5.0,4.93,5.0,100
VNE,2024-05-06 02:34:00,5.0,5.0,5.0,5.0,100
VNE,2024-05-06 02:36:00,5.0,5.0,5.0,5.0,1500
VNE,2024-05-06 02:45:00,5.0,5.0,5.0,5.0,4000
VNE,2024-05-06 02:49:00,5.0,5.0,5.0,5.0,500
VNE,2024-05-06 02:50:00,5.0,5.0,5.0,5.0,100
VNE,2024-05-06 03:00:00,5.0,5.0,5.0,5.0,500
VNE,2024-05-06 03:04:00,5.0,5.0,5.0,5.0,400
VNE,2024-05-06 03:06:00,5.0,5.0,5.0,5.0,500
VNE,2024-05-06 03:08:00,5.0,5.0,5.0,5.0,5000
VNE,2024-05-06 03:22:00,5.0,5.09,5.0,5.09,5500
VNE,2024-05-06 03:23:00,5.09,5.09,5.0,5.0,1500
VNE,2024-05-06 03:25:00,5.0,5.11,5.0,5.11,40800
VNE,2024-05-06 03:31:00,5.11,5.11,5.09,5.1,8000
VNE,2024-05-06 03:32:00,5.1,5.1,5.1,5.1,9000
VNE,2024-05-06 03:33:00,5.1,5.1,5.09,5.09,1500
