ticker,time,open,high,low,close,volume
EVG,2024-07-01 02:15:00,6.76,6.8,6.76,6.76,12100
EVG,2024-07-01 02:16:00,6.76,6.79,6.76,6.79,3100
EVG,2024-07-01 02:18:00,6.79,6.79,6.79,6.79,1300
EVG,2024-07-01 02:19:00,6.79,6.79,6.78,6.78,24400
EVG,2024-07-01 02:20:00,6.78,6.78,6.78,6.78,10200
EVG,2024-07-01 02:21:00,6.78,6.79,6.76,6.76,25700
EVG,2024-07-01 02:22:00,6.76,6.76,6.76,6.76,13500
EVG,2024-07-01 02:23:00,6.76,6.76,6.76,6.76,1000
EVG,2024-07-01 02:24:00,6.76,6.76,6.7,6.7,3500
EVG,2024-07-01 02:25:00,6.7,6.7,6.61,6.65,28400
EVG,2024-07-01 02:26:00,6.65,6.65,6.65,6.65,5100
EVG,2024-07-01 02:27:00,6.65,6.66,6.64,6.66,15500
EVG,2024-07-01 02:28:00,6.66,6.66,6.63,6.63,14800
EVG,2024-07-01 02:29:00,6.63,6.65,6.63,6.65,38200
EVG,2024-07-01 02:30:00,6.65,6.7,6.65,6.7,26100
EVG,2024-07-01 02:31:00,6.7,6.72,6.7,6.72,35500
EVG,2024-07-01 02:32:00,6.72,6.72,6.72,6.72,7600
EVG,2024-07-01 02:33:00,6.72,6.73,6.72,6.73,13200
EVG,2024-07-01 02:34:00,6.73,6.73,6.7,6.7,17900
EVG,2024-07-01 02:35:00,6.7,6.71,6.7,6.7,5400
EVG,2024-07-01 02:36:00,6.7,6.76,6.7,6.76,9000
EVG,2024-07-01 02:37:00,6.76,6.77,6.76,6.76,6100
EVG,2024-07-01 02:39:00,6.76,6.76,6.76,6.76,21600
EVG,2024-07-01 02:40:00,6.76,6.76,6.75,6.75,2000
EVG,2024-07-01 02:41:00,6.75,6.75,6.7,6.7,2600
EVG,2024-07-01 02:42:00,6.7,6.7,6.7,6.7,3000
EVG,2024-07-01 02:43:00,6.7,6.71,6.7,6.7,18000
EVG,2024-07-01 02:45:00,6.7,6.74,6.7,6.74,2600
EVG,2024-07-01 02:46:00,6.74,6.75,6.74,6.75,15000
EVG,2024-07-01 02:47:00,6.75,6.75,6.75,6.75,7100
EVG,2024-07-01 02:48:00,6.75,6.75,6.74,6.74,29600
EVG,2024-07-01 02:49:00,6.74,6.76,6.74,6.76,60400
EVG,2024-07-01 02:50:00,6.76,6.77,6.76,6.77,43200
EVG,2024-07-01 02:51:00,6.77,6.77,6.77,6.77,4900
EVG,2024-07-01 02:52:00,6.77,6.78,6.76,6.76,15000
EVG,2024-07-01 02:53:00,6.76,6.78,6.76,6.78,21800
EVG,2024-07-01 02:54:00,6.78,6.79,6.77,6.79,8000
EVG,2024-07-01 02:55:00,6.79,6.79,6.78,6.79,10100
EVG,2024-07-01 02:56:00,6.79,6.79,6.78,6.78,2100
EVG,2024-07-01 02:57:00,6.78,6.78,6.78,6.78,2400
EVG,2024-07-01 02:58:00,6.78,6.78,6.78,6.78,1900
EVG,2024-07-01 02:59:00,6.78,6.79,6.78,6.79,42100
EVG,2024-07-01 03:00:00,6.79,6.85,6.79,6.85,66300
EVG,2024-07-01 03:01:00,6.85,6.85,6.81,6.81,2300
EVG,2024-07-01 03:03:00,6.81,6.81,6.81,6.81,500
EVG,2024-07-01 03:04:00,6.81,6.81,6.81,6.81,21500
EVG,2024-07-01 03:05:00,6.81,6.81,6.8,6.8,8900
EVG,2024-07-01 03:06:00,6.8,6.8,6.8,6.8,19500
EVG,2024-07-01 03:07:00,6.8,6.8,6.8,6.8,35100
EVG,2024-07-01 03:08:00,6.8,6.8,6.77,6.77,6200
EVG,2024-07-01 03:09:00,6.77,6.77,6.77,6.77,1000
EVG,2024-07-01 03:10:00,6.77,6.77,6.77,6.77,5700
EVG,2024-07-01 03:11:00,6.77,6.77,6.77,6.77,9600
EVG,2024-07-01 03:12:00,6.77,6.77,6.77,6.77,6300
