ticker,time,open,high,low,close,volume
PLC,2024-08-01 02:02:00,25.61,25.61,25.61,25.61,100
PLC,2024-08-01 02:24:00,25.61,25.61,25.61,25.61,200
PLC,2024-08-01 02:25:00,25.61,25.61,25.61,25.61,300
PLC,2024-08-01 02:31:00,25.61,25.61,25.61,25.61,1400
PLC,2024-08-01 02:33:00,25.51,25.51,25.51,25.51,1300
PLC,2024-08-01 02:36:00,25.51,25.51,25.51,25.51,100
PLC,2024-08-01 02:39:00,25.61,25.61,25.61,25.61,300
PLC,2024-08-01 02:44:00,25.61,25.61,25.61,25.61,200
PLC,2024-08-01 02:49:00,25.61,25.61,25.61,25.61,500
PLC,2024-08-01 02:50:00,25.71,25.71,25.71,25.71,100
PLC,2024-08-01 02:52:00,25.71,25.71,25.71,25.71,600
PLC,2024-08-01 02:54:00,25.71,25.71,25.71,25.71,1000
PLC,2024-08-01 02:55:00,25.71,25.71,25.71,25.71,1000
PLC,2024-08-01 02:59:00,25.71,25.71,25.71,25.71,1000
PLC,2024-08-01 03:00:00,25.61,25.61,25.61,25.61,1300
PLC,2024-08-01 03:01:00,25.61,25.61,25.61,25.61,200
PLC,2024-08-01 03:02:00,25.61,25.61,25.61,25.61,1500
PLC,2024-08-01 03:03:00,25.61,25.61,25.61,25.61,500
PLC,2024-08-01 03:04:00,25.71,25.71,25.71,25.71,300
PLC,2024-08-01 03:05:00,25.51,25.51,25.51,25.51,200
PLC,2024-08-01 03:06:00,25.51,25.51,25.51,25.51,3600
PLC,2024-08-01 03:09:00,25.51,25.51,25.51,25.51,600
PLC,2024-08-01 03:13:00,25.51,25.51,25.51,25.51,1000
PLC,2024-08-01 03:15:00,25.51,25.51,25.51,25.51,2300
PLC,2024-08-01 03:17:00,25.61,25.61,25.61,25.61,100
PLC,2024-08-01 03:20:00,25.51,25.51,25.51,25.51,100
PLC,2024-08-01 03:21:00,25.51,25.51,25.51,25.51,3500
PLC,2024-08-01 03:23:00,25.41,25.41,25.41,25.41,100
PLC,2024-08-01 03:31:00,25.41,25.41,25.41,25.41,200
PLC,2024-08-01 03:33:00,25.41,25.41,25.41,25.41,22100
PLC,2024-08-01 03:34:00,25.31,25.31,25.31,25.31,1400
PLC,2024-08-01 03:35:00,25.22,25.22,25.22,25.22,4600
PLC,2024-08-01 03:36:00,25.22,25.22,25.22,25.22,6300
PLC,2024-08-01 03:37:00,25.22,25.22,25.22,25.22,700
PLC,2024-08-01 03:38:00,25.22,25.22,25.22,25.22,100
PLC,2024-08-01 03:39:00,25.22,25.22,25.22,25.22,900
PLC,2024-08-01 03:42:00,25.22,25.22,25.22,25.22,100
PLC,2024-08-01 03:47:00,25.22,25.22,25.22,25.22,1000
PLC,2024-08-01 03:51:00,25.41,25.41,25.41,25.41,100
PLC,2024-08-01 03:57:00,25.31,25.31,25.31,25.31,600
PLC,2024-08-01 03:58:00,25.22,25.22,25.22,25.22,400
PLC,2024-08-01 04:00:00,25.22,25.22,25.22,25.22,3000
PLC,2024-08-01 04:02:00,25.22,25.22,25.22,25.22,1000
PLC,2024-08-01 04:06:00,25.31,25.31,25.31,25.31,100
PLC,2024-08-01 04:09:00,25.41,25.41,25.41,25.41,100
PLC,2024-08-01 04:12:00,25.41,25.41,25.41,25.41,100
PLC,2024-08-01 04:26:00,25.31,25.31,25.31,25.31,100
PLC,2024-08-01 06:00:00,25.22,25.31,25.22,25.31,1600
PLC,2024-08-01 06:01:00,25.31,25.31,25.31,25.31,600
PLC,2024-08-01 06:03:00,25.22,25.22,25.22,25.22,3000
PLC,2024-08-01 06:04:00,25.31,25.31,25.31,25.31,5000
PLC,2024-08-01 06:06:00,25.31,25.31,25.31,25.31,1000
PLC,2024-08-01 06:08:00,25.22,25.22,25.22,25.22,2000
PLC,2024-08-01 06:10:00,25.22,25.22,25.22,25.22,3000
PLC,2024-08-01 06:13:00,25.22,25.31,25.22,25.31,4300
PLC,2024-08-01 06:14:00,25.31,25.31,25.31,25.31,500
PLC,2024-08-01 06:15:00,25.22,25.22,25.12,25.22,7500
PLC,2024-08-01 06:16:00,25.22,25.22,25.22,25.22,1500
PLC,2024-08-01 06:17:00,25.22,25.22,25.22,25.22,300
PLC,2024-08-01 06:20:00,25.22,25.22,25.22,25.22,2200
PLC,2024-08-01 06:24:00,25.22,25.22,25.22,25.22,300
PLC,2024-08-01 06:25:00,25.22,25.22,25.22,25.22,100
PLC,2024-08-01 06:26:00,25.22,25.22,25.22,25.22,400
PLC,2024-08-01 06:27:00,25.22,25.22,25.22,25.22,600
PLC,2024-08-01 06:28:00,25.22,25.22,25.22,25.22,100
PLC,2024-08-01 06:29:00,25.12,25.12,25.12,25.12,500
PLC,2024-08-01 06:30:00,25.12,25.12,25.12,25.12,500
PLC,2024-08-01 06:31:00,25.12,25.12,25.12,25.12,800
PLC,2024-08-01 06:33:00,25.12,25.12,25.12,25.12,22800
PLC,2024-08-01 06:34:00,25.12,25.12,25.12,25.12,3300
PLC,2024-08-01 06:35:00,25.12,25.12,25.12,25.12,400
PLC,2024-08-01 06:36:00,25.02,25.02,25.02,25.02,8100
PLC,2024-08-01 06:37:00,25.02,25.02,25.02,25.02,7600
PLC,2024-08-01 06:38:00,25.02,25.02,25.02,25.02,7100
PLC,2024-08-01 06:39:00,25.02,25.02,25.02,25.02,2400
PLC,2024-08-01 06:40:00,25.02,25.02,25.02,25.02,8600
PLC,2024-08-01 06:42:00,25.12,25.12,25.12,25.12,5800
PLC,2024-08-01 06:43:00,25.22,25.22,25.22,25.22,3100
PLC,2024-08-01 06:44:00,25.22,25.22,25.22,25.22,400
PLC,2024-08-01 06:45:00,25.22,25.22,25.22,25.22,5000
PLC,2024-08-01 06:46:00,25.22,25.22,25.22,25.22,200
PLC,2024-08-01 06:48:00,25.12,25.12,25.02,25.02,2500
PLC,2024-08-01 06:49:00,25.02,25.02,25.02,25.02,1400
PLC,2024-08-01 06:50:00,25.02,25.02,25.02,25.02,500
PLC,2024-08-01 06:51:00,25.02,25.02,25.02,25.02,100
PLC,2024-08-01 06:52:00,25.02,25.02,25.02,25.02,500
PLC,2024-08-01 06:53:00,25.02,25.02,24.92,24.92,1900
PLC,2024-08-01 06:54:00,24.92,24.92,24.92,24.92,300
PLC,2024-08-01 06:55:00,24.92,24.92,24.92,24.92,3800
PLC,2024-08-01 06:56:00,24.92,24.92,24.92,24.92,300
PLC,2024-08-01 06:57:00,24.82,24.92,24.82,24.92,200
PLC,2024-08-01 06:58:00,24.82,24.92,24.82,24.92,1200
PLC,2024-08-01 06:59:00,24.92,25.02,24.92,25.02,14600
PLC,2024-08-01 07:01:00,25.12,25.12,25.12,25.12,1500
PLC,2024-08-01 07:06:00,25.02,25.02,25.02,25.02,900
PLC,2024-08-01 07:08:00,25.02,25.02,25.02,25.02,1100
PLC,2024-08-01 07:09:00,25.02,25.02,25.02,25.02,300
PLC,2024-08-01 07:11:00,24.82,24.82,24.82,24.82,2000
PLC,2024-08-01 07:12:00,24.82,24.82,24.82,24.82,2000
PLC,2024-08-01 07:14:00,24.82,24.82,24.82,24.82,6800
PLC,2024-08-01 07:15:00,24.73,24.73,24.63,24.63,8000
PLC,2024-08-01 07:16:00,24.73,24.73,24.63,24.73,9600
PLC,2024-08-01 07:17:00,24.63,24.82,24.63,24.82,4000
PLC,2024-08-01 07:18:00,24.82,24.82,24.73,24.82,600
PLC,2024-08-01 07:19:00,24.82,24.82,24.82,24.82,2100
PLC,2024-08-01 07:20:00,24.92,24.92,24.92,24.92,200
PLC,2024-08-01 07:21:00,24.92,24.92,24.92,24.92,400
PLC,2024-08-01 07:23:00,25.02,25.02,25.02,25.02,200
PLC,2024-08-01 07:24:00,25.02,25.02,25.02,25.02,100
PLC,2024-08-01 07:26:00,25.02,25.02,25.02,25.02,200
PLC,2024-08-01 07:28:00,24.92,24.92,24.92,24.92,1800
PLC,2024-08-01 07:45:00,24.82,24.82,24.82,24.82,8200
PLC,2024-08-02 02:00:00,24.82,24.82,24.82,24.82,100
PLC,2024-08-02 02:03:00,24.73,24.73,24.73,24.73,100
PLC,2024-08-02 02:08:00,24.63,24.63,24.63,24.63,700
PLC,2024-08-02 02:21:00,24.53,24.63,24.53,24.63,9000
PLC,2024-08-02 02:22:00,24.63,24.63,24.63,24.63,100
PLC,2024-08-02 02:23:00,24.63,24.63,24.63,24.63,500
PLC,2024-08-02 02:24:00,24.63,24.63,24.63,24.63,100
PLC,2024-08-02 02:26:00,24.63,24.63,24.63,24.63,300
PLC,2024-08-02 02:27:00,24.73,24.73,24.73,24.73,100
PLC,2024-08-02 02:28:00,24.73,24.73,24.73,24.73,2000
PLC,2024-08-02 02:30:00,24.63,24.63,24.63,24.63,100
PLC,2024-08-02 02:31:00,24.63,24.63,24.63,24.63,1000
PLC,2024-08-02 02:36:00,24.63,24.63,24.63,24.63,4000
PLC,2024-08-02 02:40:00,24.53,24.53,24.53,24.53,2000
PLC,2024-08-02 02:41:00,24.53,24.53,24.53,24.53,1200
PLC,2024-08-02 02:46:00,24.53,24.53,24.53,24.53,3100
PLC,2024-08-02 02:47:00,24.53,24.53,24.53,24.53,200
PLC,2024-08-02 02:50:00,24.53,24.53,24.53,24.53,500
PLC,2024-08-02 02:53:00,24.53,24.53,24.53,24.53,200
PLC,2024-08-02 02:54:00,24.53,24.53,24.53,24.53,400
PLC,2024-08-02 02:55:00,24.53,24.53,24.53,24.53,5000
PLC,2024-08-02 02:59:00,24.53,24.53,24.53,24.53,5000
PLC,2024-08-02 03:01:00,24.43,24.53,24.43,24.53,8400
PLC,2024-08-02 03:02:00,24.53,24.53,24.53,24.53,5500
PLC,2024-08-02 03:03:00,24.53,24.53,24.53,24.53,100
PLC,2024-08-02 03:05:00,24.53,24.53,24.53,24.53,500
PLC,2024-08-02 03:06:00,24.53,24.53,24.53,24.53,400
PLC,2024-08-02 03:10:00,24.53,24.53,24.53,24.53,2000
PLC,2024-08-02 03:11:00,24.53,24.53,24.53,24.53,100
PLC,2024-08-02 03:12:00,24.43,24.43,24.43,24.43,1100
PLC,2024-08-02 03:13:00,24.43,24.43,24.33,24.33,3800
PLC,2024-08-02 03:14:00,24.33,24.33,24.33,24.33,2000
PLC,2024-08-02 03:15:00,24.33,24.33,24.33,24.33,3000
PLC,2024-08-02 03:18:00,24.33,24.33,24.33,24.33,200
PLC,2024-08-02 03:21:00,24.43,24.43,24.43,24.43,100
PLC,2024-08-02 03:29:00,24.53,24.53,24.53,24.53,1000
PLC,2024-08-02 03:31:00,24.43,24.43,24.43,24.43,1900
PLC,2024-08-02 03:33:00,24.53,24.53,24.53,24.53,100
PLC,2024-08-02 03:36:00,24.53,24.53,24.53,24.53,600
PLC,2024-08-02 03:42:00,24.43,24.43,24.43,24.43,1000
PLC,2024-08-02 03:46:00,24.43,24.43,24.43,24.43,1200
PLC,2024-08-02 03:53:00,24.43,24.43,24.43,24.43,600
PLC,2024-08-02 03:54:00,24.43,24.43,24.43,24.43,100
PLC,2024-08-02 03:56:00,24.43,24.43,24.43,24.43,10100
PLC,2024-08-02 04:04:00,24.43,24.43,24.43,24.43,300
PLC,2024-08-02 04:07:00,24.43,24.43,24.43,24.43,100
PLC,2024-08-02 04:08:00,24.43,24.43,24.43,24.43,500
PLC,2024-08-02 04:10:00,24.43,24.43,24.43,24.43,1000
PLC,2024-08-02 04:14:00,24.43,24.43,24.43,24.43,200
PLC,2024-08-02 04:15:00,24.33,24.33,24.33,24.33,1100
PLC,2024-08-02 04:16:00,24.33,24.33,24.33,24.33,1200
PLC,2024-08-02 04:19:00,24.33,24.33,24.33,24.33,800
PLC,2024-08-02 04:20:00,24.33,24.33,24.33,24.33,100
PLC,2024-08-02 04:28:00,24.33,24.33,24.33,24.33,200
PLC,2024-08-02 06:00:00,24.33,24.33,24.33,24.33,400
PLC,2024-08-02 06:01:00,24.33,24.33,24.33,24.33,2000
PLC,2024-08-02 06:05:00,24.33,24.33,24.33,24.33,4400
PLC,2024-08-02 06:06:00,24.33,24.33,24.33,24.33,300
PLC,2024-08-02 06:14:00,24.33,24.43,24.33,24.43,300
PLC,2024-08-02 06:15:00,24.43,24.43,24.43,24.43,600
PLC,2024-08-02 06:16:00,24.43,24.43,24.43,24.43,500
PLC,2024-08-02 06:19:00,24.43,24.53,24.43,24.53,4800
PLC,2024-08-02 06:20:00,24.53,24.53,24.53,24.53,6100
PLC,2024-08-02 06:21:00,24.53,24.53,24.53,24.53,4000
PLC,2024-08-02 06:27:00,24.53,24.53,24.53,24.53,100
PLC,2024-08-02 06:30:00,24.53,24.53,24.53,24.53,1000
PLC,2024-08-02 06:31:00,24.53,24.53,24.53,24.53,1100
PLC,2024-08-02 06:33:00,24.53,24.53,24.53,24.53,1000
PLC,2024-08-02 06:34:00,24.53,24.53,24.53,24.53,500
