ticker,time,open,high,low,close,volume
BAF,2024-10-01 02:15:00,21.6,21.65,21.5,21.65,79600
BAF,2024-10-01 02:16:00,21.65,21.65,21.65,21.65,3100
BAF,2024-10-01 02:17:00,21.65,21.65,21.65,21.65,1600
BAF,2024-10-01 02:18:00,21.65,21.7,21.65,21.7,11000
BAF,2024-10-01 02:19:00,21.7,21.75,21.7,21.75,20200
BAF,2024-10-01 02:20:00,21.75,21.8,21.75,21.75,23100
BAF,2024-10-01 02:21:00,21.75,21.75,21.7,21.7,4100
BAF,2024-10-01 02:22:00,21.7,21.7,21.65,21.65,37700
BAF,2024-10-01 02:24:00,21.65,21.7,21.65,21.7,500
BAF,2024-10-01 02:25:00,21.7,21.7,21.65,21.65,10000
BAF,2024-10-01 02:26:00,21.65,21.65,21.65,21.65,15500
BAF,2024-10-01 02:27:00,21.65,21.75,21.65,21.65,30600
BAF,2024-10-01 02:29:00,21.65,21.7,21.65,21.7,2900
BAF,2024-10-01 02:30:00,21.7,21.75,21.7,21.75,500
BAF,2024-10-01 02:31:00,21.75,21.75,21.7,21.7,11900
BAF,2024-10-01 02:32:00,21.7,21.75,21.65,21.65,5300
BAF,2024-10-01 02:33:00,21.65,21.65,21.65,21.65,8400
BAF,2024-10-01 02:34:00,21.65,21.65,21.6,21.65,12000
BAF,2024-10-01 02:35:00,21.65,21.65,21.65,21.65,1000
BAF,2024-10-01 02:37:00,21.65,21.65,21.6,21.6,2100
BAF,2024-10-01 02:38:00,21.6,21.6,21.6,21.6,400
BAF,2024-10-01 02:39:00,21.6,21.6,21.6,21.6,1600
BAF,2024-10-01 02:40:00,21.6,21.65,21.6,21.65,5500
BAF,2024-10-01 02:41:00,21.65,21.65,21.6,21.6,2100
BAF,2024-10-01 02:42:00,21.6,21.65,21.6,21.65,1100
BAF,2024-10-01 02:43:00,21.65,21.65,21.65,21.65,1000
BAF,2024-10-01 02:44:00,21.65,21.65,21.6,21.6,48200
BAF,2024-10-01 02:45:00,21.6,21.6,21.6,21.6,28800
BAF,2024-10-01 02:46:00,21.6,21.6,21.55,21.6,300
BAF,2024-10-01 02:47:00,21.6,21.6,21.55,21.55,2500
BAF,2024-10-01 02:48:00,21.55,21.55,21.45,21.45,59300
BAF,2024-10-01 02:49:00,21.45,21.45,21.45,21.45,24700
BAF,2024-10-01 02:50:00,21.45,21.45,21.35,21.45,32300
BAF,2024-10-01 02:51:00,21.45,21.45,21.4,21.4,50000
BAF,2024-10-01 02:52:00,21.4,21.45,21.4,21.45,4900
BAF,2024-10-01 02:53:00,21.45,21.45,21.45,21.45,1000
BAF,2024-10-01 02:54:00,21.45,21.5,21.45,21.5,18300
BAF,2024-10-01 02:55:00,21.5,21.5,21.45,21.45,20200
BAF,2024-10-01 02:57:00,21.45,21.45,21.45,21.45,10100
BAF,2024-10-01 02:59:00,21.45,21.5,21.45,21.5,500
BAF,2024-10-01 03:00:00,21.5,21.5,21.5,21.5,1000
BAF,2024-10-01 03:02:00,21.5,21.5,21.5,21.5,600
BAF,2024-10-01 03:03:00,21.5,21.6,21.5,21.6,50400
BAF,2024-10-01 03:04:00,21.6,21.6,21.6,21.6,1000
BAF,2024-10-01 03:05:00,21.6,21.6,21.6,21.6,500
BAF,2024-10-01 03:06:00,21.6,21.6,21.6,21.6,200
BAF,2024-10-01 03:08:00,21.6,21.6,21.55,21.55,200
BAF,2024-10-01 03:09:00,21.55,21.55,21.55,21.55,600
BAF,2024-10-01 03:10:00,21.55,21.55,21.55,21.55,2800
BAF,2024-10-01 03:11:00,21.55,21.75,21.55,21.75,61500
BAF,2024-10-01 03:13:00,21.75,21.75,21.75,21.75,36500
BAF,2024-10-01 03:14:00,21.75,21.75,21.6,21.75,700
BAF,2024-10-01 03:15:00,21.75,21.75,21.6,21.6,22300
BAF,2024-10-01 03:16:00,21.6,21.6,21.6,21.6,2000
BAF,2024-10-01 03:18:00,21.6,21.65,21.6,21.65,1600
BAF,2024-10-01 03:20:00,21.65,21.65,21.65,21.65,2600
BAF,2024-10-01 03:21:00,21.65,21.75,21.65,21.75,500
BAF,2024-10-01 03:22:00,21.75,21.75,21.65,21.65,43900
BAF,2024-10-01 03:23:00,21.65,21.65,21.6,21.6,4700
BAF,2024-10-01 03:24:00,21.6,21.75,21.6,21.7,33300
BAF,2024-10-01 03:25:00,21.7,21.7,21.7,21.7,800
BAF,2024-10-01 03:27:00,21.7,21.7,21.7,21.7,800
BAF,2024-10-01 03:28:00,21.7,21.7,21.7,21.7,800
BAF,2024-10-01 03:29:00,21.7,21.7,21.7,21.7,900
BAF,2024-10-01 03:30:00,21.7,21.7,21.7,21.7,6000
BAF,2024-10-01 03:31:00,21.7,21.75,21.7,21.75,40000
BAF,2024-10-01 03:32:00,21.75,21.75,21.65,21.7,11300
BAF,2024-10-01 03:33:00,21.7,21.7,21.7,21.7,100
BAF,2024-10-01 03:35:00,21.7,21.7,21.65,21.65,800
BAF,2024-10-01 03:36:00,21.65,21.7,21.65,21.65,32800
BAF,2024-10-01 03:37:00,21.65,21.75,21.65,21.65,145600
BAF,2024-10-01 03:38:00,21.65,21.65,21.65,21.65,37000
BAF,2024-10-01 03:39:00,21.65,21.65,21.65,21.65,30100
BAF,2024-10-01 03:41:00,21.65,21.7,21.65,21.7,800
BAF,2024-10-01 03:43:00,21.7,21.7,21.65,21.65,104600
