ticker,time,open,high,low,close,volume
TCD,2024-10-01 02:15:00,5.2,5.2,5.2,5.2,5200
TCD,2024-10-01 02:16:00,5.2,5.24,5.2,5.24,9900
TCD,2024-10-01 02:19:00,5.24,5.24,5.24,5.24,1000
TCD,2024-10-01 02:21:00,5.24,5.24,5.24,5.24,1000
TCD,2024-10-01 02:22:00,5.24,5.24,5.22,5.22,11500
TCD,2024-10-01 02:25:00,5.22,5.22,5.22,5.22,3900
TCD,2024-10-01 02:26:00,5.22,5.22,5.22,5.22,100
TCD,2024-10-01 02:27:00,5.22,5.22,5.22,5.22,1000
TCD,2024-10-01 02:28:00,5.22,5.22,5.21,5.22,400
TCD,2024-10-01 02:30:00,5.22,5.22,5.21,5.21,4000
TCD,2024-10-01 02:32:00,5.21,5.21,5.21,5.21,1700
TCD,2024-10-01 02:38:00,5.21,5.22,5.21,5.22,25900
TCD,2024-10-01 02:41:00,5.22,5.22,5.22,5.22,400
TCD,2024-10-01 02:42:00,5.22,5.22,5.22,5.22,5600
TCD,2024-10-01 02:43:00,5.22,5.22,5.22,5.22,2800
TCD,2024-10-01 02:45:00,5.22,5.22,5.22,5.22,1000
TCD,2024-10-01 02:46:00,5.22,5.22,5.22,5.22,200
TCD,2024-10-01 02:47:00,5.22,5.22,5.22,5.22,200
TCD,2024-10-01 02:49:00,5.22,5.22,5.22,5.22,100
TCD,2024-10-01 02:52:00,5.22,5.22,5.22,5.22,9500
TCD,2024-10-01 02:53:00,5.22,5.22,5.22,5.22,13500
TCD,2024-10-01 02:54:00,5.22,5.22,5.21,5.21,3400
TCD,2024-10-01 02:55:00,5.21,5.21,5.21,5.21,800
TCD,2024-10-01 02:57:00,5.21,5.21,5.21,5.21,13300
TCD,2024-10-01 02:58:00,5.21,5.21,5.2,5.2,20000
TCD,2024-10-01 02:59:00,5.2,5.2,5.2,5.2,4000
TCD,2024-10-01 03:00:00,5.2,5.2,5.2,5.2,200
TCD,2024-10-01 03:01:00,5.2,5.2,5.2,5.2,100
TCD,2024-10-01 03:02:00,5.2,5.21,5.2,5.21,25100
TCD,2024-10-01 03:03:00,5.21,5.21,5.2,5.2,100
TCD,2024-10-01 03:04:00,5.2,5.21,5.2,5.21,3400
TCD,2024-10-01 03:05:00,5.21,5.21,5.21,5.21,1000
TCD,2024-10-01 03:09:00,5.21,5.23,5.21,5.23,100
TCD,2024-10-01 03:12:00,5.23,5.23,5.23,5.23,4000
TCD,2024-10-01 03:13:00,5.23,5.24,5.23,5.24,100
TCD,2024-10-01 03:14:00,5.24,5.24,5.24,5.24,8900
TCD,2024-10-01 03:16:00,5.24,5.24,5.24,5.24,500
TCD,2024-10-01 03:19:00,5.24,5.24,5.24,5.24,500
TCD,2024-10-01 03:20:00,5.24,5.24,5.24,5.24,200
TCD,2024-10-01 03:22:00,5.24,5.24,5.24,5.24,5700
TCD,2024-10-01 03:24:00,5.24,5.24,5.24,5.24,500
TCD,2024-10-01 03:26:00,5.24,5.24,5.2,5.2,18600
TCD,2024-10-01 03:29:00,5.2,5.22,5.2,5.22,1500
TCD,2024-10-01 03:32:00,5.22,5.22,5.22,5.22,1400
TCD,2024-10-01 03:34:00,5.22,5.22,5.21,5.22,10600
TCD,2024-10-01 03:41:00,5.22,5.22,5.22,5.22,1300
TCD,2024-10-01 03:42:00,5.22,5.23,5.22,5.23,200
TCD,2024-10-01 03:43:00,5.23,5.23,5.23,5.23,1500
TCD,2024-10-01 03:44:00,5.23,5.23,5.23,5.23,200
TCD,2024-10-01 03:45:00,5.23,5.23,5.23,5.23,500
TCD,2024-10-01 03:46:00,5.23,5.23,5.23,5.23,300
TCD,2024-10-01 03:47:00,5.23,5.24,5.23,5.23,5100
TCD,2024-10-01 03:49:00,5.23,5.23,5.23,5.23,1000
TCD,2024-10-01 03:56:00,5.23,5.24,5.23,5.24,1700
TCD,2024-10-01 03:58:00,5.24,5.24,5.24,5.24,100
TCD,2024-10-01 03:59:00,5.24,5.24,5.23,5.23,2100
TCD,2024-10-01 04:01:00,5.23,5.23,5.23,5.23,900
TCD,2024-10-01 04:04:00,5.23,5.23,5.23,5.23,2100
TCD,2024-10-01 04:06:00,5.23,5.23,5.23,5.23,500
TCD,2024-10-01 04:07:00,5.23,5.24,5.23,5.23,26500
TCD,2024-10-01 04:08:00,5.23,5.24,5.23,5.24,400
TCD,2024-10-01 04:09:00,5.24,5.25,5.24,5.25,20100
TCD,2024-10-01 04:10:00,5.25,5.26,5.25,5.26,100
TCD,2024-10-01 04:11:00,5.26,5.26,5.25,5.25,500
TCD,2024-10-01 04:12:00,5.25,5.25,5.25,5.25,5400
TCD,2024-10-01 04:13:00,5.25,5.25,5.25,5.25,9700
TCD,2024-10-01 04:15:00,5.25,5.26,5.25,5.26,800
TCD,2024-10-01 04:17:00,5.26,5.26,5.26,5.26,1000
TCD,2024-10-01 04:18:00,5.26,5.26,5.25,5.25,4400
TCD,2024-10-01 04:19:00,5.25,5.25,5.25,5.25,19500
TCD,2024-10-01 04:25:00,5.25,5.25,5.22,5.22,20500
TCD,2024-10-01 06:00:00,5.22,5.25,5.22,5.25,10200
TCD,2024-10-01 06:02:00,5.25,5.25,5.22,5.22,2200
TCD,2024-10-01 06:05:00,5.22,5.23,5.22,5.22,9200
TCD,2024-10-01 06:06:00,5.22,5.22,5.22,5.22,5600
TCD,2024-10-01 06:08:00,5.22,5.23,5.22,5.23,500
TCD,2024-10-01 06:09:00,5.23,5.23,5.23,5.23,100
TCD,2024-10-01 06:10:00,5.23,5.23,5.23,5.23,200
TCD,2024-10-01 06:11:00,5.23,5.25,5.23,5.25,10100
TCD,2024-10-01 06:12:00,5.25,5.25,5.25,5.25,5400
TCD,2024-10-01 06:13:00,5.25,5.25,5.24,5.25,2500
TCD,2024-10-01 06:14:00,5.25,5.25,5.25,5.25,100
TCD,2024-10-01 06:15:00,5.25,5.25,5.24,5.24,100
TCD,2024-10-01 06:16:00,5.24,5.24,5.24,5.24,100
TCD,2024-10-01 06:17:00,5.24,5.25,5.24,5.24,1000
TCD,2024-10-01 06:18:00,5.24,5.25,5.24,5.24,3400
TCD,2024-10-01 06:19:00,5.24,5.24,5.24,5.24,1500
TCD,2024-10-01 06:20:00,5.24,5.25,5.24,5.25,3800
TCD,2024-10-01 06:21:00,5.25,5.25,5.24,5.24,400
TCD,2024-10-01 06:22:00,5.24,5.24,5.24,5.24,6300
TCD,2024-10-01 06:23:00,5.24,5.24,5.24,5.24,200
TCD,2024-10-01 06:24:00,5.24,5.25,5.24,5.24,16000
TCD,2024-10-01 06:25:00,5.24,5.24,5.24,5.24,1100
TCD,2024-10-01 06:26:00,5.24,5.24,5.24,5.24,100
TCD,2024-10-01 06:28:00,5.24,5.24,5.23,5.23,12000
TCD,2024-10-01 06:29:00,5.23,5.23,5.23,5.23,4300
TCD,2024-10-01 06:30:00,5.23,5.23,5.23,5.23,4700
TCD,2024-10-01 06:31:00,5.23,5.23,5.22,5.22,8000
TCD,2024-10-01 06:32:00,5.22,5.23,5.22,5.23,200
TCD,2024-10-01 06:33:00,5.23,5.23,5.23,5.23,1000
TCD,2024-10-01 06:34:00,5.23,5.25,5.23,5.25,10100
TCD,2024-10-01 06:35:00,5.25,5.25,5.25,5.25,8000
