ticker,time,open,high,low,close,volume
DDV,2025-01-02 02:01:00,19.17,19.17,19.07,19.07,400
DDV,2025-01-02 02:02:00,19.07,19.07,19.07,19.07,1700
DDV,2025-01-02 02:04:00,19.07,19.07,19.07,19.07,800
DDV,2025-01-02 02:14:00,19.07,19.07,19.07,19.07,2000
DDV,2025-01-02 02:15:00,19.07,19.07,19.07,19.07,500
DDV,2025-01-02 02:16:00,19.07,19.07,19.07,19.07,1300
DDV,2025-01-02 02:17:00,19.07,19.07,19.07,19.07,1000
DDV,2025-01-02 02:18:00,19.07,19.07,19.07,19.07,100
DDV,2025-01-02 02:20:00,19.07,19.07,19.07,19.07,3500
DDV,2025-01-02 02:21:00,19.07,19.07,19.07,19.07,300
DDV,2025-01-02 02:22:00,19.07,19.07,19.07,19.07,500
DDV,2025-01-02 02:25:00,19.07,19.07,19.07,19.07,400
DDV,2025-01-02 02:27:00,19.07,19.07,19.07,19.07,2600
DDV,2025-01-02 02:28:00,19.07,19.17,19.07,19.07,8100
DDV,2025-01-02 02:29:00,19.07,19.07,19.07,19.07,5400
DDV,2025-01-02 02:30:00,19.07,19.07,19.07,19.07,6700
DDV,2025-01-02 02:32:00,19.17,19.17,19.07,19.07,1100
DDV,2025-01-02 02:36:00,19.07,19.07,19.07,19.07,200
DDV,2025-01-02 02:37:00,19.17,19.17,19.17,19.17,100
DDV,2025-01-02 02:38:00,19.07,19.07,19.07,19.07,100
DDV,2025-01-02 02:39:00,19.07,19.07,19.07,19.07,900
DDV,2025-01-02 02:43:00,19.07,19.07,19.07,19.07,500
DDV,2025-01-02 02:47:00,19.07,19.07,19.07,19.07,2200
DDV,2025-01-02 02:52:00,19.17,19.17,19.17,19.17,1300
DDV,2025-01-02 02:53:00,19.17,19.17,19.17,19.17,500
DDV,2025-01-02 02:54:00,19.17,19.17,19.17,19.17,200
DDV,2025-01-02 02:56:00,19.17,19.17,19.17,19.17,2500
DDV,2025-01-02 02:58:00,19.17,19.17,19.17,19.17,500
DDV,2025-01-02 02:59:00,19.17,19.27,19.17,19.27,10700
DDV,2025-01-02 03:01:00,19.27,19.27,19.27,19.27,300
DDV,2025-01-02 03:02:00,19.17,19.17,19.17,19.17,300
DDV,2025-01-02 03:03:00,19.17,19.17,19.17,19.17,6500
DDV,2025-01-02 03:04:00,19.17,19.17,19.17,19.17,2000
DDV,2025-01-02 03:05:00,19.17,19.17,19.17,19.17,100
DDV,2025-01-02 03:06:00,19.17,19.17,19.17,19.17,2000
DDV,2025-01-02 03:09:00,19.27,19.27,19.27,19.27,500
DDV,2025-01-02 03:10:00,19.27,19.27,19.27,19.27,13300
DDV,2025-01-02 03:11:00,19.27,19.27,19.27,19.27,12800
DDV,2025-01-02 03:12:00,19.27,19.36,19.27,19.36,1100
DDV,2025-01-02 03:13:00,19.36,19.56,19.36,19.56,45900
DDV,2025-01-02 03:14:00,19.46,19.56,19.46,19.46,22800
DDV,2025-01-02 03:15:00,19.46,19.46,19.46,19.46,11000
DDV,2025-01-02 03:16:00,19.46,19.46,19.36,19.36,200
DDV,2025-01-02 03:17:00,19.36,19.46,19.36,19.46,10500
DDV,2025-01-02 03:18:00,19.36,19.36,19.36,19.36,35600
DDV,2025-01-02 03:19:00,19.36,19.36,19.36,19.36,17900
DDV,2025-01-02 03:20:00,19.27,19.27,19.27,19.27,3000
DDV,2025-01-02 03:21:00,19.27,19.27,19.27,19.27,300
DDV,2025-01-02 03:22:00,19.36,19.36,19.36,19.36,5600
DDV,2025-01-02 03:24:00,19.36,19.36,19.36,19.36,200
DDV,2025-01-02 03:26:00,19.36,19.36,19.36,19.36,3200
DDV,2025-01-02 03:27:00,19.36,19.36,19.36,19.36,100
DDV,2025-01-02 03:28:00,19.36,19.36,19.36,19.36,200
DDV,2025-01-02 03:30:00,19.36,19.36,19.36,19.36,500
DDV,2025-01-02 03:31:00,19.36,19.36,19.36,19.36,20900
DDV,2025-01-02 03:33:00,19.36,19.36,19.36,19.36,1300
DDV,2025-01-02 03:34:00,19.36,19.36,19.36,19.36,500
DDV,2025-01-02 03:36:00,19.27,19.27,19.27,19.27,20000
DDV,2025-01-02 03:37:00,19.27,19.27,19.27,19.27,400
DDV,2025-01-02 03:38:00,19.27,19.27,19.27,19.27,500
DDV,2025-01-02 03:39:00,19.27,19.27,19.27,19.27,2000
DDV,2025-01-02 03:41:00,19.27,19.27,19.27,19.27,9400
DDV,2025-01-02 03:42:00,19.36,19.36,19.36,19.36,1000
DDV,2025-01-02 03:43:00,19.36,19.36,19.36,19.36,100
DDV,2025-01-02 03:46:00,19.27,19.27,19.27,19.27,1000
DDV,2025-01-02 03:47:00,19.27,19.27,19.27,19.27,5000
DDV,2025-01-02 03:49:00,19.27,19.27,19.27,19.27,1000
DDV,2025-01-02 03:50:00,19.27,19.27,19.27,19.27,1400
DDV,2025-01-02 03:53:00,19.27,19.27,19.27,19.27,300
DDV,2025-01-02 03:59:00,19.27,19.27,19.27,19.27,10000
DDV,2025-01-02 04:01:00,19.27,19.27,19.27,19.27,10000
DDV,2025-01-02 04:02:00,19.27,19.27,19.27,19.27,500
DDV,2025-01-02 04:03:00,19.27,19.27,19.27,19.27,3000
DDV,2025-01-02 04:04:00,19.27,19.27,19.27,19.27,14000
DDV,2025-01-02 04:12:00,19.36,19.36,19.36,19.36,400
DDV,2025-01-02 04:13:00,19.27,19.27,19.27,19.27,500
DDV,2025-01-02 04:14:00,19.36,19.36,19.36,19.36,1700
DDV,2025-01-02 04:17:00,19.36,19.36,19.36,19.36,500
DDV,2025-01-02 04:18:00,19.36,19.36,19.36,19.36,500
DDV,2025-01-02 04:24:00,19.27,19.27,19.27,19.27,3000
DDV,2025-01-02 04:25:00,19.27,19.27,19.27,19.27,1000
DDV,2025-01-02 06:00:00,19.27,19.27,19.27,19.27,42000
DDV,2025-01-02 06:02:00,19.27,19.27,19.27,19.27,3000
DDV,2025-01-02 06:03:00,19.17,19.17,19.17,19.17,22200
DDV,2025-01-02 06:04:00,19.17,19.17,19.17,19.17,5100
DDV,2025-01-02 06:05:00,19.07,19.07,19.07,19.07,1000
DDV,2025-01-02 06:06:00,19.07,19.07,19.07,19.07,800
DDV,2025-01-02 06:09:00,19.17,19.17,19.17,19.17,300
DDV,2025-01-02 06:10:00,19.17,19.17,19.17,19.17,1500
DDV,2025-01-02 06:11:00,19.17,19.17,19.07,19.17,2500
DDV,2025-01-02 06:12:00,19.17,19.17,19.17,19.17,5800
DDV,2025-01-02 06:13:00,19.17,19.17,19.17,19.17,3300
DDV,2025-01-02 06:14:00,19.17,19.17,19.17,19.17,300
