ticker,time,open,high,low,close,volume
MSR,2025-02-03 02:00:00,10.9,11.0,10.9,11.0,10400
MSR,2025-02-03 02:01:00,11.0,11.1,11.0,11.1,25000
MSR,2025-02-03 02:02:00,11.0,11.0,11.0,11.0,18500
MSR,2025-02-03 02:03:00,11.0,11.0,11.0,11.0,1000
MSR,2025-02-03 02:04:00,11.0,11.0,11.0,11.0,2000
MSR,2025-02-03 02:05:00,11.0,11.0,11.0,11.0,1100
MSR,2025-02-03 02:06:00,11.0,11.0,11.0,11.0,4300
MSR,2025-02-03 02:07:00,11.0,11.0,11.0,11.0,400
MSR,2025-02-03 02:09:00,10.9,10.9,10.9,10.9,1500
MSR,2025-02-03 02:10:00,10.9,10.9,10.9,10.9,200
MSR,2025-02-03 02:13:00,10.9,10.9,10.9,10.9,1800
MSR,2025-02-03 02:15:00,10.8,10.8,10.8,10.8,2500
MSR,2025-02-03 02:16:00,10.9,10.9,10.8,10.8,4500
MSR,2025-02-03 02:17:00,10.8,10.8,10.8,10.8,2600
MSR,2025-02-03 02:24:00,10.8,10.8,10.8,10.8,1700
MSR,2025-02-03 02:25:00,10.8,10.8,10.8,10.8,500
MSR,2025-02-03 02:28:00,10.8,10.8,10.8,10.8,1400
MSR,2025-02-03 02:30:00,10.8,10.8,10.8,10.8,700
MSR,2025-02-03 02:31:00,10.8,10.8,10.8,10.8,1300
MSR,2025-02-03 02:36:00,10.9,10.9,10.9,10.9,3700
MSR,2025-02-03 02:42:00,11.0,11.0,11.0,11.0,1000
MSR,2025-02-03 02:45:00,11.0,11.0,11.0,11.0,700
MSR,2025-02-03 02:48:00,10.9,10.9,10.9,10.9,2100
MSR,2025-02-03 02:49:00,10.9,10.9,10.9,10.9,300
MSR,2025-02-03 02:51:00,10.9,10.9,10.9,10.9,2000
MSR,2025-02-03 02:52:00,10.8,10.8,10.8,10.8,10000
MSR,2025-02-03 02:59:00,10.8,10.8,10.8,10.8,1900
MSR,2025-02-03 03:03:00,10.9,10.9,10.9,10.9,4800
MSR,2025-02-03 03:06:00,10.9,10.9,10.9,10.9,10500
MSR,2025-02-03 03:11:00,10.9,10.9,10.9,10.9,2500
MSR,2025-02-03 03:23:00,10.9,10.9,10.9,10.9,200
MSR,2025-02-03 03:25:00,10.9,10.9,10.9,10.9,1000
MSR,2025-02-03 03:32:00,10.9,10.9,10.9,10.9,10000
