ticker,time,open,high,low,close,volume
L18,2025-04-01 02:18:00,35.67,35.67,35.67,35.67,100
L18,2025-04-01 02:44:00,35.58,35.58,35.58,35.58,1300
L18,2025-04-01 02:46:00,35.5,35.5,35.5,35.5,3000
L18,2025-04-01 02:58:00,35.42,35.42,35.42,35.42,2800
L18,2025-04-01 03:00:00,35.42,35.42,35.42,35.42,1500
L18,2025-04-01 03:08:00,35.33,35.33,35.33,35.33,10000
L18,2025-04-01 03:10:00,35.33,35.33,35.33,35.33,500
L18,2025-04-01 03:14:00,35.33,35.33,35.33,35.33,1500
L18,2025-04-01 03:15:00,35.33,35.33,35.33,35.33,500
L18,2025-04-01 03:22:00,35.5,35.5,35.5,35.5,100
L18,2025-04-01 03:26:00,35.5,35.5,35.5,35.5,100
L18,2025-04-01 03:27:00,35.58,35.58,35.58,35.58,900
L18,2025-04-01 03:28:00,35.75,35.75,35.75,35.75,2300
L18,2025-04-01 03:29:00,35.75,35.75,35.75,35.75,1800
L18,2025-04-01 03:31:00,35.75,35.75,35.75,35.75,300
L18,2025-04-01 03:33:00,35.75,35.75,35.75,35.75,2000
L18,2025-04-01 03:35:00,35.83,35.83,35.83,35.83,3600
L18,2025-04-01 03:37:00,35.83,36.25,35.83,36.25,16800
L18,2025-04-01 03:38:00,36.25,36.5,36.25,36.5,10900
L18,2025-04-01 03:39:00,36.5,36.5,36.5,36.5,1600
L18,2025-04-01 03:40:00,36.67,36.67,36.67,36.67,1600
L18,2025-04-01 03:42:00,36.58,36.58,36.58,36.58,500
L18,2025-04-01 03:43:00,36.58,36.58,36.58,36.58,200
L18,2025-04-01 03:44:00,36.42,36.42,36.42,36.42,400
L18,2025-04-01 03:45:00,36.58,36.58,36.58,36.58,500
L18,2025-04-01 03:46:00,36.5,36.5,36.5,36.5,900
L18,2025-04-01 03:48:00,36.42,36.42,36.42,36.42,400
L18,2025-04-01 04:00:00,36.33,36.33,36.33,36.33,700
L18,2025-04-01 04:01:00,36.33,36.42,36.33,36.42,900
L18,2025-04-01 04:05:00,36.42,36.42,36.42,36.42,600
L18,2025-04-01 04:07:00,36.42,36.42,36.42,36.42,400
L18,2025-04-01 04:10:00,36.33,36.33,36.25,36.25,7300
L18,2025-04-01 04:12:00,36.25,36.25,36.25,36.25,1000
L18,2025-04-01 04:15:00,36.25,36.25,36.25,36.25,3300
L18,2025-04-01 04:20:00,36.25,36.25,36.25,36.25,700
L18,2025-04-01 04:28:00,36.08,36.08,36.08,36.08,200
L18,2025-04-01 06:15:00,36.17,36.25,36.17,36.25,600
L18,2025-04-01 06:19:00,36.25,36.25,36.25,36.25,100
L18,2025-04-01 06:22:00,36.17,36.17,36.17,36.17,700
L18,2025-04-01 06:23:00,36.17,36.17,36.17,36.17,1000
