ticker,time,open,high,low,close,volume
GAS,2025-05-05 02:15:00,58.4,58.4,58.4,58.4,14000
GAS,2025-05-05 02:16:00,58.4,58.4,58.3,58.4,8600
GAS,2025-05-05 02:17:00,58.4,58.5,58.4,58.5,1900
GAS,2025-05-05 02:18:00,58.5,58.6,58.5,58.6,6200
GAS,2025-05-05 02:19:00,58.5,58.5,58.5,58.5,1000
GAS,2025-05-05 02:20:00,58.5,58.5,58.5,58.5,3000
GAS,2025-05-05 02:21:00,58.5,58.5,58.5,58.5,1200
GAS,2025-05-05 02:22:00,58.5,58.5,58.4,58.4,2700
GAS,2025-05-05 02:23:00,58.4,58.4,58.3,58.3,7700
GAS,2025-05-05 02:25:00,58.3,58.3,58.3,58.3,700
GAS,2025-05-05 02:26:00,58.4,58.5,58.4,58.5,4000
GAS,2025-05-05 02:27:00,58.5,58.5,58.3,58.4,2000
GAS,2025-05-05 02:28:00,58.4,58.4,58.3,58.3,1100
GAS,2025-05-05 02:29:00,58.4,58.4,58.4,58.4,2900
GAS,2025-05-05 02:30:00,58.3,58.3,58.3,58.3,2600
GAS,2025-05-05 02:31:00,58.4,58.5,58.4,58.5,1000
GAS,2025-05-05 02:32:00,58.4,58.4,58.4,58.4,600
GAS,2025-05-05 02:33:00,58.4,58.4,58.4,58.4,600
GAS,2025-05-05 02:34:00,58.4,58.4,58.4,58.4,2000
GAS,2025-05-05 02:35:00,58.4,58.4,58.3,58.3,1800
GAS,2025-05-05 02:36:00,58.4,58.4,58.3,58.3,1800
GAS,2025-05-05 02:37:00,58.3,58.3,58.2,58.2,600
GAS,2025-05-05 02:38:00,58.2,58.3,58.1,58.1,9500
GAS,2025-05-05 02:39:00,58.1,58.2,58.1,58.1,3300
GAS,2025-05-05 02:40:00,58.1,58.1,58.1,58.1,1100
GAS,2025-05-05 02:41:00,58.1,58.1,58.1,58.1,400
GAS,2025-05-05 02:42:00,58.1,58.2,58.1,58.2,1000
GAS,2025-05-05 02:43:00,58.2,58.2,58.1,58.2,2400
GAS,2025-05-05 02:45:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 02:46:00,58.2,58.2,58.1,58.1,1500
GAS,2025-05-05 02:47:00,58.1,58.1,58.1,58.1,700
GAS,2025-05-05 02:48:00,58.1,58.1,58.1,58.1,800
GAS,2025-05-05 02:49:00,58.1,58.1,58.1,58.1,100
GAS,2025-05-05 02:51:00,58.1,58.1,58.1,58.1,500
GAS,2025-05-05 02:52:00,58.1,58.2,58.1,58.2,2500
GAS,2025-05-05 02:53:00,58.3,58.3,58.2,58.2,1000
GAS,2025-05-05 02:54:00,58.2,58.2,58.2,58.2,4100
GAS,2025-05-05 02:55:00,58.2,58.2,58.1,58.1,600
GAS,2025-05-05 02:56:00,58.1,58.1,58.1,58.1,1700
GAS,2025-05-05 02:57:00,58.1,58.1,58.1,58.1,1000
GAS,2025-05-05 03:00:00,58.1,58.1,58.1,58.1,1000
GAS,2025-05-05 03:01:00,58.1,58.1,58.1,58.1,200
GAS,2025-05-05 03:02:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 03:03:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:04:00,58.2,58.2,58.2,58.2,600
GAS,2025-05-05 03:06:00,58.1,58.1,58.1,58.1,1500
GAS,2025-05-05 03:07:00,58.2,58.2,58.2,58.2,300
GAS,2025-05-05 03:10:00,58.2,58.2,58.2,58.2,300
GAS,2025-05-05 03:11:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:12:00,58.2,58.2,58.2,58.2,4100
GAS,2025-05-05 03:13:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:14:00,58.3,58.3,58.3,58.3,800
GAS,2025-05-05 03:21:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:23:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 03:25:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:26:00,58.2,58.2,58.2,58.2,3400
GAS,2025-05-05 03:28:00,58.3,58.3,58.3,58.3,400
GAS,2025-05-05 03:30:00,58.3,58.3,58.2,58.2,2900
GAS,2025-05-05 03:35:00,58.3,58.3,58.2,58.2,8100
GAS,2025-05-05 03:36:00,58.2,58.2,58.2,58.2,1000
GAS,2025-05-05 03:39:00,58.3,58.3,58.3,58.3,2000
GAS,2025-05-05 03:42:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:45:00,58.2,58.2,58.2,58.2,2000
GAS,2025-05-05 03:46:00,58.2,58.2,58.2,58.2,500
GAS,2025-05-05 03:50:00,58.2,58.3,58.2,58.3,3500
GAS,2025-05-05 03:51:00,58.3,58.3,58.2,58.2,1200
GAS,2025-05-05 03:52:00,58.2,58.2,58.2,58.2,300
GAS,2025-05-05 03:53:00,58.3,58.3,58.2,58.2,1200
GAS,2025-05-05 03:54:00,58.2,58.2,58.2,58.2,400
GAS,2025-05-05 03:56:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:57:00,58.2,58.2,58.2,58.2,200
GAS,2025-05-05 03:58:00,58.2,58.2,58.2,58.2,1600
GAS,2025-05-05 04:00:00,58.2,58.2,58.2,58.2,2700
GAS,2025-05-05 04:01:00,58.2,58.3,58.2,58.2,4600
GAS,2025-05-05 04:04:00,58.2,58.2,58.2,58.2,1200
GAS,2025-05-05 04:05:00,58.2,58.2,58.2,58.2,5500
GAS,2025-05-05 04:06:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 04:10:00,58.2,58.2,58.2,58.2,300
GAS,2025-05-05 04:12:00,58.1,58.1,58.1,58.1,1000
GAS,2025-05-05 04:13:00,58.2,58.2,58.1,58.1,27300
GAS,2025-05-05 04:16:00,58.1,58.1,58.1,58.1,300
GAS,2025-05-05 04:17:00,58.1,58.1,58.1,58.1,4100
GAS,2025-05-05 04:19:00,58.1,58.1,58.1,58.1,500
GAS,2025-05-05 04:20:00,58.1,58.1,58.1,58.1,100
GAS,2025-05-05 04:21:00,58.1,58.1,58.1,58.1,200
GAS,2025-05-05 04:23:00,58.1,58.1,58.1,58.1,500
GAS,2025-05-05 04:24:00,58.2,58.2,58.2,58.2,300
GAS,2025-05-05 04:25:00,58.1,58.1,58.0,58.0,8800
GAS,2025-05-05 04:26:00,58.0,58.0,58.0,58.0,700
GAS,2025-05-05 04:27:00,58.1,58.1,58.0,58.0,300
GAS,2025-05-05 04:28:00,58.1,58.1,58.1,58.1,100
GAS,2025-05-05 04:29:00,58.1,58.1,58.0,58.1,1200
GAS,2025-05-05 06:00:00,58.1,58.1,58.1,58.1,2700
GAS,2025-05-05 06:01:00,58.1,58.1,58.1,58.1,400
GAS,2025-05-05 06:02:00,58.1,58.1,58.1,58.1,100
GAS,2025-05-05 06:03:00,58.1,58.1,58.0,58.0,5200
GAS,2025-05-05 06:04:00,58.0,58.0,58.0,58.0,24500
GAS,2025-05-05 06:06:00,58.0,58.0,58.0,58.0,18400
GAS,2025-05-05 06:07:00,58.0,58.0,57.9,57.9,1500
GAS,2025-05-05 06:08:00,58.0,58.0,57.8,58.0,15300
GAS,2025-05-05 06:10:00,58.0,58.1,58.0,58.1,26600
GAS,2025-05-05 06:11:00,58.2,58.2,58.2,58.2,500
GAS,2025-05-05 06:13:00,58.2,58.2,58.2,58.2,18400
GAS,2025-05-05 06:14:00,58.2,58.2,58.1,58.1,9200
GAS,2025-05-05 06:15:00,58.2,58.2,58.1,58.1,2400
GAS,2025-05-05 06:16:00,58.1,58.2,58.1,58.2,200
GAS,2025-05-05 06:17:00,58.2,58.2,58.2,58.2,10300
GAS,2025-05-05 06:18:00,58.1,58.1,58.1,58.1,10200
GAS,2025-05-05 06:19:00,58.1,58.1,58.1,58.1,2000
GAS,2025-05-05 06:20:00,58.1,58.2,58.1,58.2,3900
GAS,2025-05-05 06:21:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 06:22:00,58.1,58.1,58.1,58.1,200
GAS,2025-05-05 06:23:00,58.1,58.1,58.1,58.1,1000
GAS,2025-05-05 06:25:00,58.1,58.1,58.1,58.1,100
GAS,2025-05-05 06:27:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 06:28:00,58.2,58.2,58.0,58.2,19500
GAS,2025-05-05 06:30:00,58.1,58.1,58.1,58.1,500
GAS,2025-05-05 06:31:00,58.1,58.1,58.1,58.1,1200
GAS,2025-05-05 06:32:00,58.1,58.1,58.1,58.1,1100
GAS,2025-05-05 06:33:00,58.1,58.1,58.1,58.1,800
GAS,2025-05-05 06:34:00,58.2,58.2,58.2,58.2,10000
GAS,2025-05-05 06:35:00,58.2,58.2,58.2,58.2,700
GAS,2025-05-05 06:36:00,58.2,58.2,58.2,58.2,3200
GAS,2025-05-05 06:38:00,58.2,58.2,58.2,58.2,100
GAS,2025-05-05 06:40:00,58.3,58.3,58.3,58.3,18600
GAS,2025-05-05 06:42:00,58.3,58.3,58.3,58.3,1000
