ticker,time,open,high,low,close,volume
ACV,2025-07-01 02:00:00,59.67,59.67,59.54,59.54,1100
ACV,2025-07-01 02:01:00,59.54,59.54,59.54,59.54,1900
ACV,2025-07-01 02:02:00,59.54,59.54,59.54,59.54,100
ACV,2025-07-01 02:04:00,59.24,59.24,59.24,59.24,100
ACV,2025-07-01 02:05:00,59.24,59.24,59.0,59.0,1000
ACV,2025-07-01 02:06:00,59.0,59.0,59.0,59.0,600
ACV,2025-07-01 02:07:00,58.94,59.0,58.88,58.94,3700
ACV,2025-07-01 02:09:00,58.94,58.94,58.94,58.94,1100
ACV,2025-07-01 02:10:00,58.94,58.94,58.94,58.94,600
ACV,2025-07-01 02:11:00,58.94,58.94,58.88,58.88,200
ACV,2025-07-01 02:12:00,58.88,58.88,58.88,58.88,100
ACV,2025-07-01 02:13:00,58.94,58.94,58.94,58.94,1000
ACV,2025-07-01 02:14:00,58.94,58.94,58.88,58.88,600
ACV,2025-07-01 02:15:00,58.94,58.94,58.94,58.94,1000
ACV,2025-07-01 02:16:00,58.94,59.0,58.94,59.0,1200
ACV,2025-07-01 02:18:00,59.06,59.06,59.06,59.06,1100
ACV,2025-07-01 02:20:00,59.06,59.06,58.88,58.88,9300
ACV,2025-07-01 02:21:00,58.94,58.94,58.82,58.82,1800
ACV,2025-07-01 02:22:00,58.82,58.82,58.75,58.75,3100
ACV,2025-07-01 02:23:00,58.69,58.69,58.57,58.57,6800
ACV,2025-07-01 02:24:00,58.57,58.57,58.51,58.51,6100
ACV,2025-07-01 02:25:00,58.51,58.51,58.33,58.45,10700
ACV,2025-07-01 02:26:00,58.33,58.63,58.33,58.63,15500
ACV,2025-07-01 02:27:00,58.63,58.63,58.51,58.63,1400
ACV,2025-07-01 02:28:00,58.51,58.82,58.51,58.82,4100
ACV,2025-07-01 02:29:00,58.69,58.82,58.69,58.69,2200
ACV,2025-07-01 02:30:00,58.63,58.69,58.63,58.63,4700
ACV,2025-07-01 02:31:00,58.63,58.69,58.63,58.69,5400
ACV,2025-07-01 02:32:00,58.69,58.75,58.63,58.75,1400
ACV,2025-07-01 02:34:00,58.75,58.75,58.75,58.75,900
ACV,2025-07-01 02:35:00,58.75,58.75,58.69,58.69,3000
ACV,2025-07-01 02:36:00,58.63,58.69,58.63,58.63,1600
ACV,2025-07-01 02:37:00,58.69,58.75,58.63,58.75,9600
ACV,2025-07-01 02:38:00,58.69,58.69,58.69,58.69,2000
ACV,2025-07-01 02:39:00,58.69,58.75,58.63,58.69,11800
ACV,2025-07-01 02:40:00,58.63,58.69,58.63,58.69,6900
ACV,2025-07-01 02:41:00,58.57,58.69,58.57,58.69,3000
ACV,2025-07-01 02:42:00,58.69,58.69,58.69,58.69,100
ACV,2025-07-01 02:43:00,58.63,58.69,58.63,58.69,1400
ACV,2025-07-01 02:44:00,58.69,58.69,58.69,58.69,200
ACV,2025-07-01 02:45:00,58.63,58.69,58.63,58.69,1700
ACV,2025-07-01 02:46:00,58.69,58.69,58.69,58.69,200
ACV,2025-07-01 02:48:00,58.69,58.69,58.69,58.69,1900
ACV,2025-07-01 02:49:00,58.63,58.69,58.63,58.69,2700
ACV,2025-07-01 02:50:00,58.63,58.69,58.63,58.69,3700
ACV,2025-07-01 02:51:00,58.69,58.69,58.57,58.57,1100
ACV,2025-07-01 02:52:00,58.57,58.63,58.57,58.57,2300
ACV,2025-07-01 02:53:00,58.51,58.51,58.51,58.51,2700
ACV,2025-07-01 02:54:00,58.51,58.51,58.39,58.45,9900
ACV,2025-07-01 02:55:00,58.39,58.39,58.33,58.33,28200
ACV,2025-07-01 02:56:00,58.33,58.33,58.21,58.21,8800
ACV,2025-07-01 02:57:00,58.33,58.39,58.21,58.39,22600
ACV,2025-07-01 02:58:00,58.39,58.45,58.39,58.45,4300
ACV,2025-07-01 02:59:00,58.39,58.45,58.39,58.45,6100
ACV,2025-07-01 03:00:00,58.39,58.39,58.33,58.33,8800
ACV,2025-07-01 03:01:00,58.33,58.33,58.33,58.33,700
ACV,2025-07-01 03:02:00,58.27,58.33,58.21,58.33,4900
ACV,2025-07-01 03:03:00,58.33,58.33,58.27,58.27,400
ACV,2025-07-01 03:04:00,58.21,58.27,58.21,58.27,3200
ACV,2025-07-01 03:05:00,58.27,58.27,58.27,58.27,100
ACV,2025-07-01 03:06:00,58.27,58.33,58.27,58.33,3100
ACV,2025-07-01 03:07:00,58.33,58.33,58.27,58.27,1600
ACV,2025-07-01 03:08:00,58.27,58.33,58.27,58.33,5600
ACV,2025-07-01 03:09:00,58.33,58.33,58.27,58.33,1700
ACV,2025-07-01 03:10:00,58.33,58.39,58.27,58.39,3000
ACV,2025-07-01 03:11:00,58.33,58.33,58.33,58.33,700
ACV,2025-07-01 03:12:00,58.33,58.33,58.27,58.33,9300
ACV,2025-07-01 03:13:00,58.27,58.33,58.27,58.33,1200
ACV,2025-07-01 03:14:00,58.33,58.33,58.33,58.33,600
ACV,2025-07-01 03:16:00,58.33,58.33,58.33,58.33,700
ACV,2025-07-01 03:17:00,58.33,58.33,58.27,58.27,300
ACV,2025-07-01 03:18:00,58.27,58.27,58.21,58.21,5600
ACV,2025-07-01 03:19:00,58.27,58.27,58.21,58.27,6900
ACV,2025-07-01 03:20:00,58.21,58.27,58.21,58.27,3600
ACV,2025-07-01 03:21:00,58.27,58.27,58.27,58.27,600
ACV,2025-07-01 03:22:00,58.21,58.21,58.21,58.21,3800
ACV,2025-07-01 03:23:00,58.21,58.27,58.21,58.27,1600
ACV,2025-07-01 03:24:00,58.27,58.27,58.27,58.27,300
ACV,2025-07-01 03:25:00,58.27,58.27,58.15,58.21,7900
