ticker,time,open,high,low,close,volume
HTN,2025-07-01 02:15:00,9.96,9.96,9.96,9.96,6000
HTN,2025-07-01 02:16:00,9.95,9.95,9.95,9.95,200
HTN,2025-07-01 02:17:00,9.87,9.95,9.87,9.95,2700
HTN,2025-07-01 02:18:00,9.95,9.95,9.95,9.95,100
HTN,2025-07-01 02:19:00,9.95,9.95,9.95,9.95,200
HTN,2025-07-01 02:21:00,9.9,9.9,9.9,9.9,300
HTN,2025-07-01 02:23:00,9.9,9.9,9.9,9.9,31300
HTN,2025-07-01 02:24:00,9.9,9.9,9.89,9.89,14200
HTN,2025-07-01 02:25:00,9.89,9.89,9.89,9.89,8700
HTN,2025-07-01 02:26:00,9.89,9.89,9.89,9.89,16500
HTN,2025-07-01 02:27:00,9.89,9.89,9.89,9.89,7500
HTN,2025-07-01 02:28:00,9.89,9.89,9.89,9.89,2000
HTN,2025-07-01 02:29:00,9.89,9.89,9.89,9.89,100
HTN,2025-07-01 02:30:00,9.89,9.89,9.89,9.89,700
HTN,2025-07-01 02:33:00,9.89,9.89,9.89,9.89,300
HTN,2025-07-01 02:40:00,9.89,9.89,9.89,9.89,16500
HTN,2025-07-01 02:41:00,9.89,9.89,9.89,9.89,23400
HTN,2025-07-01 02:43:00,9.94,9.94,9.94,9.94,1200
HTN,2025-07-01 02:45:00,9.94,9.95,9.94,9.95,600
HTN,2025-07-01 02:46:00,9.95,9.95,9.95,9.95,1000
HTN,2025-07-01 02:47:00,9.95,9.96,9.95,9.96,4300
HTN,2025-07-01 02:48:00,9.96,9.96,9.96,9.96,2600
HTN,2025-07-01 02:49:00,9.97,9.98,9.97,9.98,3700
HTN,2025-07-01 02:50:00,9.98,9.98,9.98,9.98,100
HTN,2025-07-01 02:51:00,9.98,9.98,9.98,9.98,3500
HTN,2025-07-01 02:52:00,9.98,9.98,9.94,9.94,12100
HTN,2025-07-01 02:55:00,9.99,9.99,9.99,9.99,1500
HTN,2025-07-01 02:59:00,9.95,9.95,9.95,9.95,300
