ticker,time,open,high,low,close,volume
PHR,2025-07-01 02:15:00,60.6,60.6,60.5,60.5,28300
PHR,2025-07-01 02:16:00,60.5,60.5,60.5,60.5,1000
PHR,2025-07-01 02:17:00,60.5,60.5,60.3,60.3,4000
PHR,2025-07-01 02:18:00,60.3,60.3,60.0,60.0,8400
PHR,2025-07-01 02:19:00,60.1,60.1,60.0,60.0,2400
PHR,2025-07-01 02:20:00,60.0,60.0,59.8,59.8,1600
PHR,2025-07-01 02:21:00,59.8,59.8,59.8,59.8,2600
PHR,2025-07-01 02:22:00,59.8,60.0,59.8,60.0,500
PHR,2025-07-01 02:23:00,59.9,59.9,59.8,59.8,2200
PHR,2025-07-01 02:24:00,59.8,59.8,59.8,59.8,1100
PHR,2025-07-01 02:25:00,59.8,59.8,59.8,59.8,1200
PHR,2025-07-01 02:28:00,59.9,60.0,59.9,60.0,9900
PHR,2025-07-01 02:29:00,60.0,60.2,60.0,60.2,600
PHR,2025-07-01 02:30:00,60.2,60.2,60.0,60.0,2900
PHR,2025-07-01 02:31:00,60.2,60.2,60.1,60.2,12600
PHR,2025-07-01 02:32:00,60.3,60.3,60.3,60.3,2200
PHR,2025-07-01 02:33:00,60.4,60.5,60.4,60.5,3300
PHR,2025-07-01 02:34:00,60.6,60.6,60.5,60.6,800
PHR,2025-07-01 02:35:00,60.6,60.6,60.6,60.6,100
PHR,2025-07-01 02:36:00,60.7,60.8,60.7,60.8,200
PHR,2025-07-01 02:37:00,60.8,60.9,60.8,60.9,7700
PHR,2025-07-01 02:38:00,60.9,60.9,60.8,60.8,9300
PHR,2025-07-01 02:39:00,60.8,60.8,60.7,60.8,2100
PHR,2025-07-01 02:40:00,60.7,60.7,60.6,60.6,7500
PHR,2025-07-01 02:41:00,60.8,60.8,60.6,60.6,5000
PHR,2025-07-01 02:42:00,60.6,60.6,60.6,60.6,300
PHR,2025-07-01 02:43:00,60.7,60.7,60.7,60.7,200
PHR,2025-07-01 02:44:00,60.7,60.7,60.6,60.6,1800
