ticker,time,open,high,low,close,volume
MWG,2025-08-01 02:15:00,65.4,65.5,65.3,65.3,99100
MWG,2025-08-01 02:16:00,65.4,65.4,65.3,65.4,24100
MWG,2025-08-01 02:17:00,65.4,65.4,65.3,65.3,39400
MWG,2025-08-01 02:18:00,65.3,65.3,65.2,65.2,93500
MWG,2025-08-01 02:19:00,65.2,65.3,65.2,65.2,15300
MWG,2025-08-01 02:20:00,65.2,65.3,65.2,65.2,8900
MWG,2025-08-01 02:21:00,65.2,65.3,65.2,65.3,12000
MWG,2025-08-01 02:22:00,65.2,65.3,65.2,65.3,33800
MWG,2025-08-01 02:23:00,65.2,65.4,65.2,65.4,30000
MWG,2025-08-01 02:24:00,65.3,65.5,65.2,65.2,50600
MWG,2025-08-01 02:25:00,65.2,65.3,65.2,65.2,67800
MWG,2025-08-01 02:26:00,65.3,65.4,65.3,65.4,17600
MWG,2025-08-01 02:27:00,65.4,65.4,65.3,65.4,38800
MWG,2025-08-01 02:28:00,65.4,65.4,65.3,65.4,22700
MWG,2025-08-01 02:29:00,65.4,65.5,65.4,65.4,6500
MWG,2025-08-01 02:30:00,65.4,65.5,65.3,65.4,28000
MWG,2025-08-01 02:31:00,65.4,65.5,65.4,65.4,3000
MWG,2025-08-01 02:32:00,65.4,65.4,65.3,65.4,20500
MWG,2025-08-01 02:33:00,65.3,65.5,65.3,65.5,5000
MWG,2025-08-01 02:34:00,65.4,65.4,65.4,65.4,16700
MWG,2025-08-01 02:35:00,65.4,65.4,65.4,65.4,4600
MWG,2025-08-01 02:36:00,65.4,65.5,65.4,65.5,33100
MWG,2025-08-01 02:37:00,65.5,65.9,65.5,65.9,79900
MWG,2025-08-01 02:38:00,65.9,66.6,65.9,66.5,71300
MWG,2025-08-01 02:39:00,66.6,66.7,65.6,66.3,110400
MWG,2025-08-01 02:40:00,66.2,66.5,66.2,66.4,72000
MWG,2025-08-01 02:41:00,66.4,66.5,66.0,66.0,89900
MWG,2025-08-01 02:42:00,66.0,66.0,65.9,66.0,24400
MWG,2025-08-01 02:43:00,66.0,66.3,66.0,66.2,7900
MWG,2025-08-01 02:44:00,66.2,66.3,66.2,66.3,31600
MWG,2025-08-01 02:45:00,66.3,66.3,66.1,66.1,21100
MWG,2025-08-01 02:46:00,66.1,66.2,66.1,66.2,46700
MWG,2025-08-01 02:47:00,66.1,66.3,66.1,66.2,17400
MWG,2025-08-01 02:48:00,66.2,66.3,66.1,66.3,62700
MWG,2025-08-01 02:49:00,66.3,66.3,66.2,66.2,35900
MWG,2025-08-01 02:50:00,66.2,66.2,66.1,66.2,29000
MWG,2025-08-01 02:51:00,66.1,66.2,66.1,66.2,33600
MWG,2025-08-01 02:52:00,66.2,66.3,66.2,66.2,17100
MWG,2025-08-01 02:53:00,66.2,66.3,66.2,66.3,90700
MWG,2025-08-01 02:54:00,66.4,66.4,66.3,66.4,46500
MWG,2025-08-01 02:55:00,66.5,66.5,66.3,66.3,42800
MWG,2025-08-01 02:56:00,66.3,66.4,66.2,66.3,32400
MWG,2025-08-01 02:57:00,66.3,66.3,66.2,66.3,15100
MWG,2025-08-01 02:58:00,66.3,66.4,66.2,66.3,26900
MWG,2025-08-01 02:59:00,66.3,66.3,66.1,66.2,47200
MWG,2025-08-01 03:00:00,66.2,66.2,66.1,66.1,16100
MWG,2025-08-01 03:01:00,66.1,66.2,66.1,66.2,14900
MWG,2025-08-01 03:02:00,66.1,66.2,66.1,66.1,4700
MWG,2025-08-01 03:03:00,66.2,66.2,66.1,66.1,28000
MWG,2025-08-01 03:04:00,66.1,66.1,66.0,66.1,4700
MWG,2025-08-01 03:05:00,66.1,66.1,66.0,66.1,2700
MWG,2025-08-01 03:06:00,66.0,66.1,66.0,66.0,10300
MWG,2025-08-01 03:07:00,66.0,66.0,66.0,66.0,20400
MWG,2025-08-01 03:08:00,66.0,66.1,66.0,66.0,7700
MWG,2025-08-01 03:09:00,66.0,66.0,66.0,66.0,3500
MWG,2025-08-01 03:10:00,66.0,66.0,66.0,66.0,3200
MWG,2025-08-01 03:11:00,66.0,66.1,66.0,66.1,6400
MWG,2025-08-01 03:12:00,66.0,66.1,66.0,66.0,8000
MWG,2025-08-01 03:13:00,66.0,66.1,66.0,66.1,2200
MWG,2025-08-01 03:14:00,66.1,66.1,66.0,66.1,21200
MWG,2025-08-01 03:15:00,66.1,66.2,66.0,66.2,8900
MWG,2025-08-01 03:16:00,66.1,66.2,66.0,66.1,2300
MWG,2025-08-01 03:17:00,66.2,66.2,66.1,66.1,6200
MWG,2025-08-01 03:18:00,66.1,66.2,66.1,66.1,4800
MWG,2025-08-01 03:19:00,66.1,66.2,66.1,66.2,13700
MWG,2025-08-01 03:20:00,66.2,66.2,66.1,66.1,27300
MWG,2025-08-01 03:21:00,66.1,66.1,66.1,66.1,16300
MWG,2025-08-01 03:22:00,66.1,66.1,66.0,66.0,54600
MWG,2025-08-01 03:23:00,66.0,66.0,66.0,66.0,33800
MWG,2025-08-01 03:24:00,66.0,66.0,66.0,66.0,22000
MWG,2025-08-01 03:25:00,66.0,66.0,65.9,65.9,14300
MWG,2025-08-01 03:26:00,65.9,65.9,65.9,65.9,4400
MWG,2025-08-01 03:27:00,65.9,65.9,65.9,65.9,6100
MWG,2025-08-01 03:28:00,66.0,66.0,65.9,65.9,17400
MWG,2025-08-01 03:29:00,65.9,65.9,65.8,65.9,9500
MWG,2025-08-01 03:30:00,65.8,65.9,65.8,65.8,7700
MWG,2025-08-01 03:31:00,65.8,65.8,65.7,65.7,35700
MWG,2025-08-01 03:32:00,65.7,65.7,65.6,65.6,17200
MWG,2025-08-01 03:33:00,65.6,65.6,65.5,65.6,63300
MWG,2025-08-01 03:34:00,65.6,65.6,65.5,65.5,5000
MWG,2025-08-01 03:35:00,65.5,65.6,65.5,65.5,5300
MWG,2025-08-01 03:36:00,65.6,65.6,65.5,65.6,16500
MWG,2025-08-01 03:37:00,65.6,65.6,65.5,65.6,6000
MWG,2025-08-01 03:38:00,65.5,65.6,65.5,65.5,18500
MWG,2025-08-01 03:39:00,65.5,65.7,65.5,65.6,15800
MWG,2025-08-01 03:40:00,65.6,65.6,65.6,65.6,16500
MWG,2025-08-01 03:41:00,65.6,65.7,65.6,65.7,5500
MWG,2025-08-01 03:42:00,65.7,65.7,65.6,65.7,24700
MWG,2025-08-01 03:43:00,65.7,65.7,65.7,65.7,5600
MWG,2025-08-01 03:44:00,65.8,65.8,65.7,65.8,111300
MWG,2025-08-01 03:45:00,65.7,65.8,65.7,65.7,11400
MWG,2025-08-01 03:46:00,65.7,65.7,65.7,65.7,4400
MWG,2025-08-01 03:47:00,65.7,65.7,65.6,65.6,11300
MWG,2025-08-01 03:48:00,65.6,65.7,65.6,65.7,7600
MWG,2025-08-01 03:49:00,65.6,65.6,65.6,65.6,4600
MWG,2025-08-01 03:50:00,65.6,65.7,65.6,65.6,16800
MWG,2025-08-01 03:51:00,65.6,65.6,65.6,65.6,4800
MWG,2025-08-01 03:52:00,65.6,65.7,65.6,65.6,4600
MWG,2025-08-01 03:53:00,65.6,65.7,65.5,65.7,73300
MWG,2025-08-01 03:54:00,65.7,65.7,65.4,65.4,5700
MWG,2025-08-01 03:55:00,65.4,65.5,65.4,65.5,5600
MWG,2025-08-01 03:56:00,65.5,65.6,65.5,65.5,7400
MWG,2025-08-01 03:57:00,65.6,65.6,65.5,65.5,9400
MWG,2025-08-01 03:58:00,65.5,65.5,65.4,65.5,1800
MWG,2025-08-01 03:59:00,65.5,65.5,65.4,65.4,7800
MWG,2025-08-01 04:00:00,65.4,65.5,65.4,65.5,80500
MWG,2025-08-01 04:01:00,65.4,65.5,65.4,65.4,8500
MWG,2025-08-01 04:02:00,65.5,65.5,65.4,65.4,7300
MWG,2025-08-01 04:03:00,65.4,65.4,65.4,65.4,7800
MWG,2025-08-01 04:04:00,65.4,65.4,65.4,65.4,12200
MWG,2025-08-01 04:05:00,65.4,65.4,65.4,65.4,4400
MWG,2025-08-01 04:06:00,65.4,65.5,65.4,65.5,9900
MWG,2025-08-01 04:07:00,65.4,65.5,65.4,65.5,31100
MWG,2025-08-01 04:08:00,65.5,65.6,65.5,65.5,7600
MWG,2025-08-01 04:09:00,65.5,65.6,65.5,65.5,15400
MWG,2025-08-01 04:10:00,65.4,65.5,65.4,65.5,92400
MWG,2025-08-01 04:11:00,65.4,65.5,65.4,65.5,6200
MWG,2025-08-01 04:12:00,65.5,65.5,65.4,65.4,8900
MWG,2025-08-01 04:13:00,65.4,65.5,65.4,65.4,5800
MWG,2025-08-01 04:14:00,65.4,65.5,65.4,65.5,12800
MWG,2025-08-01 04:15:00,65.4,65.5,65.4,65.4,29800
MWG,2025-08-01 04:16:00,65.4,65.5,65.4,65.4,6300
MWG,2025-08-01 04:17:00,65.4,65.5,65.4,65.5,67400
MWG,2025-08-01 04:18:00,65.4,65.5,65.4,65.4,6300
MWG,2025-08-01 04:19:00,65.4,65.5,65.4,65.4,3300
MWG,2025-08-01 04:20:00,65.4,65.5,65.4,65.4,29700
MWG,2025-08-01 04:21:00,65.4,65.4,65.4,65.4,86200
MWG,2025-08-01 04:22:00,65.3,65.3,65.3,65.3,7600
MWG,2025-08-01 04:23:00,65.3,65.4,65.3,65.3,5700
MWG,2025-08-01 04:24:00,65.4,65.4,65.3,65.3,10600
MWG,2025-08-01 04:25:00,65.3,65.4,65.3,65.3,108100
MWG,2025-08-01 04:26:00,65.3,65.4,65.3,65.3,6400
MWG,2025-08-01 04:27:00,65.4,65.5,65.3,65.4,46800
MWG,2025-08-01 04:28:00,65.4,65.4,65.4,65.4,900
MWG,2025-08-01 04:29:00,65.4,65.5,65.4,65.4,5400
MWG,2025-08-01 06:00:00,65.5,65.5,65.3,65.4,118600
MWG,2025-08-01 06:01:00,65.4,65.4,65.3,65.3,129600
MWG,2025-08-01 06:02:00,65.3,65.3,65.2,65.3,22100
MWG,2025-08-01 06:03:00,65.3,65.4,65.2,65.3,66200
MWG,2025-08-01 06:04:00,65.3,65.3,65.3,65.3,48300
MWG,2025-08-01 06:05:00,65.3,65.3,65.2,65.3,67000
MWG,2025-08-01 06:06:00,65.3,65.4,65.3,65.3,8100
MWG,2025-08-01 06:07:00,65.4,65.4,65.3,65.4,40900
MWG,2025-08-01 06:08:00,65.4,65.4,65.3,65.3,27200
MWG,2025-08-01 06:09:00,65.4,65.4,65.3,65.4,48900
MWG,2025-08-01 06:10:00,65.4,65.4,65.3,65.4,74900
MWG,2025-08-01 06:11:00,65.4,65.4,65.4,65.4,7600
MWG,2025-08-01 06:12:00,65.4,65.4,65.3,65.3,6900
MWG,2025-08-01 06:13:00,65.3,65.5,65.3,65.4,37700
MWG,2025-08-01 06:14:00,65.4,65.4,65.4,65.4,8700
MWG,2025-08-01 06:15:00,65.4,65.5,65.4,65.5,23900
MWG,2025-08-01 06:16:00,65.6,65.6,65.4,65.5,65400
MWG,2025-08-01 06:17:00,65.5,65.5,65.4,65.4,12500
MWG,2025-08-01 06:18:00,65.5,65.5,65.4,65.4,36500
MWG,2025-08-01 06:19:00,65.4,65.5,65.4,65.5,21400
MWG,2025-08-01 06:20:00,65.5,65.5,65.4,65.5,23500
MWG,2025-08-01 06:21:00,65.5,65.7,65.5,65.7,55900
MWG,2025-08-01 06:22:00,65.7,65.8,65.7,65.8,42300
MWG,2025-08-01 06:23:00,65.7,66.0,65.7,66.0,109800
MWG,2025-08-01 06:24:00,66.0,66.1,66.0,66.1,70000
MWG,2025-08-01 06:25:00,66.0,66.0,65.9,65.9,10000
