ticker,time,open,high,low,close,volume
NDN,2023-09-11 02:06:00,11.27,11.27,11.27,11.27,1000
NDN,2023-09-11 02:13:00,11.37,11.37,11.37,11.37,500
NDN,2023-09-11 02:16:00,11.37,11.37,11.37,11.37,1000
NDN,2023-09-11 02:17:00,11.37,11.37,11.37,11.37,1500
NDN,2023-09-11 02:19:00,11.37,11.37,11.37,11.37,2100
NDN,2023-09-11 02:24:00,11.27,11.27,11.27,11.27,5500
NDN,2023-09-11 02:27:00,11.37,11.37,11.37,11.37,16000
NDN,2023-09-11 02:29:00,11.37,11.37,11.37,11.37,25000
NDN,2023-09-11 02:30:00,11.37,11.37,11.37,11.37,8400
NDN,2023-09-11 02:31:00,11.37,11.37,11.37,11.37,3700
NDN,2023-09-11 02:34:00,11.46,11.46,11.46,11.46,100
NDN,2023-09-11 02:35:00,11.37,11.37,11.37,11.37,1000
NDN,2023-09-11 02:36:00,11.37,11.37,11.37,11.37,200
NDN,2023-09-11 02:38:00,11.37,11.37,11.37,11.37,300
NDN,2023-09-11 02:42:00,11.37,11.37,11.37,11.37,10000
NDN,2023-09-11 02:43:00,11.37,11.37,11.37,11.37,3100
NDN,2023-09-11 02:44:00,11.37,11.37,11.27,11.27,5200
NDN,2023-09-11 02:46:00,11.27,11.27,11.27,11.27,600
NDN,2023-09-11 02:47:00,11.27,11.27,11.27,11.27,1000
NDN,2023-09-11 02:50:00,11.27,11.27,11.27,11.27,200
NDN,2023-09-11 02:51:00,11.27,11.27,11.27,11.27,6800
NDN,2023-09-11 02:56:00,11.27,11.27,11.27,11.27,500
NDN,2023-09-11 02:57:00,11.27,11.27,11.27,11.27,100
NDN,2023-09-11 02:59:00,11.37,11.37,11.37,11.37,300
NDN,2023-09-11 03:10:00,11.27,11.27,11.27,11.27,2100
NDN,2023-09-11 03:11:00,11.27,11.27,11.27,11.27,11400
NDN,2023-09-11 03:13:00,11.27,11.27,11.27,11.27,2000
NDN,2023-09-11 03:15:00,11.27,11.27,11.27,11.27,3000
NDN,2023-09-11 03:16:00,11.27,11.27,11.27,11.27,200
NDN,2023-09-11 03:18:00,11.27,11.27,11.27,11.27,1500
NDN,2023-09-11 03:23:00,11.27,11.27,11.27,11.27,1400
NDN,2023-09-11 03:27:00,11.18,11.18,11.18,11.18,100
NDN,2023-09-11 03:31:00,11.27,11.27,11.27,11.27,100
NDN,2023-09-11 03:33:00,11.27,11.27,11.27,11.27,1000
NDN,2023-09-11 03:37:00,11.27,11.27,11.27,11.27,300
NDN,2023-09-11 03:39:00,11.27,11.27,11.27,11.27,1000
NDN,2023-09-11 03:43:00,11.27,11.27,11.18,11.18,300
NDN,2023-09-11 03:45:00,11.18,11.18,11.18,11.18,100
NDN,2023-09-11 03:50:00,11.18,11.27,11.18,11.27,21100
NDN,2023-09-11 03:52:00,11.27,11.27,11.27,11.27,200
NDN,2023-09-11 03:55:00,11.27,11.27,11.27,11.27,2500
NDN,2023-09-11 03:57:00,11.27,11.27,11.27,11.27,1000
NDN,2023-09-11 03:59:00,11.27,11.27,11.27,11.27,7200
NDN,2023-09-11 04:00:00,11.27,11.27,11.27,11.27,300
NDN,2023-09-11 04:07:00,11.27,11.27,11.27,11.27,1100
NDN,2023-09-11 04:08:00,11.27,11.27,11.27,11.27,2200
NDN,2023-09-11 04:18:00,11.18,11.18,11.18,11.18,1000
NDN,2023-09-11 04:19:00,11.27,11.27,11.27,11.27,9200
NDN,2023-09-11 04:20:00,11.27,11.27,11.27,11.27,1800
NDN,2023-09-11 04:21:00,11.27,11.27,11.27,11.27,9000
NDN,2023-09-11 04:25:00,11.27,11.27,11.27,11.27,500
NDN,2023-09-11 06:00:00,11.18,11.27,11.18,11.27,15300
