ticker,time,open,high,low,close,volume
TTF,2023-09-11 02:15:00,5.7,5.7,5.69,5.69,64800
TTF,2023-09-11 02:16:00,5.69,5.69,5.69,5.69,17400
TTF,2023-09-11 02:17:00,5.69,5.69,5.68,5.68,9500
TTF,2023-09-11 02:18:00,5.68,5.68,5.68,5.68,6000
TTF,2023-09-11 02:19:00,5.67,5.69,5.67,5.69,27600
TTF,2023-09-11 02:20:00,5.68,5.69,5.68,5.69,10000
TTF,2023-09-11 02:21:00,5.68,5.68,5.67,5.67,24400
TTF,2023-09-11 02:22:00,5.67,5.67,5.67,5.67,29200
TTF,2023-09-11 02:23:00,5.66,5.66,5.66,5.66,17400
TTF,2023-09-11 02:24:00,5.66,5.66,5.65,5.65,25200
TTF,2023-09-11 02:25:00,5.65,5.65,5.63,5.63,2200
TTF,2023-09-11 02:26:00,5.63,5.63,5.63,5.63,7000
TTF,2023-09-11 02:27:00,5.63,5.63,5.62,5.62,11000
TTF,2023-09-11 02:28:00,5.62,5.62,5.62,5.62,22000
TTF,2023-09-11 02:29:00,5.62,5.62,5.62,5.62,4200
TTF,2023-09-11 02:30:00,5.62,5.63,5.62,5.63,29200
TTF,2023-09-11 02:31:00,5.63,5.63,5.62,5.63,20400
TTF,2023-09-11 02:32:00,5.63,5.65,5.63,5.65,31000
TTF,2023-09-11 02:33:00,5.63,5.66,5.63,5.65,24600
TTF,2023-09-11 02:34:00,5.67,5.67,5.67,5.67,39300
TTF,2023-09-11 02:35:00,5.68,5.68,5.67,5.67,8200
TTF,2023-09-11 02:36:00,5.67,5.68,5.67,5.67,6600
TTF,2023-09-11 02:37:00,5.68,5.68,5.67,5.67,11600
TTF,2023-09-11 02:39:00,5.67,5.67,5.67,5.67,4600
TTF,2023-09-11 02:40:00,5.67,5.67,5.67,5.67,1200
TTF,2023-09-11 02:41:00,5.67,5.67,5.66,5.66,20600
TTF,2023-09-11 02:42:00,5.66,5.67,5.66,5.67,45000
TTF,2023-09-11 02:43:00,5.68,5.68,5.68,5.68,6000
TTF,2023-09-11 02:44:00,5.68,5.68,5.67,5.67,1300
TTF,2023-09-11 02:45:00,5.68,5.68,5.67,5.67,13000
TTF,2023-09-11 02:46:00,5.68,5.68,5.68,5.68,5000
TTF,2023-09-11 02:47:00,5.68,5.68,5.68,5.68,2500
TTF,2023-09-11 02:48:00,5.67,5.68,5.67,5.68,16100
TTF,2023-09-11 02:49:00,5.67,5.67,5.66,5.66,28100
TTF,2023-09-11 02:50:00,5.66,5.66,5.66,5.66,4000
TTF,2023-09-11 02:51:00,5.66,5.66,5.66,5.66,1000
TTF,2023-09-11 02:52:00,5.66,5.66,5.66,5.66,24700
TTF,2023-09-11 02:53:00,5.67,5.67,5.66,5.66,1700
TTF,2023-09-11 02:54:00,5.66,5.66,5.66,5.66,3300
TTF,2023-09-11 02:55:00,5.66,5.66,5.66,5.66,9200
TTF,2023-09-11 02:56:00,5.66,5.66,5.66,5.66,1000
TTF,2023-09-11 02:57:00,5.65,5.65,5.65,5.65,27900
TTF,2023-09-11 02:58:00,5.64,5.64,5.64,5.64,2500
TTF,2023-09-11 02:59:00,5.65,5.65,5.64,5.64,10800
TTF,2023-09-11 03:00:00,5.64,5.64,5.64,5.64,35900
TTF,2023-09-11 03:01:00,5.64,5.64,5.64,5.64,500
TTF,2023-09-11 03:02:00,5.65,5.65,5.65,5.65,1000
TTF,2023-09-11 03:03:00,5.65,5.65,5.65,5.65,18800
TTF,2023-09-11 03:05:00,5.65,5.65,5.65,5.65,1000
TTF,2023-09-11 03:07:00,5.65,5.65,5.65,5.65,10900
TTF,2023-09-11 03:09:00,5.64,5.64,5.64,5.64,4000
TTF,2023-09-11 03:10:00,5.64,5.64,5.64,5.64,300
TTF,2023-09-11 03:11:00,5.64,5.65,5.64,5.64,3500
TTF,2023-09-11 03:12:00,5.64,5.64,5.64,5.64,5000
TTF,2023-09-11 03:13:00,5.64,5.64,5.64,5.64,3000
TTF,2023-09-11 03:14:00,5.65,5.65,5.65,5.65,100
TTF,2023-09-11 03:15:00,5.65,5.65,5.65,5.65,4000
TTF,2023-09-11 03:16:00,5.64,5.65,5.64,5.65,70500
TTF,2023-09-11 03:17:00,5.64,5.64,5.64,5.64,2200
TTF,2023-09-11 03:18:00,5.64,5.64,5.64,5.64,122200
